Date,ACWI ex EMU SMALL CAP
2007-05,1000.0
2007-06,993.5142949896281
2007-07,970.1607276584056
2007-08,955.4771193216193
2007-09,985.4324916910944
2007-10,1027.6938736879645
2007-11,954.2557698184569
2007-12,941.4230668855927
2008-01,866.9405022569943
2008-02,873.3007855573192
2008-03,855.5473577380235
2008-04,894.6134489662192
2008-05,923.4952971510288
2008-06,846.0754801876943
2008-07,834.2902503132168
2008-08,829.0064185334968
2008-09,718.6975107875573
2008-10,554.4730243647408
2008-11,508.1381958678441
2008-12,540.0510953880067
2009-01,500.8800783139055
2009-02,451.1729023896374
2009-03,491.51197601436047
2009-04,574.4072206587292
2009-05,631.0976276086977
2009-06,638.1507270381289
2009-07,698.1686239900502
2009-08,732.2453380284329
2009-09,773.8976863016587
2009-10,748.6330447196158
2009-11,769.1843606633182
2009-12,810.7010873543037
2010-01,789.7727025779908
2010-02,811.0861208261473
2010-03,875.036279910833
2010-04,911.2213121850461
2010-05,827.361703729143
2010-06,793.4041943136241
2010-07,851.1841584785619
2010-08,818.3355746710255
2010-09,910.876664389944
2010-10,944.252805403916
2010-11,954.5012745304113
2010-12,1036.6152598573585
2011-01,1038.4113854000666
2011-02,1071.8438800486526
2011-03,1086.2581722928583
2011-04,1124.7061803605495
2011-05,1102.7463317686913
2011-06,1078.6249506756328
2011-07,1064.5728936227947
2011-08,974.5062221237843
2011-09,862.0690628274685
2011-10,963.6179273231413
2011-11,938.3518413458195
2011-12,932.5504024187115
2012-01,1004.5744721180556
2012-02,1052.9507785781184
2012-03,1058.8411708864332
2012-04,1051.5531628426122
2012-05,962.2036738223483
2012-06,994.9322781232165
2012-07,994.2182560026773
2012-08,1024.5001521059396
2012-09,1061.9302431979609
2012-10,1051.8080138162532
2012-11,1062.149782186691
2012-12,1095.3608640942166
2013-01,1152.0713080534026
2013-02,1164.7415588192032
2013-03,1206.8650405449193
2013-04,1219.5150827877462
2013-05,1227.937418126103
2013-06,1193.752516206753
2013-07,1260.4127656874364
2013-08,1232.163341485441
2013-09,1314.4024844900216
2013-10,1351.4307861830898
2013-11,1371.1165385036647
2013-12,1399.4169121853004
2014-01,1370.4079256920438
2014-02,1437.0824932591324
2014-03,1433.1674253322594
2014-04,1410.4980220007192
2014-05,1430.024508049766
2014-06,1489.4589191547668
2014-07,1439.9259485478944
2014-08,1488.0925365394428
2014-09,1406.3226444025227
2014-10,1431.509060698161
2014-11,1431.128755889999
2014-12,1437.248107261291
2015-01,1413.463272128816
2015-02,1492.7228222551673
2015-03,1496.135705124544
2015-04,1519.125407292636
2015-05,1541.5972874460608
2015-06,1522.0515846723283
2015-07,1496.1236792326922
2015-08,1407.8190928483261
2015-09,1354.2259687786457
2015-10,1431.6242893697226
2015-11,1445.4136856613768
2015-12,1407.9775058926873
2016-01,1298.4374400212494
2016-02,1307.8866905075242
2016-03,1419.3726338936663
2016-04,1452.3077276511474
2016-05,1463.0786265768716
2016-06,1450.7178537942345
2016-07,1526.9696214603066
2016-08,1531.4786039499322
2016-09,1553.1867300208662
2016-10,1499.3770530532001
2016-11,1558.2440133340954
2016-12,1586.4374197585437
2017-01,1625.242067806996
2017-02,1667.0697019621905
2017-03,1675.8174995629258
2017-04,1701.724688
2017-05,1703.446802
2017-06,1732.459879
2017-07,1769.802332
2017-08,1770.82719
2017-09,1831.427801
2017-10,1865.228251
2017-11,1907.060589
2017-12,1939.359241
2018-01,2006.270293
2018-02,1927.525383
2018-03,1927.771998
2018-04,1941.5125383682014
2018-05,1995.178007011642
2018-06,1976.887089020064
2018-07,1999.417938510675
2018-08,2040.8152192930852
2018-09,2008.9250107441064
2018-10,1809.083464431955
2018-11,1834.1916749624397
2018-12,1673.61995
2019-01,1838.9984931693143
2019-02,1905.3963746867205
2019-03,1895.1961642357662
2019-04,1945.6971854960216
2019-05,1822.6628605848969
2019-06,1922.9725771517278
2019-07,1933.528320648519
2019-08,1863.0975399081499
2019-09,1902.3391794288834
2019-10,1953.746845
2019-11,2010.0526960768345
2019-12,2084.408447640817
2020-01,2023.9742218379233
2020-02,1840.1354578079518
2020-03,1453.1878168465018
2020-04,1653.7411156063822
2020-05,1761.8081505259104
2020-06,1817.4180048070423
2020-07,1896.9318437906138
2020-08,2001.4541439998366
2020-09,1959.1010151382507
2020-10,1968.342788328747
2020-11,2259.496179196367
2020-12,2427.0620985982723
2021-01,2473.657153090032
2021-02,2602.3883332941277
2021-03,2655.8031211330244
2021-04,2762.1601648864826
2021-05,2784.150634096858
2021-06,2805.574181609871
2021-07,2778.0626668725336
2021-08,2839.8255438261726
2021-09,2759.572935925056
2021-10,2848.9531730590725
2021-11,2720.500960764046
2021-12,2820.1939013213655
2022-01,2613.378416944344
2022-02,2616.002597464343
2022-03,2648.619627333132
2022-04,2447.830364319036
2022-05,2434.623591013352
2022-06,2198.0829682381254
2022-07,2389.6799626286365
2022-08,2333.5481953655426
2022-09,2097.0817583573266
2022-10,2241.812307061873
2022-11,2383.081972717624
2022-12,2300.5191701936383
2023-01,2499.926012466938
2023-02,2441.8384751355
2023-03,2388.8394075028955
2023-04,2384.7137321670534
2023-05,2337.3006909839487
2023-06,2480.1213019816523
2023-07,2609.049297542884
