Date,WORLD SMALL CAP
2000-12,100.0
2001-01,103.70653019744896
2001-02,100.68781162456185
2001-03,95.11581035682688
2001-04,102.61044136085881
2001-05,103.71681388678928
2001-06,103.45526786344104
2001-07,100.01604314411084
2001-08,99.79946794264046
2001-09,86.69987095658196
2001-10,92.49466835864432
2001-11,98.31358678675221
2001-12,100.826951826777
2002-01,98.75274900726573
2002-02,97.90232130256605
2002-03,105.49842064814042
2002-04,107.15944595235287
2002-05,106.85127633019682
2002-06,101.28702192011828
2002-07,90.26912556401055
2002-08,89.83601535213695
2002-09,83.02325075629383
2002-10,84.01416661249463
2002-11,88.74417269419182
2002-12,84.68520825283534
2003-01,83.17787140849408
2003-02,81.71915999682416
2003-03,81.84936471709098
2003-04,90.2699840449208
2003-05,99.66819948955347
2003-06,102.89238801014851
2003-07,107.01070732528478
2003-08,113.70588495536707
2003-09,115.81004436901182
2003-10,126.01346343499034
2003-11,128.26542441111187
2003-12,133.6219623959613
2004-01,139.35895209227536
2004-02,142.2222350824401
2004-03,146.1786703425132
2004-04,139.51523404477214
2004-05,140.10861165658784
2004-06,146.31211173837266
2004-07,138.76750134941125
2004-08,138.57468084014792
2004-09,143.62831362769657
2004-10,147.810467
2004-11,159.58159123448078
2004-12,166.1048538407759
2005-01,163.99440684524868
2005-02,169.29563209996584
2005-03,165.3645132103639
2005-04,158.8188574255232
2005-05,163.72083420640536
2005-06,168.53238488543118
2005-07,177.25649648473527
2005-08,179.0387173268334
2005-09,183.56406817718835
2005-10,177.42714836028625
2005-11,184.6373886606484
2005-12,192.1922291437682
2006-01,206.7335777356998
2006-02,205.07389013470595
2006-03,214.60061238751092
2006-04,220.18603200456243
2006-05,207.83098242676488
2006-06,204.5719230304298
2006-07,198.8511046774584
2006-08,204.4024204902473
2006-09,205.06526230650618
2006-10,214.05622233531415
2006-11,221.5019342034169
2006-12,225.2483512034139
2007-01,229.33203399375773
2007-02,231.1081574431185
2007-03,236.82318210182828
2007-04,244.52132725842654
2007-05,250.77566699892
2007-06,248.82961240026054
2007-07,240.54572912154532
2007-08,233.68788567520716
2007-09,238.52631330972085
2007-10,250.17914029350393
2007-11,231.24494227126374
2007-12,227.0220616508614
2008-01,209.01677277549484
2008-02,210.69849306716574
2008-03,208.57150873045384
2008-04,216.9753919916732
2008-05,224.78658839247566
2008-06,206.63018622878522
2008-07,202.91804485919693
2008-08,202.78069314220127
2008-09,175.8255686840375
2008-10,136.02286283538717
2008-11,124.4506435027407
2008-12,131.9531981295862
2009-01,121.86358873672302
2009-02,109.15502966984177
2009-03,118.13171690571819
2009-04,137.6599395361488
2009-05,149.63655807668846
2009-06,151.31777839437672
2009-07,164.61364893912855
2009-08,174.65430568206338
2009-09,184.937181069285
2009-10,177.65277388775996
2009-11,181.8524080476234
2009-12,190.17270935686437
2010-01,185.5958906461406
2010-02,189.89952719458987
2010-03,204.5524877028162
2010-04,212.4352934802112
2010-05,192.02397252207376
2010-06,183.0733311073455
2010-07,197.28876887699383
2010-08,188.2095834167942
2010-09,209.87458407963854
2010-10,218.17106583390446
2010-11,219.27954663346407
2010-12,239.86197036094129
2011-01,242.02283632694463
2011-02,251.81998263871472
2011-03,254.78855052860453
2011-04,264.44335344842517
2011-05,259.0037149318676
2011-06,253.36287669624696
2011-07,247.4659220126203
2011-08,227.0424085300113
2011-09,201.55481723600903
2011-10,225.38495784174404
2011-11,219.96633776223857
2011-12,218.12599242960786
2012-01,234.59534114181923
2012-02,245.26174311698134
2012-03,247.58839127919416
2012-04,245.82281204785951
2012-05,223.88756387192677
2012-06,231.9633941642338
2012-07,231.6258721928295
2012-08,239.22832992289406
2012-09,247.59742704257965
2012-10,246.16155532892333
2012-11,248.5716716211966
2012-12,256.40361303040373
2013-01,271.3514768983045
2013-02,273.56911400107344
2013-03,282.9797400931374
2013-04,286.4462018932171
2013-05,289.37417074201625
2013-06,283.1294395938777
2013-07,301.3486892762965
2013-08,295.5479251716708
2013-09,315.9704628424649
2013-10,325.6978285626102
2013-11,331.6016770739782
2013-12,339.428580856785
2014-01,333.10870137838367
2014-02,350.6219689398801
2014-03,349.0369119001861
2014-04,343.2079675939596
2014-05,347.03944962959633
2014-06,360.62792632503636
2014-07,346.08841117703025
2014-08,356.7406254618042
2014-09,336.7324930677916
2014-10,342.44710929032817
2014-11,343.9479488644617
2014-12,345.8654142032652
2015-01,339.6165138071463
2015-02,360.5472268042397
2015-03,361.2506281244435
2015-04,364.60949420201496
2015-05,369.86829431178353
2015-06,366.49338744186065
2015-07,364.8930968927736
2015-08,345.5497519746497
