Date,FM CENTRAL & EAST EUROPE + CIS SMALL CAP
2010-11,1000.0
2010-12,1079.7183303527897
2011-01,1170.9972565255746
2011-02,1168.7595679868534
2011-03,1194.5754842866077
2011-04,1213.4195198788962
2011-05,1156.7671966306737
2011-06,1132.3374742773783
2011-07,1100.8703491982858
2011-08,969.9991254825086
2011-09,809.1233552237103
2011-10,814.7763783624797
2011-11,742.5261937017373
2011-12,704.3520960319199
2012-01,744.9448456739834
2012-02,779.984503799852
2012-03,805.5942376969538
2012-04,806.5810159405511
2012-05,678.8386952061411
2012-06,700.5917143634503
2012-07,699.4635904709246
2012-08,706.4478721211838
2012-09,775.6721897553457
2012-10,794.0712440542817
2012-11,789.8852293176885
2012-12,840.0336120163159
2013-01,884.430596687161
2013-02,863.9487511205432
2013-03,876.153524407876
2013-04,897.6346272329332
2013-05,857.8643531538975
2013-06,857.0902378359262
2013-07,912.0940655194518
2013-08,875.4901201208984
2013-09,888.4865486619076
2013-10,896.8209091637355
2013-11,907.3934039126966
2013-12,910.7539867343452
2014-01,949.5165450727847
2014-02,988.5910954257733
2014-03,984.5712410705387
2014-04,1022.4285983005045
2014-05,1056.5525320565675
2014-06,1110.6576957972434
2014-07,1102.9114599827544
2014-08,1120.4643562182328
2014-09,1106.9217306243404
2014-10,1074.8655684239022
2014-11,1076.408559593779
2014-12,1022.5890722650141
2015-01,965.4470113492367
2015-02,963.9516649342212
2015-03,923.2895846767926
2015-04,1004.0401374825917
2015-05,981.1519268790313
2015-06,967.1093471385153
2015-07,988.6358729158162
2015-08,969.0272464549703
2015-09,948.6870802072293
2015-10,965.1871420744742
2015-11,920.5269073367277
2015-12,940.613375171854
2016-01,895.8023571229562
2016-02,918.4454518793598
2016-03,997.6684367806629
2016-04,991.7896512049989
2016-05,1007.4934997891405
2016-06,1000.573999289864
2016-07,1062.3379396961043
2016-08,1084.0546328856137
2016-09,1116.0572126987113
2016-10,1107.7623338782794
2016-11,1050.8501642796173
2016-12,1047.1238061581125
2017-01,1144.7589608028675
2017-02,1183.2978068482635
2017-03,1121.3996954493982
2017-04,1122.324306
2017-05,1190.445459
2017-06,1204.003331
2017-07,1250.730365
2017-08,1267.119454
2017-09,1251.321714
2017-10,1238.887366
2017-11,1245.962948
2017-12,1254.951015
2018-01,1344.767521
2018-02,1278.575623
2018-03,1281.907296
2018-04,1262.5398968979698
2018-05,1233.4028941464194
2018-06,1261.6296626395451
2018-07,1268.0984136133638
2018-08,1262.1444322792156
2018-09,1240.3790541110118
2018-10,1163.7809120605796
2018-11,1167.8564163788094
2018-12,1107.094979204431
2019-01,1151.3194961665827
2019-02,1169.1644452037842
2019-03,1162.2534826100002
2019-04,1187.270253139696
2019-05,1182.9077734886491
2019-06,1240.4857374457033
2019-07,1214.9698984301785
2019-08,1182.4225050964428
2019-09,1218.679580943467
2019-10,1253.801162529574
2019-11,1252.0210527531551
2019-12,1296.8595486491304
2020-01,1301.6863137197415
2020-02,1216.1109472149546
2020-03,985.4801539051435
2020-04,1055.3170194731622
2020-05,1126.8256392739252
2020-06,1143.8013868031005
2020-07,1208.8807968957271
2020-08,1245.3511828005885
2020-09,1226.2930679472115
2020-10,1203.3696899939428
2020-11,1331.6132237386014
2020-12,1399.7513592221378
2021-01,1465.3612338090136
2021-02,1465.2476762096198
2021-03,1452.0820344904016
2021-04,1533.3375250426852
2021-05,1628.627822435352
2021-06,1606.563446626747
2021-07,1618.9616675128316
2021-08,1628.2311617005294
2021-09,1582.477007800912
2021-10,1617.3563290756067
2021-11,1528.4080903549523
2021-12,1602.9176906162752
2022-01,1624.5522738724223
2022-02,1483.6709208107059
2022-03,1538.2243194066853
2022-04,1451.1857832953099
2022-05,1442.6734067060197
2022-06,1353.6012533881167
2022-07,1331.3196472012257
2022-08,1304.9875919974609
2022-09,1138.000002424405
2022-10,1200.1825030545156
2022-11,1279.2501281766938
2022-12,1345.9874147297623
2023-01,1454.118792236911
2023-02,1461.202205121509
2023-03,1482.0122258716008
2023-04,1540.6341413714445
2023-05,1449.951059419577
2023-06,1529.7959354488219
2023-07,1599.9700991088505
