Date,KOKUSAI INDEX (WORLD ex JP) SMALL CAP
2000-12,100.0
2001-01,104.71816082610107
2001-02,100.66648922788065
2001-03,94.60562949334738
2001-04,100.83745001043647
2001-05,102.38038537702154
2001-06,102.7475896825433
2001-07,100.64251772599481
2001-08,100.0584110005582
2001-09,85.88355061049825
2001-10,92.31537975369798
2001-11,99.76761030553325
2001-12,104.59382854622973
2002-01,103.0864124769809
2002-02,101.42503675844331
2002-03,109.38476134963994
2002-04,110.38940177612987
2002-05,108.43875166000052
2002-06,102.63870892663502
2002-07,90.0659926833166
2002-08,89.95896641932045
2002-09,82.51803548927586
2002-10,85.41922387483851
2002-11,90.9588439762201
2002-12,86.4605749161392
2003-01,84.75246462471586
2003-02,82.30363171174348
2003-03,82.69807568959098
2003-04,92.25360814846903
2003-05,102.74532345018596
2003-06,104.77428063256639
2003-07,109.47850768658829
2003-08,115.17271558350079
2003-09,116.19439868674733
2003-10,126.74159364553965
2003-11,131.05246282705858
2003-12,135.89669141830552
2004-01,141.8789471885352
2004-02,145.33762701837793
2004-03,145.7195973261674
2004-04,138.69351418786718
2004-05,140.741037948162
2004-06,145.3402782295842
2004-07,138.75315275111382
2004-08,138.23901699976278
2004-09,145.08906161046863
2004-10,149.592435
2004-11,162.46571310890903
2004-12,168.90041953819295
2005-01,165.42063960716163
2005-02,171.15828524674984
2005-03,166.54921472582032
2005-04,159.01108094577665
2005-05,165.39455451440298
2005-06,170.77560046078403
2005-07,180.39970497851527
2005-08,181.3711348252175
2005-09,184.62393825531768
2005-10,176.47131666650984
2005-11,183.5620663533841
2005-12,187.03077133484044
2006-01,203.32364683282273
2006-02,204.58868530867483
2006-03,214.1688157283723
2006-04,220.78740591848776
2006-05,209.60909475662837
2006-06,207.05872246584704
2006-07,203.02851038367731
2006-08,208.75452275532166
2006-09,210.54013450981014
2006-10,221.94961553768587
2006-11,231.55347140988243
2006-12,235.94791797496458
2007-01,240.17180888695012
2007-02,240.60013625317086
2007-03,248.1567467003153
2007-04,258.5437747847285
2007-05,267.4423173995003
2007-06,264.6756558275046
2007-07,254.25722318766248
2007-08,248.58738100908926
2007-09,254.95346035800296
2007-10,267.99088063512755
2007-11,246.09764193680755
2007-12,242.96710803865778
2008-01,222.76267900558912
2008-02,224.46619687345523
2008-03,221.886315644048
2008-04,231.66223054982808
2008-05,240.1590868379592
2008-06,220.201421093837
2008-07,216.64689997348486
2008-08,217.64514640951322
2008-09,187.8187334604258
2008-10,142.52731968123916
2008-11,127.8016059601749
2008-12,135.12780148147738
2009-01,124.22750905289027
2009-02,111.87746360234522
2009-03,122.00537703873613
2009-04,144.48037298441497
2009-05,156.29980514601482
2009-06,156.83618982321437
2009-07,172.17217454218596
2009-08,182.79977035346923
2009-09,195.2513230248316
2009-10,187.4927268670473
2009-11,193.4354085505039
2009-12,203.84329257759023
2010-01,197.85299838741304
2010-02,202.54311010101887
2010-03,218.95687530811102
2010-04,227.6894072563052
2010-05,205.1049178023717
2010-06,194.3250663369758
2010-07,210.9953293001758
2010-08,200.67654385801603
2010-09,225.54694334282257
2010-10,235.65264956073375
2010-11,236.49147892440718
2010-12,258.5150664223134
2011-01,260.76534218996255
2011-02,271.3274123588112
2011-03,276.6590460996048
2011-04,288.135020665446
2011-05,282.0562088391296
2011-06,274.2502176311113
2011-07,265.94842467714795
2011-08,242.71467202539603
2011-09,212.0968498393974
2011-10,241.80148784776466
2011-11,236.07691566479008
2011-12,233.4281117006243
2012-01,252.03841323267926
2012-02,264.52751417341756
2012-03,266.5158893744146
2012-04,264.84364346747503
2012-05,241.02051827183428
2012-06,249.52133247528542
2012-07,249.58650833390917
2012-08,258.93073403174157
2012-09,268.2067870665197
2012-10,267.1313626162043
2012-11,269.83451056647095
2012-12,278.34718902132664
2013-01,295.2176544917191
2013-02,296.80382498284973
2013-03,305.4776403162402
2013-04,307.3133162664858
2013-05,313.85540095342475
2013-06,306.40833499954886
2013-07,327.8432593972901
2013-08,321.32411396191367
2013-09,341.9232143180185
2013-10,353.8380966108165
2013-11,361.2447261153711
2013-12,370.3998076123349
2014-01,362.8610188682259
2014-02,384.98261838753416
2014-03,382.95980025398205
2014-04,376.636917329279
2014-05,380.00223859790924
2014-06,393.581702147007
2014-07,375.7037615573829
2014-08,388.94966480473664
2014-09,366.13676764269
2014-10,374.2037137142919
2014-11,376.48277612644983
2014-12,378.3752925988049
2015-01,369.33899207396263
2015-02,393.22658020955396
2015-03,393.1926919544811
2015-04,396.40840458832463
2015-05,402.2489145939616
2015-06,397.395798802574
2015-07,395.63476266148746
2015-08,373.71655784693445
2015-09,357.45540436455957
2015-10,377.5420975054546
2015-11,381.6911845762335
2015-12,370.42691511614765
2016-01,340.94156283092207
2016-02,344.10884328645875
2016-03,374.063088105269
2016-04,381.853264948839
2016-05,387.03760905357797
2016-06,378.99397413006426
2016-07,399.9609227929105
2016-08,402.6062454379227
2016-09,406.52742148041165
2016-10,388.72438128835705
2016-11,410.08526380878493
2016-12,420.1768376539808
2017-01,429.0154541571367
2017-02,437.59094779794077
2017-03,441.3392017868485
2017-04,450.395618
2017-05,451.426272
2017-06,458.831398
2017-07,468.983075
2017-08,467.460957
2017-09,487.456721
2017-10,493.203609
2017-11,503.056915
2017-12,510.589773
2018-01,528.145175
2018-02,504.862317
2018-03,505.802617
2018-04,511.0338204960653
2018-05,526.8749945253369
2018-06,527.2008028862366
2018-07,535.1355618089347
2018-08,548.970460048886
2018-09,539.057409890072
2018-10,485.3121558551025
2018-11,487.01732058708825
2018-12,441.42947847259086
2019-01,489.92151504718015
2019-02,510.0460953504449
2019-03,506.1196846159529
2019-04,523.4249773840955
2019-05,487.4688517239824
2019-06,518.0489117477923
2019-07,520.5419909850185
2019-08,501.0973284013736
2019-09,510.3258184272877
2019-10,522.5425584960433
2019-11,541.2695598167438
2019-12,561.3235998367355
2020-01,546.1986935276553
2020-02,497.99897938865575
2020-03,384.9113955847303
2020-04,441.17767445757255
2020-05,471.973795865207
2020-06,486.7207210800841
