Date,EFM EMEA SMALL CAP
2010-11,1000.0
2010-12,1076.2171076618483
2011-01,1023.8244532720008
2011-02,1019.7209298396187
2011-03,1047.8232950583613
2011-04,1111.0736277637566
2011-05,1051.085220130125
2011-06,1041.2878849694134
2011-07,1024.7587136650452
2011-08,927.0228097409654
2011-09,810.586928775248
2011-10,859.3789600359297
2011-11,819.4817851080055
2011-12,804.54593212947
2012-01,874.4758335883711
2012-02,947.1017993033936
2012-03,940.9725027774467
2012-04,953.0553771622043
2012-05,844.7897416938938
2012-06,891.2488200200386
2012-07,907.4254871671452
2012-08,916.07704356725
2012-09,956.6708985619414
2012-10,939.7209741631011
2012-11,938.2471194855751
2012-12,1003.2181595011205
2013-01,1012.6440316523281
2013-02,1006.7807285702802
2013-03,1013.1373143760667
2013-04,1031.9891052578403
2013-05,1003.3153975112266
2013-06,971.7395680495109
2013-07,1003.6293882292522
2013-08,956.7689355096526
2013-09,1022.5674182585813
2013-10,1083.4114754265531
2013-11,1076.815558708469
2013-12,1058.3466142370746
2014-01,1010.5311687527013
2014-02,1066.9197613386461
2014-03,1083.892627718412
2014-04,1122.1311465668825
2014-05,1136.6216159273376
2014-06,1133.827664138354
2014-07,1141.8543475145375
2014-08,1160.5062977871328
2014-09,1106.7850915833458
2014-10,1095.3293943893875
2014-11,1094.3411357536445
2014-12,1021.1752861906406
2015-01,1037.9015176282403
2015-02,1056.0379608651297
2015-03,992.6140809240165
2015-04,1045.3007469541585
2015-05,1015.153906760203
2015-06,988.1032376269347
2015-07,964.4361466982681
2015-08,895.4542179212859
2015-09,863.1907454978312
2015-10,891.8428042984114
2015-11,827.2039167584408
2015-12,801.5150944842057
2016-01,752.7997977079075
2016-02,797.2023695651991
2016-03,898.3844907902446
2016-04,942.0525676178083
2016-05,871.214025812563
2016-06,891.581761162336
2016-07,946.4262706121461
2016-08,933.127708356742
2016-09,974.5008465366267
2016-10,980.2815540895118
2016-11,942.8571573534493
2016-12,991.261509539274
2017-01,1041.542690509225
2017-02,1066.8892310468734
2017-03,1053.9946463820647
2017-04,1062.213953
2017-05,1068.37897
2017-06,1075.266648
2017-07,1109.787124
2017-08,1131.468937
2017-09,1096.963028
2017-10,1087.85678
2017-11,1084.283531
2017-12,1175.328729
2018-01,1241.781971
2018-02,1229.347269
2018-03,1200.723145
2018-04,1167.2036495079863
2018-05,1085.4135360637008
2018-06,1026.0330104151167
2018-07,1046.147381057839
2018-08,968.5540447447906
2018-09,966.3956748821366
2018-10,911.9270990416156
2018-11,939.9367089167629
2018-12,914.695167
2019-01,982.4326273069571
2019-02,980.3564429775572
2019-03,947.7866872935085
2019-04,967.2319702306112
2019-05,939.1876854596612
2019-06,988.7882108563872
2019-07,998.6954160657516
2019-08,957.8788274227891
2019-09,968.0971929387174
2019-10,993.0867628851678
2019-11,1013.9197312348756
2019-12,1065.8867752223248
2020-01,1041.9999371222073
2020-02,920.3846088070661
2020-03,702.1116316213528
2020-04,779.0070399041252
2020-05,790.1913132541014
2020-06,850.4835214013648
2020-07,888.1904986672839
2020-08,906.2654580308249
2020-09,917.7731358294615
2020-10,879.1946918760725
2020-11,1016.9637688837881
2020-12,1104.9532099207627
2021-01,1138.6647104408949
2021-02,1167.4306580645307
2021-03,1192.0921338677656
2021-04,1263.285454621388
2021-05,1325.5736434369069
2021-06,1308.035438007287
2021-07,1312.2429280838096
2021-08,1364.895712670407
2021-09,1322.3196979493875
2021-10,1351.372298951963
2021-11,1264.7355648234682
2021-12,1310.416633852895
2022-01,1338.8959350038265
2022-02,1271.0095561382145
2022-03,1307.629286649833
2022-04,1289.9131737249254
2022-05,1252.7062185416944
2022-06,1151.3322133104848
2022-07,1186.0249866371153
2022-08,1201.556953213608
2022-09,1121.5299330912828
2022-10,1165.919268791697
2022-11,1239.2970300057473
2022-12,1249.4762671855592
2023-01,1263.6557324359328
2023-02,1254.8590561831384
2023-03,1238.5651629483139
2023-04,1275.708187149257
2023-05,1246.7063311607403
2023-06,1303.5194953861792
2023-07,1404.5891893635126
