Date,PAKISTAN VALUE
2017-05,1000.0
2017-06,910.9912578126484
2017-07,892.184703
2017-08,813.031723
2017-09,860.144598
2017-10,819.982475
2017-11,847.884114
2017-12,840.726945
2018-01,916.070182
2018-02,936.951143
2018-03,931.132912
2018-04,872.2811080686602
2018-05,814.3449977618872
2018-06,760.4651321208464
2018-07,753.3224919734234
2018-08,724.0595748573108
2018-09,722.5868575154506
2018-10,686.0731064889474
2018-11,639.0798318482091
2018-12,553.0474068926494
2019-01,660.5993943085443
2019-02,636.3956210110312
2019-03,623.1751808299582
2019-04,601.5609015647773
2019-05,558.160287959349
2019-06,499.37564872841165
2019-07,492.10187337471007
2019-08,424.509523457709
2019-09,490.44419971327085
2019-10,526.5200527400209
2019-11,558.5731754645932
2019-12,609.5053175463878
2020-01,605.5216308434867
2020-02,539.388072116484
2020-03,330.43092686901576
2020-04,421.6553082187003
2020-05,435.80080464405046
2020-06,418.25888963850434
2020-07,461.7367945528643
2020-08,471.47959675271807
2020-09,442.9704656730006
2020-10,433.21742766000074
2020-11,456.6246095944361
2020-12,480.5854467370274
2021-01,496.18794315626525
2021-02,485.8575470403937
2021-03,496.3911363036694
2021-04,457.02216636097097
2021-05,477.9809352226768
2021-06,431.28194322742957
2021-07,429.3274285038341
2021-08,419.698669149417
2021-09,370.7682968648415
2021-10,418.98969963147795
2021-11,399.2825690614287
