Date,COLOMBIA
2000-12,100.0
2001-01,115.87636630184767
2001-02,119.0151525338698
2001-03,104.21940496012222
2001-04,106.70109709444537
2001-05,133.27402566529366
2001-06,138.28772915253774
2001-07,134.30527634466847
2001-08,137.28021993767186
2001-09,124.02581051636682
2001-10,115.9165708045398
2001-11,132.49883376420163
2001-12,145.14257761310762
2002-01,159.12955694681992
2002-02,139.33638143864363
2002-03,145.63805364490426
2002-04,151.14405531821637
2002-05,156.1843782070263
2002-06,159.91205604827516
2002-07,143.42774655920783
2002-08,143.243986
2002-09,150.95608208396322
2002-10,174.49235319195688
2002-11,177.96764409038846
2002-12,181.2086261389067
2003-01,175.6455568683419
2003-02,173.0046703555339
2003-03,176.29384561290018
2003-04,191.63844274668094
2003-05,222.4524007105527
2003-06,229.02522198274553
2003-07,234.09973085936244
2003-08,232.5700519689554
2003-09,235.5705376516155
2003-10,252.0555904277023
2003-11,270.7475186917332
2003-12,301.46745350687644
2004-01,362.04443340446477
2004-02,387.4553522324533
2004-03,426.99791156796834
2004-04,472.79408653050507
2004-05,413.5954356211167
2004-06,410.8171876849247
2004-07,423.98180309917547
2004-08,448.62672844793866
2004-09,524.8802395967201
2004-10,549.9607429263732
2004-11,679.0427378564361
2004-12,700.7180636989115
2005-01,686.8398562928871
2005-02,775.9359685710045
2005-03,680.97772397769
2005-04,722.400635823784
2005-05,693.7560739775067
2005-06,804.9189305924069
2005-07,929.8812818362651
2005-08,999.4425738809296
2005-09,1019.9969988543567
2005-10,1063.344436082304
2005-11,1267.8575912907625
2005-12,1451.548818462899
2006-01,1629.0882511031273
2006-02,1693.889228056828
2006-03,1705.661517060972
2006-04,1667.0789152748462
2006-05,1344.635605344219
2006-06,1170.3009046574684
2006-07,1336.2860416584733
2006-08,1430.3544877656243
2006-09,1402.6345320337134
2006-10,1522.1815614091665
2006-11,1475.24284960135
2006-12,1648.3431401436253
2007-01,1572.6084507660041
2007-02,1491.148893263912
2007-03,1556.062978013756
2007-04,1621.6670833721653
2007-05,1751.2409706211338
2007-06,1830.6987402577581
2007-07,1966.9612397238545
2007-08,1748.5869805032576
2007-09,1821.5243838153456
2007-10,1910.2938283999322
2007-11,1959.4435651391063
2007-12,1895.447335000058
2008-01,1760.3823634983405
2008-02,1774.5534362664025
2008-03,1811.7896442831225
2008-04,2149.019903422082
2008-05,2237.1210938356385
2008-06,1881.8574493994613
2008-07,2018.4636353260018
2008-08,1959.9828672813755
2008-09,1723.5600021832877
2008-10,1238.1454226698297
2008-11,1302.9583151222641
2008-12,1419.6710808707178
2009-01,1332.6494849745886
2009-02,1240.167742869772
2009-03,1276.0138087748112
2009-04,1513.9563269746695
2009-05,1823.5365653416534
2009-06,1947.3556541650844
2009-07,2175.230396465919
2009-08,2277.0083162763017
2009-09,2645.6981999778136
2009-10,2404.846170012638
2009-11,2533.8741246555496
2009-12,2617.1082558432645
2010-01,2676.1529655603067
2010-02,2797.073224114356
2010-03,2888.2467201196905
2010-04,2905.632470599128
2010-05,2855.592457971713
2010-06,2991.5344306490215
2010-07,3387.7459646959237
2010-08,3695.9569689770988
2010-09,3959.217105875869
2010-10,4192.862153791237
2010-11,3642.2704566425336
2010-12,3753.167216179563
2011-01,3674.7929625392594
2011-02,3587.4659457806933
2011-03,3761.9865370301245
2011-04,3935.3217184960886
2011-05,4027.2366361950326
2011-06,3983.8827781674995
2011-07,3869.475149676118
2011-08,3877.2033622452955
2011-09,3487.011499878046
2011-10,3720.389622362401
2011-11,3446.2721946555494
2011-12,3564.6103244606843
2012-01,3898.6028864138348
2012-02,4189.093275549881
2012-03,4209.0716452555525
2012-04,4557.384923467452
2012-05,4214.617291529718
2012-06,4205.25966507308
2012-07,4284.6193037690355
2012-08,4173.380769565735
2012-09,4301.844953816268
2012-10,4559.963367206122
2012-11,4493.322711637114
2012-12,4844.059862695795
2013-01,4940.463795032007
2013-02,4675.709148248608
2013-03,4526.522412144475
2013-04,4357.404896180237
2013-05,4049.163696509653
2013-06,3926.9024734758973
2013-07,4152.017012753306
2013-08,4157.9413685137315
2013-09,4296.5748232465185
2013-10,4308.174777451792
2013-11,3906.8665901575678
2013-12,3820.0809666544174
2014-01,3342.102608006581
2014-02,3470.5058599910553
2014-03,4015.8385575158004
2014-04,4131.731753296803
2014-05,4132.144083895115
2014-06,4331.579258682499
2014-07,4336.537785412386
2014-08,4427.002852155609
2014-09,3972.664588866772
2014-10,3822.9420534112755
2014-11,3317.331920160164
2014-12,3063.3897003322727
2015-01,2783.291181406638
2015-02,2689.6397860946618
2015-03,2477.529247167393
2015-04,2883.014928271654
2015-05,2530.4107893951796
2015-06,2563.4232493947184
2015-07,2312.1177776680775
2015-08,2029.6406510455595
2015-09,1968.0574964877708
2015-10,2125.3258127506333
2015-11,1777.4544889673905
2015-12,1783.0044493399112
2016-01,1742.5491304587983
2016-02,1829.558607229788
2016-03,2183.9325846471784
2016-04,2317.712868437563
2016-05,2051.9959007570974
2016-06,2246.1798550116305
2016-07,2115.4135603332447
2016-08,2317.4818202784377
2016-09,2308.1616608542627
2016-10,2278.5510589606884
2016-11,2088.85219754547
2016-12,2255.191038536903
2017-01,2335.313740774753
2017-02,2269.435375018556
2017-03,2383.7989827711413
2017-04,2355.191818
2017-05,2488.54098
2017-06,2443.035343
2017-07,2518.453497
2017-08,2582.69853
2017-09,2601.799545
2017-10,2368.72122
2017-11,2432.414757
2017-12,2622.582003
2018-01,2919.761338
2018-02,2710.926263
2018-03,2749.662293
2018-04,3030.0032816604066
2018-05,2900.55195411811
2018-06,2934.87684025048
2018-07,2881.747487478316
2018-08,2778.4935015603164
2018-09,2862.8134090786657
2018-10,2454.039795901586
2018-11,2409.954257995481
2018-12,2320.2526166718794
2019-01,2633.440393329037
2019-02,2781.8244742407032
2019-03,2895.766088147055
2019-04,2822.886634256802
2019-05,2563.163588106057
2019-06,2825.7856293779196
2019-07,2773.2531647000574
2019-08,2666.5322364338135
2019-09,2652.758886495031
2019-10,2846.3564289060946
2019-11,2698.620292657899
2019-12,3035.8756994865553
2020-01,2813.725410753501
2020-02,2585.748260781665
2020-03,1526.695267129889
2020-04,1642.7007907719528
2020-05,1680.476320997258
2020-06,1676.4215579148267
2020-07,1766.762783390321
2020-08,1822.630397783681
2020-09,1654.522862849741
2020-10,1635.7679678511292
2020-11,1972.6830436758353
2020-12,2460.333604636878
2021-01,2116.06967037576
2021-02,2153.907481852747
2021-03,2036.5881422996795
2021-04,1894.6961242168404
2021-05,1872.3886156955964
2021-06,1977.6002620993975
2021-07,1910.7884365815728
2021-08,2112.3395045605407
2021-09,2179.571395803218
2021-10,2239.5897061418123
2021-11,2057.8967503443023
2021-12,2120.1526672366786
2022-01,2344.066393318218
2022-02,2470.751517752652
2022-03,2836.7612774061568
2022-04,2536.1417917030058
2022-05,2875.610406694324
2022-06,2042.2323887180178
2022-07,2017.6142203317538
2022-08,1887.4212331875717
2022-09,1665.1365719858472
2022-10,1799.1797062741166
2022-11,1856.8581089352824
2022-12,1993.4089114842586
2023-01,2074.897280539137
2023-02,1736.411340522141
2023-03,1724.6680800004049
2023-04,1818.1472743106058
2023-05,1697.0041761691934
2023-06,1926.8961469619644
2023-07,2191.3821858545957
