Date,CHINA A INCLUSION
2017-08,1000.0
2017-09,997.859447667175
2017-10,1045.055448
2017-11,1046.063529
2017-12,1061.225909
2018-01,1166.029148
2018-02,1082.05869
2018-03,1049.9124796493675
2018-04,1005.2789130627228
2018-05,993.9860607728223
2018-06,895.2980758444992
2018-07,882.8122923329166
2018-08,832.6651940140518
2018-09,858.5528814495347
2018-10,776.2476635655945
2018-11,783.2036700878488
2018-12,761.3545313411722
2019-01,831.6751816811441
2019-02,943.6015557256216
2019-03,989.3285332063957
2019-04,997.4724955644268
2019-05,903.8739127012658
2019-06,963.7528057323129
2019-07,971.8685667294947
2019-08,933.4467655931888
2019-09,937.59762540109
2019-10,968.6634696211356
2019-11,957.677519780981
2019-12,1036.7378374745292
2020-01,1017.9939685121988
2020-02,1013.578787795482
2020-03,941.4284170167122
2020-04,1006.288276708148
2020-05,986.3310386759529
2020-06,1089.1136122222115
2020-07,1252.7427580308572
2020-08,1312.8416585036998
2020-09,1255.94002518656
2020-10,1297.1073485950114
2020-11,1377.3344556018264
2020-12,1484.6338455454063
2021-01,1540.6388794479567
2021-02,1517.5985860013343
2021-03,1422.4664500152328
2021-04,1483.109441433948
2021-05,1576.034957305278
2021-06,1553.209136793152
2021-07,1451.1248750069321
2021-08,1467.3731581401876
2021-09,1485.3308727883575
2021-10,1515.6045663674513
2021-11,1511.278052
2021-12,1532.1770757019326
2022-01,1397.3637888288015
2022-02,1433.3834725996617
2022-03,1309.3168649181437
2022-04,1182.7388752949303
2022-05,1215.5306934508465
2022-06,1331.610012808877
2022-07,1249.115421725698
2022-08,1202.6623643285022
2022-09,1088.539511584263
2022-10,985.1466429823806
2022-11,1113.1242092558978
2022-12,1135.277939796772
2023-01,1243.3269113313274
2023-02,1188.4043412919123
2023-03,1188.2867720210172
2023-04,1163.8484249165538
2023-05,1070.6763034950802
2023-06,1061.616901962639
2023-07,1133.1530181168007
