Date,USA
1969-12,100.0
1970-01,92.797554
1970-02,97.948771
1970-03,98.458407
1970-04,89.8647
1970-05,84.721503
1970-06,81.193723
1970-07,87.227103
1970-08,90.738318
1970-09,93.756971
1970-10,93.012572
1970-11,98.046054
1970-12,103.644621
1971-01,108.382089
1971-02,109.452716
1971-03,113.870798
1971-04,118.262787
1971-05,113.635513
1971-06,114.383091
1971-07,110.277616
1971-08,114.791801
1971-09,113.334683
1971-10,109.257915
1971-11,109.683532
1971-12,116.536429
1972-01,118.878224
1972-02,122.208106
1972-03,124.11522199999999
1972-04,124.316707
1972-05,124.181692
1972-06,121.960388
1972-07,121.274379
1972-08,125.70184
1972-09,125.907799
1972-10,127.554002
1972-11,132.474974
1972-12,134.687273
1973-01,131.50042
1973-02,125.374308
1973-03,123.917532
1973-04,119.178927
1973-05,117.314584
1973-06,117.492832
1973-07,122.133948
1973-08,118.085096
1973-09,122.322097
1973-10,122.863679
1973-11,109.848905
1973-12,111.79
1974-01,109.887
1974-02,109.775
1974-03,107.099
1974-04,102.988
1974-05,99.806
1974-06,98.134
1974-07,90.345
1974-08,82.166
1974-09,72.618
1974-10,85.431
1974-11,81.476
1974-12,79.768
1975-01,90.045
1975-02,95.632
1975-03,97.899
1975-04,102.247
1975-05,106.851
1975-06,111.921
1975-07,104.356
1975-08,102.005
1975-09,98.372
1975-10,105.071
1975-11,108.183
1975-12,107.043
1976-01,119.468
1976-02,118.171
1976-03,122.236
1976-04,120.89
1976-05,119.527
1976-06,124.773
1976-07,124.031
1976-08,123.853
1976-09,126.932
1976-10,124.503
1976-11,123.927
1976-12,130.45
1977-01,124.044
1977-02,121.464
1977-03,120.018
1977-04,120.341
1977-05,118.032
1977-06,123.717
1977-07,122.13
1977-08,119.786
1977-09,119.797
1977-10,114.777
1977-11,117.701
1977-12,118.324
1978-01,111.367
1978-02,108.816
1978-03,111.4
1978-04,121.865
1978-05,122.292
1978-06,120.284
1978-07,127.494
1978-08,130.779
1978-09,130.134
1978-10,118.976
1978-11,121.287
1978-12,123.371
1979-01,128.893
1979-02,124.319
1979-03,131.259
1979-04,131.129
1979-05,128.454
1979-06,133.251
1979-07,134.576
1979-08,141.083
1979-09,140.692
1979-10,131.504
1979-11,136.779
1979-12,138.825
1980-01,147.006
1980-02,145.328
1980-03,132.278
1980-04,137.823
1980-05,144.255
1980-06,148.731
1980-07,158.398
1980-08,159.282
1980-09,163.084
1980-10,166.991
1980-11,184.197
1980-12,177.577
1981-01,170.768
1981-02,174.168
1981-03,179.752
1981-04,176.198
1981-05,175.476
1981-06,174.884
1981-07,175.928
1981-08,165.659
1981-09,157.64
1981-10,165.235
1981-11,172.236
1981-12,167.44
1982-01,165.304
1982-02,156.531
1982-03,155.442
1982-04,162.02
1982-05,156.403
1982-06,154.194
1982-07,151.199
1982-08,169.568
1982-09,171.566
1982-10,190.442
1982-11,197.602
1982-12,200.927
1983-01,208.734
1983-02,212.939
1983-03,220.092
1983-04,237.158
1983-05,233.274
1983-06,242.09
1983-07,234.024
1983-08,238.583
