Date,KAZAKHSTAN
2005-11,258.2604368613124
2005-12,525.422987310047
2006-01,436.6026339690853
2006-02,714.457561763488
2006-03,792.4211712077483
2006-04,861.0446737911899
2006-05,704.3042472553188
2006-06,583.8464128260757
2006-07,597.903088762622
2006-08,632.2194143669467
2006-09,684.0740676726272
2006-10,693.7151545874332
2006-11,823.7091380558926
2006-12,1027.5464398645793
2007-01,935.7037277286863
2007-02,964.1521112719576
2007-03,1000.8162281825124
2007-04,992.7421734411076
2007-05,953.0876872628048
2007-06,1031.0919603944055
2007-07,1028.0166110254577
2007-08,923.2581779390907
2007-09,1002.4767688991548
2007-10,1005.7089212949232
2007-11,1000.0
2007-12,1048.426653101101
2008-01,1005.7020204813692
2008-02,1024.7493273112711
2008-03,994.3266960069502
2008-04,1050.4977914566077
2008-05,1109.209060464177
2008-06,1069.9653776718997
2008-07,947.0926642120254
2008-08,781.5619285423819
2008-09,550.4985397667394
2008-10,421.83528214215113
2008-11,463.6505221882985
2008-12,441.474115057679
2009-01,366.4682461854958
2009-02,357.70563853788263
2009-03,402.37176045812987
2009-04,467.295445228742
2009-05,615.566143415516
2009-06,549.6134427633965
2009-07,622.834422464007
2009-08,651.2964449153334
2009-09,686.8300868969427
2009-10,721.1739103891283
2009-11,773.7200011509813
2009-12,809.253299471647
2010-01,818.5383091526703
2010-02,786.2253471979294
2010-03,824.0304765987013
2010-04,790.7054970188384
2010-05,686.8417142901353
2010-06,619.9026953797784
2010-07,647.3976400406781
2010-08,611.6593682666559
2010-09,613.4862407487059
2010-10,611.8903253612879
2010-11,668.1510341889308
2010-12,689.9786334823349
2011-01,739.8538207670442
2011-02,783.2257812059843
2011-03,761.1871566803793
2011-04,762.0093773248904
2011-05,745.654620931537
2011-06,692.1343874771069
2011-07,641.7312479601505
2011-08,579.4498929373079
2011-09,504.0897105958766
2011-10,561.8546541640692
2011-11,534.1899587532374
2011-12,488.68836718212555
2012-01,522.6551780324288
2012-02,583.961712702897
2012-03,660.9528965151097
2012-04,653.685461965689
2012-05,597.2075551898376
2012-06,577.2641333253233
2012-07,623.3522392865218
2012-08,633.4000486838107
2012-09,650.428367817927
2012-10,630.1191661242609
2012-11,668.013909676152
2012-12,650.0450961052786
2013-01,658.3274057778162
2013-02,692.3716913745915
2013-03,686.2456837024563
2013-04,664.4887204185558
2013-05,654.9762923611479
2013-06,640.509222347638
2013-07,648.0353863685565
2013-08,616.2990681385331
2013-09,642.4653268568504
2013-10,643.28406493383
2013-11,702.4582416368659
2013-12,708.3701461965791
2014-01,663.0210730884744
2014-02,643.6860401695641
2014-03,608.8298627179931
2014-04,657.5429456740479
2014-05,708.1584597994463
2014-06,779.2293637914729
2014-07,833.481031103218
2014-08,855.6062506829163
2014-09,828.1849665288605
2014-10,750.0182400392421
2014-11,687.5626863823226
2014-12,656.8433785837772
2015-01,507.9133286319288
2015-02,519.8325059491876
2015-03,568.7272401093796
2015-04,546.4172368889558
2015-05,531.2624702143643
2015-06,520.0904495242336
2015-07,460.9753514436902
2015-08,418.91213321065135
2015-09,328.4277238592595
2015-10,356.9268075739441
2015-11,380.32001528839226
2015-12,353.9103778525734
2016-01,313.44169443319726
2016-02,319.74498465379133
2016-03,344.64279678169345
2016-04,308.44571500850174
2016-05,357.03048808742295
2016-06,343.5162007861005
2016-07,362.89923278960936
2016-08,354.2993666139168
2016-09,380.7720749836816
2016-10,380.0911488341857
2016-11,374.24197328806696
2016-12,377.68204302999766
2017-01,459.6100626365062
2017-02,484.4200386394573
2017-03,482.8513620619121
2017-04,475.604266
2017-05,480.08539
2017-06,495.703575
2017-07,510.007605
2017-08,532.109108
2017-09,512.007973
2017-10,534.253958
2017-11,588.273621
2017-12,641.674655
2018-01,714.814464
2018-02,761.732788
2018-03,761.732788
2018-04,728.2750177583468
2018-05,702.0571171190463
2018-06,697.2127735748268
2018-07,682.9872625244192
2018-08,655.2575529000281
2018-09,639.0375237737906
2018-10,683.0858330032466
2018-11,674.5717810353868
2018-12,633.4466567626356
2019-01,629.5041632211676
2019-02,693.2342924569647
2019-03,681.4042991634204
2019-04,722.08259703393
2019-05,730.4658296855237
2019-06,774.3536714345744
2019-07,834.6837796541245
2019-08,810.3376972566094
2019-09,723.649462353147
2019-10,773.3876014945816
2019-11,770.1691513862947
2019-12,766.1460887509364
2020-01,816.2087253093442
2020-02,779.5849372598547
2020-03,584.9666787157232
2020-04,616.8535323095737
2020-05,689.0696651332069
2020-06,744.073814706228
2020-07,761.32058128249
2020-08,802.8616923461643
2020-09,748.8053399638353
2020-10,712.3772903589918
2020-11,780.892089832415
2020-12,865.7074655158549
2021-01,885.677938310419
2021-02,1013.7654243656306
2021-03,1084.3149580859622
2021-04,1244.2658750895303
2021-05,1350.306771771351
2021-06,1432.0198838435897
2021-07,1425.146284040328
2021-08,1531.5328560698936
2021-09,1580.931598580535
2021-10,1971.6866275796808
2021-11,1794.0763877164995
2021-12,1652.334481847486
2022-01,1281.0612809081074
2022-02,1014.977059929185
2022-03,954.2135141350949
2022-04,1048.7221470795573
2022-05,924.1378520493364
2022-06,845.3744966470447
2022-07,962.9727839580733
2022-08,1086.5695420825439
2022-09,976.5058098790739
2022-10,1075.7498943438286
2022-11,1211.942095982047
2022-12,1177.8126588510202
2023-01,1197.5849374254867
2023-02,1211.873302295145
2023-03,1238.7906209239184
2023-04,1330.2081108251748
2023-05,1302.5651593224118
2023-06,1339.3511417010357
2023-07,1474.3570637408561
