Date,BELGIUM
1969-12,100.0
1970-01,101.052
1970-02,101.236
1970-03,101.91
1970-04,100.871
1970-05,97.046
1970-06,98.031
1970-07,103.888
1970-08,103.641
1970-09,104.574
1970-10,106.101
1970-11,104.684
1970-12,106.905
1971-01,116.078
1971-02,119.338
1971-03,117.05
1971-04,120.689
1971-05,122.245
1971-06,123.558
1971-07,128.428
1971-08,127.123
1971-09,123.316
1971-10,120.286
1971-11,124.282
1971-12,130.49
1972-01,138.816
1972-02,146.068
1972-03,153.375
1972-04,152.426
1972-05,154.938
1972-06,156.683
1972-07,166.024
1972-08,164.253
1972-09,164.886
1972-10,163.894
1972-11,165.585
1972-12,172.05
1973-01,184.055
1973-02,214.983
1973-03,217.65
1973-04,222.031
1973-05,232.309
1973-06,248.721
1973-07,241.236
1973-08,222.084
1973-09,232.177
1973-10,239.377
1973-11,202.244
1973-12,196.893
1974-01,193.405
1974-02,200.313
1974-03,199.85
1974-04,207.05
1974-05,186.596
1974-06,177.461
1974-07,183.455
1974-08,163.407
1974-09,152.794
1974-10,165.625
1974-11,169.964
1974-12,167.491
1975-01,195.11
1975-02,209.075
1975-03,204.536
1975-04,213.324
1975-05,214.682
1975-06,207.284
1975-07,194.912
1975-08,195.836
1975-09,173.303
1975-10,180.458
1975-11,188.187
1975-12,189.198
1976-01,206.677
1976-02,201.446
1976-03,194.7
1976-04,195.836
1976-05,185.959
1976-06,187.417
1976-07,187.329
1976-08,181.391
1976-09,180.972
1976-10,179.777
1976-11,192.693
1976-12,204.548
1977-01,197.7
1977-02,203.927
1977-03,198.316
1977-04,203.027
1977-05,201.851
1977-06,208.338
1977-07,212.13
1977-08,207.607
1977-09,207.712
1977-10,209.24
1977-11,207.301
1977-12,218.33
1978-01,228.309
1978-02,236.314
1978-03,240.612
1978-04,252.281
1978-05,237.727
1978-06,234.207
1978-07,241.643
1978-08,249.119
1978-09,255.7
1978-10,283.176
1978-11,260.012
1978-12,276.846
1979-01,290.256
1979-02,295.516
1979-03,299.253
1979-04,295.549
1979-05,287.292
1979-06,295.267
1979-07,302.01
1979-08,301.618
1979-09,322.455
1979-10,304.964
1979-11,316.597
1979-12,318.818
1980-01,324.125
1980-02,306.552
1980-03,254.342
1980-04,300.634
1980-05,305.091
1980-06,313.958
1980-07,308.037
1980-08,295.546
1980-09,291.75
1980-10,276.307
1980-11,263.596
1980-12,253.727
1981-01,238.64
1981-02,231.138
1981-03,222.282
1981-04,213.812
1981-05,186.236
1981-06,176.781
1981-07,166.388
1981-08,169.682
1981-09,168.744
1981-10,171.973
1981-11,179.184
1981-12,210.778
1982-01,222.082
1982-02,214.249
1982-03,199.819
1982-04,209.178
1982-05,196.288
1982-06,186.547
1982-07,195.366
1982-08,204.48
1982-09,208.707
1982-10,204.465
1982-11,210.57
1982-12,226.911
1983-01,225.511
1983-02,230.406
1983-03,257.574
1983-04,276.896
1983-05,265.26
1983-06,278.208
1983-07,283.782
1983-08,273.74
1983-09,274.998
1983-10,258.468
1983-11,267.668
1983-12,280.315
1984-01,296.312
1984-02,299.062
1984-03,315.661
1984-04,329.448
1984-05,315.424
1984-06,299.272
1984-07,294.422
1984-08,330.0
1984-09,319.283
1984-10,326.712
1984-11,314.457
1984-12,312.155
1985-01,301.493
1985-02,305.442
1985-03,331.315
1985-04,327.211
1985-05,343.719
1985-06,331.586
1985-07,361.852
1985-08,377.228
1985-09,415.523
1985-10,495.869
1985-11,542.603
1985-12,551.308469
1986-01,544.448126
1986-02,689.40884
1986-03,711.662533
1986-04,792.603721
1986-05,733.421533
1986-06,783.189616
1986-07,806.55739
1986-08,870.074153
1986-09,873.830126
1986-10,883.152077
1986-11,955.679696
1986-12,983.386171
1987-01,1038.176912
1987-02,1080.563382
1987-03,1140.823843
1987-04,1216.724309
1987-05,1162.149632
1987-06,1219.109069
1987-07,1308.029105
1987-08,1358.796896
1987-09,1285.617308
1987-10,1042.1126
1987-11,1031.943501
1987-12,1060.902075
1988-01,1102.012356
1988-02,1378.335996
1988-03,1431.824741
1988-04,1441.541195
1988-05,1373.771988
1988-06,1392.651473
1988-07,1320.34655
1988-08,1313.399298
1988-09,1438.469247
1988-10,1563.743645
1988-11,1606.632622
1988-12,1629.812509
1989-01,1631.747824
1989-02,1594.544484
1989-03,1583.885514
1989-04,1632.934423
1989-05,1571.386891
1989-06,1583.33268
1989-07,1663.693384
1989-08,1627.206896
1989-09,1767.686066
1989-10,1698.857224
1989-11,1819.641805
1989-12,1911.585039
1990-01,1838.714333
1990-02,1670.26821
1990-03,1819.557153
1990-04,1805.724542
1990-05,1849.348938
1990-06,1861.043708
1990-07,1963.258011
1990-08,1780.886584
1990-09,1608.637453
1990-10,1741.202384
1990-11,1693.098948
1990-12,1701.65008
1991-01,1725.647437
1991-02,1913.76598
1991-03,1784.60888
1991-04,1730.194041
1991-05,1725.969888
1991-06,1629.314694
1991-07,1664.825472
1991-08,1662.058026
1991-09,1687.985324
1991-10,1720.434193
1991-11,1740.592071
1991-12,1935.9198775999998
1992-01,1933.5208966
1992-02,1932.8371405999999
1992-03,1896.9584923
1992-04,1923.2871174
1992-05,1978.1040787
1992-06,2009.4899979
1992-07,2064.2647226999998
1992-08,2002.7930359
1992-09,2081.0184065
1992-10,1964.4944200000002
1992-11,1929.1049077999999
1992-12,1907.412809
1993-01,2008.964614
1993-02,2014.2016400000002
1993-03,2189.171076
1993-04,2130.4047809999997
1993-05,2097.860427
1993-06,2116.398229
1993-07,2069.16445
1993-08,2083.563546
1993-09,2105.575008
1993-10,2186.6775628839305
1993-11,2220.830028236371
1993-12,2355.8631613328325
1994-01,2460.8014078793717
1994-02,2448.563627168731
1994-03,2414.979736641042
1994-04,2550.2980220456366
1994-05,2495.915892260986
1994-06,2458.577042018626
1994-07,2573.759253638576
