Date,CHINA A 50
2004-11,1000.0
2004-12,957.2663121555829
2005-01,928.4926038844137
2005-02,999.4559211737476
2005-03,921.5054097831417
2005-04,918.1715714147288
2005-05,835.3181178309814
2005-06,872.1926940846425
2005-07,931.8956584167729
2005-08,962.9957601638475
2005-09,934.7745800354372
2005-10,901.2452158900559
2005-11,904.2977196001862
2005-12,963.41234701695
2006-01,1037.500585808587
2006-02,1092.750163980066
2006-03,1091.7628862276142
2006-04,1204.7097824917985
2006-05,1362.3111028029327
2006-06,1402.944905430957
2006-07,1301.097215859745
2006-08,1358.4708983566238
2006-09,1450.3249886996277
2006-10,1568.202382892777
2006-11,1926.243792514177
2006-12,2426.15230495645
2007-01,2721.2773132114276
2007-02,2752.9878616851065
2007-03,2971.3371212795755
2007-04,3498.4813057538013
2007-05,3962.249237192363
2007-06,3962.9025818936184
2007-07,4741.791784673179
2007-08,5646.169876229493
2007-09,5845.9808116591
2007-10,6408.978046838402
2007-11,5305.723071904448
2007-12,5810.145320582005
2008-01,5029.155252166501
2008-02,5000.564433759895
2008-03,4208.456280691266
2008-04,4543.215245956711
2008-05,4094.6206069940445
2008-06,3273.9887461675576
2008-07,3308.970274448222
2008-08,2948.0357628311262
2008-09,2696.68089293345
2008-10,2026.9592360597917
2008-11,2204.913091377055
2008-12,2168.3187464291977
2009-01,2345.8013804952775
2009-02,2436.4423527404538
2009-03,2774.088981528792
2009-04,2909.337360849366
2009-05,3048.3323691709443
2009-06,3648.8481356513657
2009-07,4254.663939223177
2009-08,3151.606078239092
2009-09,3400.3732979368488
2009-10,3674.04844127367
2009-11,3851.0326668549365
2009-12,3936.134129031749
2010-01,3449.806465204406
2010-02,3500.9070596148754
2010-03,3607.315671906412
2010-04,3266.3480648044715
2010-05,2959.730249243431
2010-06,2832.8363246981994
2010-07,3129.6730951914697
2010-08,3075.7626312053953
2010-09,3117.4883481810275
2010-10,3544.9229107435594
2010-11,3239.702005312989
2010-12,3227.588541885839
2011-01,3186.3871668411607
2011-02,3332.003576256389
2011-03,3405.6320414119164
2011-04,3486.687487330588
2011-05,3345.3637825677583
2011-06,3390.7162502475917
2011-07,3304.4989033362185
2011-08,3241.421523726051
2011-09,2972.403245316122
2011-10,3148.046273995422
2011-11,2931.9429771152472
2011-12,2895.5323474149063
2012-01,3070.2559166866217
2012-02,3237.7395246565925
2012-03,3057.53764495378
2012-04,3254.958421540111
2012-05,3206.1094403906745
2012-06,3097.447636627533
2012-07,2978.577072163548
2012-08,2813.5166430252434
2012-09,2961.2395011514013
2012-10,2947.8118785084926
2012-11,2865.1358900390132
2012-12,3386.9413809015127
2013-01,3648.000363535342
2013-02,3585.3180167921882
2013-03,3309.438035244507
2013-04,3272.2786653619933
2013-05,3446.525617756858
2013-06,2978.8537219446835
2013-07,2943.0962068500035
2013-08,3106.788929520582
2013-09,3240.6590443926066
2013-10,3233.9168745899497
2013-11,3281.7642973520524
2013-12,3126.5871001198498
2014-01,2933.9376669733406
2014-02,2840.9657005887384
2014-03,2816.000317507686
2014-04,2851.916187923075
2014-05,2861.433319198462
2014-06,2911.6429130055412
2014-07,3259.5958798351435
2014-08,3183.978951984071
2014-09,3224.096392130962
2014-10,3298.467300509467
2014-11,3717.607656737216
2014-12,4962.187232846901
2015-01,4587.78959179182
2015-02,4664.821498633757
2015-03,5242.6385271077625
2015-04,6195.874534796263
2015-05,5992.173457002923
2015-06,5623.576042531444
2015-07,4862.84507099192
2015-08,4276.784145341222
2015-09,4149.261704148935
2015-10,4490.559886197521
2015-11,4483.986447615947
2015-12,4694.445542405179
2016-01,3865.3669152264893
2016-02,3819.7696744218633
2016-03,4221.441099389218
2016-04,4186.4801169724105
2016-05,4167.761933417282
2016-06,4126.209325217417
2016-07,4206.4060192320485
2016-08,4395.880285713015
2016-09,4349.908615834739
2016-10,4390.540160231859
2016-11,4642.788797997427
2016-12,4313.953939329532
2017-01,4515.566330306434
2017-02,4556.509285231774
2017-03,4579.946911781404
2017-04,4572.212364
2017-05,4927.322565
2017-06,5276.602693
2017-07,5465.531142
2017-08,5718.049118
2017-09,5701.812994
2017-10,6144.677885
2017-11,6296.692061
2017-12,6480.469781
2018-01,7355.62156
2018-02,6758.165516
2018-03,6504.164696701895
2018-04,6228.502888517641
2018-05,6185.505685844608
2018-06,5649.22298683983
2018-07,5571.120636652409
2018-08,5368.516622522843
2018-09,5584.78577250065
2018-10,5110.616898451274
2018-11,5135.880734004188
2018-12,4923.630650301081
2019-01,5551.252624772696
2019-02,6168.261883273216
2019-03,6427.214796850189
2019-04,6685.803911315865
2019-05,6105.871546565326
2019-06,6625.487204868607
2019-07,6702.418603549711
2019-08,6412.145046275608
2019-09,6451.663230643848
2019-10,6694.235343352612
2019-11,6579.125377705036
2019-12,7067.616479385989
2020-01,6823.000533454495
2020-02,6564.834032850343
2020-03,6069.020984667629
2020-04,6537.253549606992
2020-05,6398.59214060066
2020-06,6963.673496097029
2020-07,7883.775002593247
2020-08,8319.398387255971
