Date,SENEGAL
2016-11,1000.0
2016-12,1035.7258553408249
2017-01,1024.0654852312239
2017-02,1049.9035314448167
2017-03,1050.2588189709957
2017-04,1026.5365950186915
2017-05,1154.290076642871
2017-06,1146.8720176094378
2017-07,1161.0834893186718
2017-08,1180.5464351734295
2017-09,1161.5107718455317
2017-10,1122.5986874353353
2017-11,1144.0068601575445
2017-12,1182.3006432942943
2018-01,1174.6252291832814
2018-02,1098.659492938631
2018-03,1190.2920125022674
2018-04,1190.599203634346
2018-05,1158.3683866025424
2018-06,1158.6164212912086
2018-07,1119.4436252623261
2018-08,1102.5628402913042
2018-09,1039.160504738238
2018-10,957.9922609081993
2018-11,906.9308913122791
2018-12,813.9215331091777
2019-01,852.7261572416517
2019-02,1028.6430446616716
2019-03,979.3482541356418
2019-04,962.5116796310297
2019-05,915.0485726388139
2019-06,907.8890239944064
2019-07,914.2684912014898
2019-08,872.3659086976379
2019-09,790.3938431893032
2019-10,808.3060486108669
2019-11,782.868752963823
2019-12,921.740935450142
2020-01,832.6258861918767
2020-02,795.844271074884
2020-03,688.9429034392401
2020-04,735.6127676072182
2020-05,795.7798420981388
2020-06,774.0115659692334
2020-07,752.8057708993869
2020-08,792.4574784763606
2020-09,721.6505138411476
2020-10,710.6706854876005
2020-11,710.7589600179148
2020-12,876.3064589965759
2021-01,708.9796177595879
2021-02,822.6376447526488
2021-03,804.3387055926205
2021-04,884.1945575823113
2021-05,976.3384079473988
2021-06,926.4050884789607
2021-07,979.8481657579032
2021-08,935.8091498664197
2021-09,905.35225387462
2021-10,944.2030857848133
2021-11,910.5637708073591
2021-12,919.61873062961
2022-01,906.5183063395316
2022-02,1072.0833199967922
2022-03,1017.266560976569
2022-04,973.6697078152312
2022-05,996.5674768047484
2022-06,955.4226245595065
2022-07,957.5681226553511
2022-08,938.3016736694246
2022-09,895.9067008987025
2022-10,897.629478074088
2022-11,954.6206218073673
2022-12,1023.136527316769
2023-01,1040.8169604096386
2023-02,1096.5942247068285
2023-03,1082.6565037552784
2023-04,1113.3748314507818
2023-05,1109.444856911778
2023-06,1165.6335228193843
2023-07,1299.2131146091563
