Date,JAPAN
1969-12,100.0
1970-01,98.416
1970-02,99.625
1970-03,103.672
1970-04,91.122
1970-05,88.696
1970-06,90.32
1970-07,90.511
1970-08,89.539
1970-09,88.505
1970-10,89.647
1970-11,87.069
1970-12,87.768
1971-01,92.574
1971-02,96.828
1971-03,104.821
1971-04,110.251
1971-05,109.468
1971-06,119.945
1971-07,120.519
1971-08,112.552
1971-09,116.279
1971-10,111.709
1971-11,119.487
1971-12,134.854
1972-01,145.387
1972-02,158.647
1972-03,167.155
1972-04,175.58
1972-05,190.688
1972-06,198.294
1972-07,215.223
1972-08,220.534
1972-09,230.529
1972-10,237.948
1972-11,280.31
1972-12,304.45
1973-01,309.551
1973-02,335.56
1973-03,336.442
1973-04,299.15
1973-05,306.867
1973-06,312.276
1973-07,331.195
1973-08,315.503
1973-09,298.507
1973-10,296.973
1973-11,256.153
1973-12,242.026
1974-01,240.693
1974-02,250.458
1974-03,254.679
1974-04,258.463
1974-05,267.769
1974-06,258.318
1974-07,232.627
1974-08,207.011
1974-09,209.251
1974-10,191.804
1974-11,211.696
1974-12,203.088
1975-01,213.316
1975-02,244.414
1975-03,250.491
1975-04,251.125
1975-05,249.88
1975-06,252.638
1975-07,239.751
1975-08,229.102
1975-09,214.601
1975-10,237.709
1975-11,239.728
1975-12,242.413
1976-01,257.319
1976-02,259.105
1976-03,258.995
1976-04,260.65
1976-05,262.076
1976-06,275.165
1976-07,270.041
1976-08,279.487
1976-09,280.97
1976-10,266.234
1976-11,263.259
1976-12,303.344
1977-01,294.261
1977-02,309.332
1977-03,306.326
1977-04,311.962
1977-05,309.988
1977-06,322.207
1977-07,318.355
1977-08,335.162
1977-09,339.912
1977-10,346.545
1977-11,347.513
1977-12,349.97
1978-01,364.692
1978-02,378.504
1978-03,427.466
1978-04,424.731
1978-05,428.613
1978-06,468.854
1978-07,517.707
1978-08,509.959
1978-09,521.209
1978-10,561.636
1978-11,509.812
1978-12,534.587
1979-01,532.733
1979-02,512.197
1979-03,493.945
1979-04,478.601
1979-05,485.836
1979-06,489.02
1979-07,487.578
1979-08,489.381
1979-09,498.643
1979-10,459.951
1979-11,441.485
1979-12,469.319
1980-01,478.61
1980-02,459.895
1980-03,446.916
1980-04,483.277
1980-05,511.961
1980-06,531.841
1980-07,505.345
1980-08,538.846
1980-09,574.208
1980-10,588.06
1980-11,569.086
1980-12,608.914
1981-01,620.818
1981-02,611.843
1981-03,648.362
1981-04,695.436
1981-05,677.46
1981-06,701.241
1981-07,675.326
1981-08,701.399
1981-09,635.026
1981-10,634.309
1981-11,691.967
1981-12,703.059
1982-01,691.176
1982-02,636.048
1982-03,574.854
1982-04,625.92
1982-05,601.84
1982-06,565.462
1982-07,544.337
1982-08,547.336
1982-09,526.32
1982-10,528.218
1982-11,625.981
1982-12,696.985
1983-01,668.038
1983-02,678.942
1983-03,706.059
1983-04,720.905
1983-05,722.438
1983-06,745.282
1983-07,751.299
1983-08,741.9
1983-09,800.32
1983-10,796.282
