Date,DENMARK
1993-11,1672.0922870649454
1993-12,1772.3102858955715
1994-01,1925.2229578733381
1994-02,1932.3080994907402
1994-03,1905.3627883190768
1994-04,1938.1364844364143
1994-05,1791.0955598190271
1994-06,1872.4470595149085
1994-07,1965.2227350665676
1994-08,1827.309283314466
1994-09,1832.026329627839
1994-10,1867.9508678355787
1994-11,1791.5887217810234
1994-12,1839.0610919233598
1995-01,1864.7169832191385
1995-02,1919.5860907832339
1995-03,1909.0952361759562
1995-04,2001.1840447050558
1995-05,2086.70025565682
1995-06,2053.419841752534
1995-07,2197.7224538995893
1995-08,2082.396278759207
1995-09,2116.230472997428
1995-10,2121.2868961277345
1995-11,2131.8880876840362
1995-12,2184.5065237687427
1996-01,2256.7012441376255
1996-02,2287.7292811542034
1996-03,2231.3517334739186
1996-04,2216.6550454373214
1996-05,2223.9133703009793
1996-06,2282.8882110055106
1996-07,2319.0891455203246
1996-08,2404.7867535880273
1996-09,2398.1954295816604
1996-10,2478.03486534237
1996-11,2539.4503366397976
1996-12,2660.4591604196994
1997-01,2769.93768914754
1997-02,2752.9696341329354
1997-03,2838.7432066130596
1997-04,2753.213125756246
1997-05,2961.031142764301
1997-06,3022.4190356445406
1997-07,3217.427373610174
1997-08,3058.384105096019
1997-09,3411.217140061624
1997-10,3261.610533924109
1997-11,3298.5054372997065
1997-12,3578.7388891420965
1998-01,3590.875314487702
1998-02,3678.1501310074455
1998-03,4113.57337500956
1998-04,3940.299378736185
1998-05,4050.6070898724843
1998-06,3961.360130607925
1998-07,4079.5894450660976
1998-08,3621.4267287986563
1998-09,3460.270608280453
1998-10,3723.7327941866943
1998-11,3545.0807651259265
1998-12,3900.3287158975863
1999-01,3762.521440043793
1999-02,3438.4357860649116
1999-03,3379.4840116998907
1999-04,3624.7579345581526
1999-05,3523.680526225064
1999-06,3562.938172104122
1999-07,3812.597517756129
1999-08,3824.340980600785
1999-09,3940.654351237426
1999-10,3991.8048263238275
1999-11,4128.612470666344
1999-12,4370.848843986743
2000-01,4135.576597406033
2000-02,4286.77745226249
2000-03,4682.376497314369
2000-04,4255.229415283303
2000-05,4543.1440646474375
2000-06,4537.081576043842
2000-07,4632.1988527390495
2000-08,4901.033343298707
2000-09,4807.686057768426
2000-10,4587.572625233349
2000-11,4360.603375349608
2000-12,4521.362933462637
2001-01,5051.80430516645
2001-02,4594.939521669443
2001-03,4156.640563965102
2001-04,4260.281168854794
2001-05,4256.788796844586
2001-06,4183.086384028594
2001-07,4326.639448731391
2001-08,4089.8086819280315
2001-09,3731.154281698451
2001-10,3805.9628150974568
2001-11,3847.7903940208857
2001-12,3851.956640299746
2002-01,3647.0481958570726
2002-02,3734.5557429817754
2002-03,3872.0540821319682
2002-04,3729.5289390114713
2002-05,3816.565568193801
2002-06,3862.910408047956
2002-07,3370.1953996615835
2002-08,3478.527411014468
2002-09,3012.0519557327693
2002-10,3094.910571645328
2002-11,3220.5701967507766
2002-12,3234.627471857474
2003-01,3092.682546939677
2003-02,2952.947147763876
2003-03,3215.2399794532394
2003-04,3625.3269438633174
2003-05,3875.632908081667
2003-06,3859.0703352009073
2003-07,3780.997196732496
2003-08,4117.590037675437
2003-09,4272.656253758044
2003-10,4545.159382966526
2003-11,4523.891146117406
2003-12,4827.736144331087
2004-01,5047.789921381233
2004-02,5341.108496524481
2004-03,5132.536965934592
2004-04,5055.583794032569
2004-05,5077.7141009032675
2004-06,5373.166308994846
2004-07,5271.466846752532
2004-08,5367.810436195233
2004-09,5702.841883066548
2004-10,5651.788997496727
2004-11,6083.489618421198
2004-12,6315.505013413151
2005-01,6144.66664216706
2005-02,6619.79187053452
2005-03,6688.2502671538105
2005-04,6471.653908311047
2005-05,6653.366879839028
2005-06,6766.515667595708
2005-07,6976.7895395323885
2005-08,7327.48911406832
2005-09,7381.832711498634
2005-10,7218.831632497776
2005-11,7378.193776384208
2005-12,7862.80223446561
2006-01,8053.701965051543
2006-02,8082.878580543388
2006-03,8604.819134583757
2006-04,9141.468884358692
2006-05,8738.499575844244
2006-06,8644.790202895963
2006-07,8611.31196006678
2006-08,9172.752733787547
2006-09,9397.52769163438
2006-10,9809.987042709863
2006-11,10450.459134192637
2006-12,10911.087824721819
2007-01,11209.229926129012
2007-02,11229.411060469247
2007-03,11786.388521637567
2007-04,12607.37860543303
2007-05,12878.798002732563
2007-06,12553.652618380813
2007-07,13026.444286500602
2007-08,12968.529332557155
2007-09,13682.461901183206
2007-10,14241.430384270456
2007-11,13685.759413782951
2007-12,13703.627379055559
2008-01,12131.603034736208
2008-02,13213.942909072686
2008-03,13709.077741966876
2008-04,13619.842782555454
2008-05,14466.43565943494
2008-06,13572.776027013486
2008-07,13203.976496332072
2008-08,12614.905908831244
2008-09,9999.166821576804
2008-10,7432.148515244887
2008-11,6925.380763449105
2008-12,7186.13318564955
2009-01,7026.058067177106
2009-02,6305.756734783418
2009-03,6373.392534057688
2009-04,7541.380427266662
2009-05,8538.264162621685
2009-06,8553.284575555432
2009-07,9166.063023880457
2009-08,9892.963004081279
2009-09,10096.440687824219
2009-10,9810.076482253227
2009-11,10127.02552513517
2009-12,9814.235824242627
2010-01,10121.12108050179
2010-02,9991.290087906664
2010-03,10769.780619032277
2010-04,11389.984453171439
2010-05,10093.584827958963
2010-06,10185.291596319297
2010-07,11233.765592154687
2010-08,10697.839668881981
2010-09,11985.147527555375
2010-10,12393.276307843864
2010-11,11605.766115266906
2010-12,12830.29302927599
2011-01,13087.641257533052
2011-02,13739.987069041941
2011-03,14038.943443313707
2011-04,14474.720009720522
2011-05,13788.699597979701
2011-06,13124.134499123695
2011-07,12664.697719806134
2011-08,10959.072605069192
2011-09,9951.175995001222
2011-10,10694.191511585765
2011-11,11013.234049434883
2011-12,10774.912896734792
2012-01,11249.739300882291
2012-02,12865.789430994198
2012-03,12695.913296194089
2012-04,13095.368239268748
2012-05,11535.385270981717
2012-06,12301.699007264167
2012-07,12965.047813263363
2012-08,13395.680214327384
2012-09,13690.073017392917
2012-10,13574.460096380471
2012-11,13803.269874637197
2012-12,14143.986132783511
2013-01,15743.82701816897
2013-02,15262.577999030342
2013-03,14707.59912054537
2013-04,15292.715718077992
2013-05,14687.253539023224
2013-06,14131.597802589777
2013-07,15309.639587709507
2013-08,15385.42222273216
2013-09,16066.08827799601
2013-10,16332.686493140109
2013-11,17101.201522918782
2013-12,17715.248555275288
2014-01,18301.64609143182
2014-02,21023.618489541394
2014-03,20555.27662194825
2014-04,20674.97908656249
2014-05,20435.622975293198
2014-06,21208.517678943816
2014-07,20698.670750769663
2014-08,20427.77050792019
2014-09,20396.98389952614
2014-10,19908.687431718405
2014-11,19988.285512772996
2014-12,18809.60776482553
2015-01,19166.42598318891
2015-02,20787.273795260924
2015-03,21785.362877321004
2015-04,23013.08714809921
2015-05,22831.339438768206
2015-06,22298.922582811378
2015-07,23658.16438875857
2015-08,22433.63459038945
2015-09,21761.22201813924
2015-10,21863.216726951137
2015-11,22546.568798860793
2015-12,23216.709780131125
2016-01,22165.863370662108
2016-02,21645.73027686783
2016-03,22993.019129713713
2016-04,23495.90062020989
2016-05,23865.69032540108
2016-06,22860.65949599294
2016-07,23856.68453631176
2016-08,22338.391453200238
2016-09,21427.200842099723
2016-10,20092.156295536377
2016-11,18626.131693920124
2016-12,19555.302487817848
2017-01,20424.09381115091
2017-02,20326.10483559272
2017-03,20750.013048086763
2017-04,22353.217278
2017-05,23736.444066
2017-06,23926.417024
2017-07,24992.39111
2017-08,25864.205043
2017-09,25771.340612
2017-10,26141.629877
2017-11,25726.873158
2017-12,26339.172156
2018-01,27161.231584
2018-02,26414.683781
2018-03,25957.36727
2018-04,25398.258942056418
2018-05,24737.25620498447
2018-06,24132.05165027949
2018-07,25520.558554530155
2018-08,25617.69618264723
2018-09,24688.345778875595
2018-10,22273.769992242447
2018-11,23040.93511623991
2018-12,22276.030918495097
2019-01,23042.12986386177
2019-02,24381.149991165985
2019-03,25126.583506614443
2019-04,25031.972395374698
2019-05,24149.703354247904
2019-06,25522.23460023332
2019-07,24858.49322052496
2019-08,25459.76562524657
2019-09,25263.69267972863
2019-10,26226.87687489332
2019-11,27291.48966113441
2019-12,28559.554997227417
2020-01,29059.41488306564
2020-02,27271.21190002669
2020-03,26267.37211919794
2020-04,28454.16402556593
2020-05,30565.07293050095
2020-06,31219.730173010197
2020-07,34099.47353192011
2020-08,35557.09151346238
2020-09,36001.26092746925
2020-10,35011.643641294024
2020-11,38365.951299376975
2020-12,41049.39258200032
2021-01,39514.302901277726
2021-02,39418.87269912879
2021-03,39810.031559215495
2021-04,42553.61862088114
2021-05,44264.458272705386
2021-06,45010.938363753674
2021-07,47190.11193396279
2021-08,48922.81977027206
2021-09,46197.132606225445
2021-10,49312.85488317103
2021-11,46340.93919517905
2021-12,48868.13741820182
2022-01,43339.97910705646
2022-02,43910.27798599631
2022-03,45747.717600459466
2022-04,44271.73075577985
2022-05,42537.959437217774
2022-06,40277.187108080805
2022-07,43503.9011940965
2022-08,40127.11092752755
2022-09,35336.75217173087
2022-10,38768.34409317959
2022-11,43479.71312245073
2022-12,46504.61610894952
2023-01,47275.93957447371
2023-02,48518.616318184395
2023-03,52260.60179712184
2023-04,54383.807247537814
2023-05,52128.8023028665
2023-06,53124.99976258467
2023-07,53533.84250588197
