Date,HONG KONG
1969-12,100.0
1970-01,105.523
1970-02,112.983
1970-03,117.566
1970-04,118.056
1970-05,114.798
1970-06,120.36
1970-07,129.081
1970-08,134.533
1970-09,132.281
1970-10,128.423
1970-11,134.273
1970-12,144.339
1971-01,151.418
1971-02,144.052
1971-03,144.963
1971-04,156.238
1971-05,169.136
1971-06,205.388
1971-07,203.202
1971-08,241.088
1971-09,255.143
1971-10,248.419
1971-11,189.268
1971-12,231.847
1972-01,229.565
1972-02,238.003
1972-03,249.745
1972-04,279.276
1972-05,304.09
1972-06,320.176
1972-07,348.866
1972-08,321.227
1972-09,350.636
1972-10,450.346
1972-11,474.179
1972-12,606.81
1973-01,709.849
1973-02,1333.303
1973-03,1053.116
1973-04,609.044
1973-05,621.656
1973-06,527.338
1973-07,583.43
1973-08,500.582
1973-09,449.382
1973-10,518.665
1973-11,440.09
1973-12,368.367
1974-01,389.049
1974-02,330.955
1974-03,293.083
1974-04,263.732
1974-05,347.944
1974-06,347.311
1974-07,292.392
1974-08,226.543
1974-09,185.655
1974-10,198.246
1974-11,158.29
1974-12,157.926
1975-01,212.458
1975-02,243.092
1975-03,257.066
1975-04,290.72
1975-05,288.724
1975-06,289.808
1975-07,271.563
1975-08,266.217
1975-09,273.46
1975-10,280.383
1975-11,298.438
1975-12,331.176
1976-01,397.551
1976-02,425.275
1976-03,444.211
1976-04,415.161
1976-05,394.17
1976-06,405.768
1976-07,396.684
1976-08,408.007
1976-09,405.071
1976-10,386.634
1976-11,406.445
1976-12,464.107
1977-01,449.155
1977-02,440.096
1977-03,427.567
1977-04,450.921
1977-05,438.473
1977-06,442.601
1977-07,422.706
1977-08,433.129
1977-09,420.813
1977-10,417.683
1977-11,420.617
1977-12,409.286
1978-01,411.038
1978-02,417.002
1978-03,456.594
1978-04,458.383
1978-05,466.733
1978-06,567.609
1978-07,596.356
1978-08,698.102
1978-09,652.217
1978-10,684.121
1978-11,489.365
1978-12,482.166
1979-01,538.966
1979-02,516.704
1979-03,514.937
1979-04,512.827
1979-05,531.418
1979-06,507.328
1979-07,566.373
1979-08,557.634
1979-09,670.236
1979-10,663.863
1979-11,751.071
1979-12,880.828
1980-01,925.088
1980-02,921.069
1980-03,758.757
1980-04,874.358
1980-05,903.133
1980-06,1064.961
1980-07,1182.57
1980-08,1258.54
1980-09,1237.776
1980-10,1538.607
1980-11,1468.858
1980-12,1514.044
1981-01,1581.636
1981-02,1465.811
1981-03,1344.939
1981-04,1391.59
1981-05,1629.295
1981-06,1659.179
1981-07,1558.433
1981-08,1464.937
1981-09,1062.983
1981-10,1117.023
1981-11,1314.813
1981-12,1264.213
1982-01,1250.259
1982-02,1095.528
1982-03,1020.948
1982-04,1198.931
1982-05,1310.559
1982-06,1149.878
1982-07,1070.972
1982-08,933.526
1982-09,807.964
1982-10,638.062
1982-11,605.636
1982-12,702.501
1983-01,783.965
1983-02,897.315
1983-03,857.549
1983-04,856.059
1983-05,747.46
1983-06,792.53
1983-07,868.165
1983-08,751.563
1983-09,551.578
1983-10,664.816
1983-11,658.121
1983-12,682.511
1984-01,869.158
1984-02,837.104
1984-03,805.956
1984-04,824.291
1984-05,742.076
1984-06,730.946
1984-07,653.235
1984-08,766.761
1984-09,830.628
1984-10,842.177
1984-11,936.542
1984-12,1003.233
1985-01,1152.216
1985-02,1160.534
1985-03,1161.645
1985-04,1281.257
1985-05,1353.259
1985-06,1339.972
1985-07,1436.055
1985-08,1409.557
1985-09,1303.751
1985-10,1433.709
1985-11,1482.441
1985-12,1521.788751
1986-01,1488.259688
1986-02,1501.086217
1986-03,1453.551441
1986-04,1646.630678
1986-05,1608.27165
1986-06,1567.311936
1986-07,1690.890413
1986-08,1753.244776
1986-09,1897.992625
1986-10,2138.879576
1986-11,2218.416822
1986-12,2375.634596
1987-01,2397.135236
1987-02,2725.795331
1987-03,2595.503685
1987-04,2509.332517
