Date,SLOVENIA
2002-05,177.53728477321394
2002-06,194.07857851654148
2002-07,182.16160683793328
2002-08,193.05009796798097
2002-09,185.22057282635157
2002-10,185.3309306784664
2002-11,185.56450882587518
2002-12,190.77313604222422
2003-01,188.8786709738013
2003-02,186.88533603822387
2003-03,190.70828295447924
2003-04,197.23565103835702
2003-05,208.21852305259137
2003-06,192.98631445396938
2003-07,195.6404670631899
2003-08,191.1609197143209
2003-09,223.51336901430116
2003-10,227.97572810203843
2003-11,245.88846038336104
2003-12,263.84061428630474
2004-01,274.30268055344436
2004-02,268.4045038433193
2004-03,279.9178571651048
2004-04,294.6527165453353
2004-05,291.44239639541655
2004-06,289.8502081651081
2004-07,299.05873122393183
2004-08,315.61914041501905
2004-09,317.90052786371956
2004-10,337.3120296287298
2004-11,371.9193946240895
2004-12,384.4407816084489
2005-01,382.6317829131761
2005-02,383.9845802085613
2005-03,337.3512198793957
2005-04,324.72342311397375
2005-05,323.6419637745902
2005-06,302.24076995368534
2005-07,314.700279927975
2005-08,319.54574835901036
2005-09,315.56617636669273
2005-10,319.7359914351227
2005-11,328.79195486598724
2005-12,327.0832456005049
2006-01,346.59129518854763
2006-02,338.29823856919097
2006-03,350.21367075269893
2006-04,406.4785845643585
2006-05,435.5096014505622
2006-06,427.14066041565593
2006-07,455.9696160803973
2006-08,465.04939250126944
2006-09,516.604020914611
2006-10,616.0068265303155
2006-11,606.0212364439587
2006-12,613.1053711817899
2007-01,685.5734064858631
2007-02,661.0972254987767
2007-03,710.864634406456
2007-04,766.1898865196753
2007-05,790.8453617687559
2007-06,857.7907759261875
2007-07,926.8164337490681
2007-08,996.0645914157559
2007-09,1013.9962993459346
2007-10,996.9585385980088
2007-11,1000.0
2007-12,1039.8410626097386
2008-01,947.7096779028642
2008-02,950.1089468859
2008-03,848.1802240952248
2008-04,824.3666109585728
2008-05,829.8123187303045
2008-06,781.7450482694436
2008-07,793.491189233919
2008-08,707.4310835872506
2008-09,568.9723531790235
2008-10,438.5824349608629
2008-11,373.49226736399083
2008-12,360.3833503688014
2009-01,357.5051949852693
2009-02,344.52867426310416
2009-03,353.41372328479633
2009-04,364.7186359739186
2009-05,460.27154002753645
2009-06,474.8220398040761
2009-07,486.5008237796894
2009-08,493.4676723776712
2009-09,508.4137442369022
2009-10,515.4258284994636
2009-11,492.19686611666083
2009-12,454.50031035328806
2010-01,451.90959869555707
2010-02,428.9124635368549
2010-03,452.9054111498941
2010-04,430.7420256627374
2010-05,372.5710022415981
2010-06,374.383674286552
2010-07,384.1849206015471
2010-08,378.4674567914877
2010-09,403.995731022107
2010-10,416.01940347326644
2010-11,378.0926059597623
2010-12,389.17363219048593
2011-01,400.9290928707417
2011-02,389.68607026296536
2011-03,400.7973907842489
2011-04,409.3884226929283
2011-05,399.59567539122816
2011-06,400.02484541416874
2011-07,401.23855874217264
2011-08,377.1676839069409
2011-09,324.1600979085751
2011-10,353.8871244371093
2011-11,320.57760964344936
2011-12,316.5139999185254
2012-01,309.47377290034416
2012-02,312.45258397592266
2012-03,309.35364526081224
2012-04,294.7240191435943
2012-05,247.8558769065901
2012-06,253.07535797837406
2012-07,250.2316415687258
2012-08,256.8568903093259
2012-09,300.7867079508823
2012-10,295.1464726343338
2012-11,291.095191475022
2012-12,314.9990144874569
2013-01,345.3597090333063
2013-02,322.0511806173546
2013-03,286.16416097283377
2013-04,314.09335937777604
2013-05,311.72115785021043
2013-06,315.3528361414851
2013-07,346.5503014173435
2013-08,334.4357734510145
2013-09,351.00812046315735
2013-10,361.9875477399323
2013-11,371.2426998121939
2013-12,387.4651316823169
2014-01,375.64299890622976
2014-02,400.6041657594311
2014-03,388.4837106096309
2014-04,409.68179192086626
2014-05,435.2278108961919
2014-06,443.3672084176654
2014-07,420.50689336564074
2014-08,407.80069574365683
2014-09,402.6850514849168
2014-10,384.9376410469767
2014-11,368.58861090912995
2014-12,355.86696209178973
2015-01,328.6885509440695
2015-02,338.2542150975389
2015-03,324.3674187156876
2015-04,365.27365720313423
2015-05,353.3673273642071
2015-06,347.12301462943367
2015-07,349.38927597586166
2015-08,325.9559700421776
2015-09,320.54730376073985
2015-10,338.75692852576924
2015-11,314.45753745942835
2015-12,337.369942013864
2016-01,322.3371535112693
2016-02,321.01081275256746
2016-03,342.38425582321145
2016-04,339.53449702891413
2016-05,320.11839076197793
2016-06,309.05454170759066
2016-07,336.0897272620441
2016-08,328.34622001682555
2016-09,347.2492242845477
2016-10,323.4081789007803
2016-11,273.26917656948274
2016-12,285.3421969164093
2017-01,290.80794673641424
2017-02,289.48165968161476
2017-03,290.68882327835354
2017-04,297.955941
2017-05,317.430763
2017-06,326.47326
2017-07,353.21172
2017-08,366.517032
2017-09,356.527102
2017-10,350.904603
2017-11,357.666818
2017-12,377.959925
2018-01,404.174853
2018-02,394.079371
2018-03,389.722795
2018-04,392.4794844805616
2018-05,375.9601965953671
2018-06,375.8906839389166
2018-07,393.19397464175825
2018-08,381.6226984704333
2018-09,368.69604031556264
2018-10,353.1367946498955
2018-11,367.2322915450443
2018-12,381.4137415764367
2019-01,383.5012030282651
2019-02,383.0197677170855
2019-03,381.74894670637866
2019-04,390.52614210609386
2019-05,395.7933623000392
2019-06,414.4102184664903
2019-07,406.90483842910317
2019-08,404.4535684005537
2019-09,407.62238903211244
2019-10,424.7232296810498
2019-11,459.93258468610435
2019-12,496.9722595768075
2020-01,508.69120848023346
2020-02,473.0192153817989
2020-03,384.1278330193163
2020-04,423.5604284486478
2020-05,454.6963604626715
2020-06,476.84241587512446
