Date,NORWAY
1969-12,100.0
1970-01,103.974
1970-02,102.185
1970-03,107.191
1970-04,104.384
1970-05,100.331
1970-06,105.44
1970-07,112.931
1970-08,124.331
1970-09,127.865
1970-10,130.552
1970-11,129.693
1970-12,133.284
1971-01,143.196
1971-02,143.545
1971-03,129.407
1971-04,136.273
1971-05,154.427
1971-06,175.436
1971-07,170.502
1971-08,176.423
1971-09,164.616
1971-10,147.515
1971-11,143.535
1971-12,157.069
1972-01,153.493
1972-02,151.978
1972-03,157.731
1972-04,156.07
1972-05,154.552
1972-06,174.254
1972-07,179.486
1972-08,184.735
1972-09,174.684
1972-10,166.574
1972-11,169.804
1972-12,170.112
1973-01,198.564
1973-02,218.181
1973-03,249.326
1973-04,312.641
1973-05,362.163
1973-06,391.017
1973-07,390.149
1973-08,357.337
1973-09,362.798
1973-10,383.553
1973-11,358.541
1973-12,387.556
1974-01,411.416
1974-02,386.152
1974-03,369.703
1974-04,369.715
1974-05,317.96
1974-06,303.591
1974-07,314.627
1974-08,269.356
1974-09,220.128
1974-10,258.561
1974-11,245.34
1974-12,231.016
1975-01,258.047
1975-02,266.319
1975-03,255.894
1975-04,272.079
1975-05,263.737
1975-06,258.987
1975-07,252.778
1975-08,245.554
1975-09,201.296
1975-10,209.301
1975-11,193.755
1975-12,194.658
1976-01,233.547
1976-02,217.048
1976-03,207.954
1976-04,204.026
1976-05,199.879
1976-06,214.339
1976-07,219.815
1976-08,214.261
1976-09,220.567
1976-10,211.435
1976-11,220.382
1976-12,221.957
1977-01,211.964
1977-02,203.851
1977-03,205.75
1977-04,193.073
1977-05,186.496
1977-06,189.641
1977-07,189.5
1977-08,174.96
1977-09,181.565
1977-10,178.435
1977-11,167.248
1977-12,168.166
1978-01,159.017
1978-02,148.629
1978-03,150.362
1978-04,150.9
1978-05,155.663
1978-06,146.077
1978-07,155.811
1978-08,185.763
1978-09,196.007
1978-10,183.437
1978-11,174.363
1978-12,176.44
1979-01,187.124
1979-02,211.151
1979-03,217.408
1979-04,248.546
1979-05,280.287
1979-06,333.531
1979-07,331.576
1979-08,338.117
1979-09,395.055
1979-10,424.646
1979-11,506.164
1979-12,496.291
1980-01,505.958
1980-02,473.762
1980-03,343.158
1980-04,399.864
1980-05,456.745
1980-06,452.599
1980-07,436.63
1980-08,418.32
1980-09,462.692
1980-10,451.002
1980-11,434.255
1980-12,400.437
1981-01,377.317
1981-02,359.295
1981-03,347.4
1981-04,331.688
1981-05,288.337
1981-06,280.039
1981-07,320.242
1981-08,328.054
1981-09,306.537
1981-10,336.981
1981-11,359.074
1981-12,332.148
1982-01,331.629
1982-02,300.553
1982-03,264.626
1982-04,287.562
1982-05,292.732
1982-06,257.98
1982-07,250.621
1982-08,254.753
1982-09,229.842
1982-10,232.752
1982-11,224.662
1982-12,235.163
1983-01,262.025
1983-02,287.221
