Date,CROATIA
2002-05,316.39114429420226
2002-06,322.8567610201474
2002-07,274.0214297580015
2002-08,287.2043080537572
2002-09,277.87490922007834
2002-10,273.46193639988115
2002-11,324.3734528019965
2002-12,321.2392806973721
2003-01,321.06020882403385
2003-02,291.3573322800917
2003-03,269.2485792707875
2003-04,327.5959866259233
2003-05,317.052985153433
2003-06,326.3131112049179
2003-07,341.8493954117861
2003-08,351.6632451183011
2003-09,340.4932537684867
2003-10,349.6619592416155
2003-11,364.0957208049648
2003-12,381.474258190528
2004-01,382.05799872170405
2004-02,382.4727362214655
2004-03,390.7306167191661
2004-04,398.3588182627309
2004-05,377.0811683612477
2004-06,369.05336564615
2004-07,360.53800723656445
2004-08,374.6297450498344
2004-09,397.23972221212546
2004-10,404.6546315442286
2004-11,382.8053656083151
2004-12,374.96952127743714
2005-01,362.7417908138394
2005-02,444.7971824289967
2005-03,348.79032262070615
2005-04,328.9899341296284
2005-05,335.6450240765137
2005-06,361.69576016614946
2005-07,363.69509927354824
2005-08,368.4976583229989
2005-09,389.69866682647654
2005-10,382.61029463275327
2005-11,380.5778752704957
2005-12,377.4167929518894
2006-01,407.65351578538764
2006-02,422.47916684951775
2006-03,545.8456556459371
2006-04,595.699345248796
2006-05,606.1618671752874
2006-06,749.1844953028769
2006-07,799.7970164134601
2006-08,825.191138056554
2006-09,788.6330734907647
2006-10,794.958415849442
2006-11,837.4826318969341
2006-12,838.2691877788084
2007-01,870.8036264861304
2007-02,887.4113138922297
2007-03,949.3062082648405
2007-04,1036.3840818555534
2007-05,1049.4097642447468
2007-06,1028.2829761217806
2007-07,1041.1406775080256
2007-08,989.3148551938776
2007-09,1069.7815577764168
2007-10,1049.32741620626
2007-11,1000.0
2007-12,1096.1100488940122
2008-01,968.4324635619315
2008-02,952.5702930163504
2008-03,933.9776403778388
2008-04,869.8258219171425
2008-05,929.7471325572648
2008-06,886.9869560393221
2008-07,917.7017093054047
2008-08,849.3647899761748
2008-09,730.2261578374817
2008-10,514.4056602381978
2008-11,394.5885321325843
2008-12,430.17322658019333
2009-01,408.7496704141091
2009-02,370.9304124618607
2009-03,399.8008692394385
2009-04,442.4385577467566
2009-05,569.67892215439
2009-06,534.7444515303516
2009-07,556.7703930782935
2009-08,582.4324839957527
2009-09,688.0286446518412
2009-10,704.0716964197829
2009-11,704.4726213613951
2009-12,679.8228006725619
2010-01,717.2300960353886
2010-02,710.7250729004226
2010-03,736.6977541199294
2010-04,709.8976567786985
2010-05,627.0667799122416
2010-06,618.4867816241289
2010-07,648.2339871445982
2010-08,622.6972509298622
2010-09,709.5326448178381
2010-10,708.1390617639842
2010-11,656.9588215108529
2010-12,774.0102561401366
2011-01,844.826537273052
2011-02,803.821195153114
2011-03,873.8933205942449
2011-04,882.3551865860545
2011-05,845.3469335992588
2011-06,859.7284636450108
2011-07,835.9054645304057
2011-08,820.6677908770085
2011-09,743.3922607445091
2011-10,774.2636577118092
2011-11,720.1953308122195
2011-12,695.1659825702856
2012-01,687.2102523881925
2012-02,692.1276258060371
2012-03,678.4821024665963
2012-04,675.6843968180723
2012-05,607.9534003890648
2012-06,637.7974061541181
2012-07,635.8221186312644
2012-08,655.9157153759055
2012-09,688.7487882662231
2012-10,687.8918182686682
2012-11,690.3427666481866
2012-12,677.6363770291283
2013-01,759.4617440058632
2013-02,732.3100373979242
2013-03,718.6136617808824
2013-04,736.7259500740078
2013-05,721.6092479799009
2013-06,696.9591246267854
2013-07,696.7189048897653
2013-08,699.5614897838062
2013-09,692.0482060174375
2013-10,657.2966269011812
2013-11,669.6470339907378
2013-12,689.1865719514008
2014-01,645.983652229107
2014-02,673.0427169352038
2014-03,645.2198327122774
2014-04,633.4721722891207
2014-05,653.5354719934408
2014-06,663.7757292907961
2014-07,645.0164991879859
2014-08,646.138013985082
2014-09,658.4107179868207
2014-10,632.0617056222613
2014-11,619.384062874725
2014-12,591.5145707488595
2015-01,570.3869832029097
2015-02,576.109669987834
2015-03,544.2369583293939
2015-04,579.9855857830554
2015-05,564.9186146048526
2015-06,575.5528873620633
2015-07,591.102059607245
2015-08,585.5902574941533
2015-09,541.0800858392378
2015-10,571.2795104347414
2015-11,531.5325647080568
2015-12,546.4926771785085
2016-01,523.3347999622489
2016-02,533.0071453037488
2016-03,597.3656191846134
2016-04,601.4455802916336
2016-05,584.0929566290589
2016-06,588.3636681528362
2016-07,615.3096547753515
2016-08,622.3556678909529
2016-09,688.9066167406771
2016-10,678.2539429211972
2016-11,663.6441412791115
2016-12,666.8073236970214
2017-01,714.5335289931045
2017-02,762.4652202499342
2017-03,699.1607517721417
2017-04,724.37515
2017-05,751.114712
2017-06,801.026622
2017-07,824.52235
2017-08,824.029234
2017-09,791.603759
2017-10,779.699211
2017-11,775.299074
2017-12,775.275145
2018-01,810.164719
2018-02,775.812955
2018-03,780.104779
2018-04,771.7715766412088
2018-05,754.9688292512731
2018-06,739.8945398507111
2018-07,752.2761010196122
2018-08,745.7052659817715
2018-09,726.3723260133486
2018-10,707.9237341778962
2018-11,698.079279816784
2018-12,701.0773297299405
2019-01,698.2060857518843
2019-02,721.0358042493444
2019-03,720.4290593220603
2019-04,736.5250824377288
2019-05,736.9281830692757
2019-06,801.0611288187428
2019-07,790.2460193244698
2019-08,766.7953495945852
2019-09,802.7435699564119
2019-10,822.1271850146007
2019-11,820.0643756056625
2019-12,850.5294147109205
2020-01,870.0041365224042
2020-02,802.6713595530548
2020-03,693.1154458341567
2020-04,710.9529253663337
2020-05,747.441638785097
2020-06,775.365017024678
2020-07,793.1227005404056
2020-08,830.0835960343377
