Date,INDIA
2000-12,100.0
2001-01,108.79309374024108
2001-02,104.8343677343052
2001-03,86.34819674047347
2001-04,84.39487970009613
2001-05,87.73159267619093
2001-06,83.13729699506445
2001-07,80.33495661758603
2001-08,79.13876710101836
2001-09,68.10671713370556
2001-10,72.65725601007541
2001-11,80.0901375665819
2001-12,80.20093017209422
2002-01,81.60837126714841
2002-02,86.71594026785131
2002-03,86.1497293081812
2002-04,82.38291033922911
2002-05,77.18897983900055
2002-06,79.50260800223322
2002-07,73.7767539664955
2002-08,78.32483416159619
2002-09,74.5055272730387
2002-10,74.37099407868637
2002-11,82.10559664952413
2002-12,86.535491059915
2003-01,82.9637406548364
2003-02,84.14548379143946
2003-03,77.87199397245949
2003-04,74.46744694950391
2003-05,80.53700370575234
2003-06,92.03679311222619
2003-07,98.33523719257222
2003-08,111.03211605238971
2003-09,117.43072338505068
2003-10,129.73671551449218
2003-11,132.91053647729132
2003-12,154.33314305744256
2004-01,150.6009888401912
2004-02,148.72335779063087
2004-03,152.21781217939696
2004-04,149.71810817677238
2004-05,126.13667639840833
2004-06,126.61479111568907
2004-07,135.65745190503006
2004-08,135.6156298626097
2004-09,147.13946424651488
2004-10,152.62354546183136
2004-11,171.29284079730013
2004-12,183.81941541832506
2005-01,180.58510729984422
2005-02,185.56547090554182
2005-03,179.45383356261115
2005-04,169.90552338803138
2005-05,184.93319590100194
2005-06,200.92996646802797
2005-07,212.25264124953296
2005-08,213.00254897396348
2005-09,233.84875351672557
2005-10,210.0080687205604
2005-11,230.7274780078239
2005-12,252.88176355567595
2006-01,272.0260169941295
2006-02,278.83766106940027
2006-03,306.61631095541975
2006-04,317.38489620087785
2006-05,272.41285068318376
2006-06,278.02559645801995
2006-07,278.291350876848
2006-08,304.509940368119
2006-09,328.46121186757705
2006-10,350.27591379383523
2006-11,370.3053394640644
2006-12,381.8614505450637
2007-01,391.60193503307494
2007-02,357.79277770526545
2007-03,369.0456012
2007-04,413.75496007075674
2007-05,442.4936278616235
2007-06,445.968067395884
2007-07,473.7599823832403
2007-08,458.88419151654614
2007-09,536.0630281166716
2007-10,627.1938625214409
2007-11,614.6666358032232
2007-12,661.0436763389101
2008-01,566.246800435975
2008-02,552.6967582224511
2008-03,482.62938436150586
2008-04,536.0938485528411
2008-05,481.8005784263912
2008-06,387.53443533372393
2008-07,413.5643937781779
2008-08,408.7321186484358
2008-09,333.5520848303528
2008-10,238.57222570825067
2008-11,213.11815172639444
2008-12,233.78843541002942
2009-01,229.0854570418693
2009-02,205.33742162207977
2009-03,230.2909971065591
2009-04,275.30628825887817
2009-05,376.2786152910088
2009-06,368.09872324101644
2009-07,400.9359161404379
2009-08,396.5831085588878
2009-09,440.2403498708372
2009-10,422.56540573193195
2009-11,458.11012682752204
2009-12,474.14474547125184
2010-01,449.03501450154835
2010-02,455.0993256259935
2010-03,497.15854850237577
2010-04,506.49147176934605
2010-05,466.0346576512542
2010-06,486.02676149549814
2010-07,489.5559634117312
2010-08,482.5132760775347
2010-09,561.0706445744611
2010-10,570.1833327252067
2010-11,532.945793570081
2010-12,573.4766573782945
2011-01,498.58145201000247
2011-02,489.7838223725201
2011-03,544.1781605382079
2011-04,538.4976620432502
2011-05,515.7418226530891
2011-06,524.8593431460224
2011-07,512.8367512266512
2011-08,449.4924278206598
2011-09,420.1995398362547
2011-10,456.1813404609365
2011-11,383.3487982686459
2011-12,360.34113237114684
2012-01,435.9293719582624
2012-02,456.93540732704463
2012-03,432.5915239966244
2012-04,412.12001487929354
2012-05,364.32973298686613
2012-06,391.34355020609996
2012-07,389.6871767888095
2012-08,394.0778925008914
2012-09,451.7236792507041
2012-10,434.58395263479184
2012-11,453.9963888950313
2012-12,453.91343977871566
2013-01,476.65580868167734
2013-02,441.70952939104063
2013-03,442.32755470524523
2013-04,460.8251977633166
2013-05,447.2497947763928
2013-06,417.54171424557956
2013-07,405.94474361903474
2013-08,362.31791549722413
2013-09,395.61762502881857
2013-10,437.389899379525
