Date,BOSNIA AND HERZEGOVINA
2010-05,999.3785206626993
2010-06,1037.66374468
2010-07,1073.92762482
2010-08,1099.5007591861645
2010-09,1095.077613441329
2010-10,1139.6327052767783
2010-11,1011.9176493337521
2010-12,1119.4167504909587
2011-01,1292.7175562906966
2011-02,1314.9300093353525
2011-03,1413.4328105870054
2011-04,1424.2004298209079
2011-05,1381.6290218779206
2011-06,1343.076160867252
2011-07,1311.7873321602456
2011-08,1220.3981448354543
2011-09,1168.837489170373
2011-10,1124.9106314482774
2011-11,985.2761005004335
2011-12,950.3633058646501
2012-01,1036.9566376783982
2012-02,1045.316139313019
2012-03,1025.5532867172315
2012-04,996.9794741461626
2012-05,866.9695518461111
2012-06,829.0049624101177
2012-07,836.2612963733164
2012-08,881.597895401295
2012-09,1001.1391762173389
2012-10,982.1931720231449
2012-11,1018.6534655041871
2012-12,1040.6109089567929
2013-01,1173.1909258430346
2013-02,1132.0152489852426
2013-03,1094.7015077142291
2013-04,1111.5971955122445
2013-05,990.0425725122647
2013-06,993.5334487958241
2013-07,1050.8629761614354
2013-08,1051.9125566590583
2013-09,1077.2849718212262
2013-10,1120.8501639070491
2013-11,1097.5262877797659
2013-12,1240.8274137741287
2014-01,1195.3772543140324
2014-02,1197.8735920654747
2014-03,1189.7160555971564
2014-04,1222.1102418795983
2014-05,1162.559093958243
2014-06,1252.295519553323
2014-07,1232.2889164667579
2014-08,1193.1541943862337
2014-09,1152.3004550284252
2014-10,1148.3543128259694
2014-11,1157.726302637343
2014-12,1141.7199314162942
2015-01,1050.0177131726532
2015-02,1024.9380930280688
2015-03,983.0634914993593
2015-04,1035.7657294740568
2015-05,1003.5078175929305
2015-06,980.6335293428269
2015-07,993.5794957844357
2015-08,988.6699303198741
2015-09,960.6654866161665
2015-10,998.7416186604123
2015-11,952.8733960860177
2015-12,967.4161255405745
2016-01,877.4839284118221
2016-02,885.0770856914883
2016-03,949.2358680592605
2016-04,925.5244768897047
2016-05,877.0971562493673
2016-06,844.9055357975896
2016-07,822.7502787802001
2016-08,796.2055044455573
2016-09,756.6091922599938
2016-10,758.6158199962553
2016-11,750.3289240252446
2016-12,740.9697715884001
2017-01,768.7213404393767
2017-02,865.3561557298389
2017-03,813.1636211239595
2017-04,821.565835
2017-05,834.941224
2017-06,852.965459
2017-07,879.195842
2017-08,873.874325
2017-09,876.362105
2017-10,885.699119
2017-11,908.616069
2017-12,867.392127
2018-01,953.244349
2018-02,908.107572
2018-03,888.615558
2018-04,853.0564815809438
2018-05,778.9170921397075
2018-06,770.6828260178072
2018-07,772.4515215442622
2018-08,815.7592919663797
2018-09,775.4988572133173
2018-10,737.2269810265067
2018-11,729.7813113295863
2018-12,781.5681787436076
2019-01,790.9569219054945
2019-02,795.2464325097727
2019-03,812.4226648174459
2019-04,833.0788557550811
2019-05,822.984543201221
2019-06,830.1929050791068
2019-07,823.8545015396859
2019-08,844.6401305486894
2019-09,835.5992876178224
2019-10,848.4912252314635
2019-11,873.4979193042474
2019-12,890.9056638405632
2020-01,900.0239400403834
2020-02,897.9702893310514
2020-03,813.7754336438662
2020-04,792.5256699857549
2020-05,890.5020620890014
2020-06,924.0002561284847
2020-07,950.8227796475011
2020-08,975.6413104066985
2020-09,1002.691997926503
2020-10,991.2710278085877
2020-11,1003.914464903853
2020-12,1041.0998836556616
2021-01,1075.8548785664707
2021-02,1078.5491607547985
2021-03,1049.6968488809698
2021-04,1060.7582898426745
2021-05,1138.7122117523177
2021-06,1148.9419947095987
2021-07,1198.35823975507
2021-08,1194.7640113740697
2021-09,1275.379805392061
2021-10,1408.7025667074251
2021-11,1420.9614357776097
2021-12,1468.7449545829165
2022-01,1540.6860111834835
2022-02,1509.6305145722934
2022-03,1482.6376739966793
2022-04,1517.6226070582868
2022-05,1588.9116619698052
2022-06,1541.8108682095346
2022-07,1557.7216904371642
2022-08,1522.1363631002127
2022-09,1499.8529346120913
2022-10,1579.8063432439512
2022-11,1568.5444203190777
2022-12,1711.1026591040236
2023-01,1732.603874344029
2023-02,1781.6201658150383
2023-03,1865.2611784737794
2023-04,1868.3918232446426
2023-05,1664.0544359018634
2023-06,1647.0713627147409
2023-07,1547.4713131149047
