Date,CHINA A
2008-11,995.8994120806914
2008-12,970.2461648276729
2009-01,1051.4799805731498
2009-02,1096.8006538672653
2009-03,1249.151614457865
2009-04,1313.4668290279042
2009-05,1362.7739979515172
2009-06,1592.211594726242
2009-07,1880.2525564411112
2009-08,1422.634179818659
2009-09,1512.8245101781347
2009-10,1632.2740103016472
2009-11,1732.8477865854566
2009-12,1768.2154376196086
2010-01,1558.8372883497673
2010-02,1586.0396081302226
2010-03,1618.789145635201
2010-04,1478.8965626257257
2010-05,1335.4014075277005
2010-06,1261.0174208111328
2010-07,1405.080129129028
2010-08,1395.7950877343724
2010-09,1430.5074905126253
2010-10,1656.736688494822
2010-11,1528.7548996268315
2010-12,1551.5544685431198
2011-01,1540.5846095691452
2011-02,1604.3475782444468
2011-03,1611.2571349278294
2011-04,1619.5318022304098
2011-05,1534.6117538430958
2011-06,1577.015663880708
2011-07,1539.178833396367
2011-08,1482.9821029621253
2011-09,1358.776400632676
2011-10,1430.6578969204302
2011-11,1334.419559971955
2011-12,1283.1241066884384
2012-01,1348.5388909684523
2012-02,1428.9038651185801
2012-03,1334.4085838813544
2012-04,1422.5694747467967
2012-05,1406.651947363433
2012-06,1345.1052699430738
2012-07,1290.1449623219692
2012-08,1220.7237036363936
2012-09,1283.854693835261
2012-10,1275.5742853928748
2012-11,1223.5183274545327
2012-12,1428.9948275944514
2013-01,1509.4788788995772
2013-02,1496.9786267075924
2013-03,1402.3532985558033
2013-04,1386.6091650714643
2013-05,1473.5271043483854
2013-06,1269.5738368330792
2013-07,1277.9515766439963
2013-08,1348.8255689395407
2013-09,1403.8062691997213
2013-10,1388.8630817408057
2013-11,1430.4743427344765
2013-12,1377.0752244574676
2014-01,1299.8900923061055
2014-02,1264.278419927077
2014-03,1233.0996806321775
2014-04,1230.3113707574748
2014-05,1231.6620912398178
2014-06,1255.7843820135179
2014-07,1387.3130066168387
2014-08,1384.9199733807052
2014-09,1447.0638321285587
2014-10,1491.3627805314666
2014-11,1654.2684224218085
2014-12,2042.8603316688068
2015-01,1977.1302458358339
2015-02,2050.7291650208113
2015-03,2360.502527663754
2015-04,2803.9894162034907
2015-05,2859.13601643787
2015-06,2645.7537799479205
2015-07,2264.896429243352
2015-08,1944.9175941740143
2015-09,1849.7200221160954
2015-10,2072.6341305885257
2015-11,2066.603527813292
2015-12,2110.564871964891
2016-01,1626.8464641157277
2016-02,1605.0797513275777
2016-03,1821.7996149593603
2016-04,1773.3079887438844
2016-05,1747.1206533451743
2016-06,1746.2616374219692
2016-07,1807.271761461668
2016-08,1862.6213060443772
2016-09,1817.4598605655472
2016-10,1838.3601554314725
2016-11,1908.971021749387
2016-12,1784.498994585137
2017-01,1846.2276861294763
2017-02,1888.9025580049974
2017-03,1884.86147582194
2017-04,1882.2580759692894
2017-05,1916.0122745790802
2017-06,2035.0087046653186
2017-07,2117.5878409920165
2017-08,2205.0807504662503
2017-09,2211.224131936747
2017-10,2301.4360046161755
2017-11,2271.163917685807
2017-12,2316.9523865488236
2018-01,2517.6553992963463
2018-02,2346.178215
2018-03,2289.209973
2018-04,2186.970645
2018-05,2158.244159
2018-06,1934.321027
2018-07,1899.341718
2018-08,1779.773347351289
2018-09,1825.451948913334
2018-10,1642.6535998445468
2018-11,1663.0504028909959
2018-12,1614.564549745999
2019-01,1756.4650242021164
2019-02,2002.8782986300023
2019-03,2114.0363239530247
2019-04,2117.41507075675
2019-05,1922.6544600019233
2019-06,2041.5601658167081
2019-07,2055.2843509676522
2019-08,1979.9639050143307
2019-09,1991.2998888250013
2019-10,2052.283930060468
2019-11,2030.0074367027535
2019-12,2197.593110952149
2020-01,2157.8613718226616
2020-02,2148.5024284370306
2020-03,1995.563901410459
2020-04,2133.04859202659
2020-05,2090.7448511695757
2020-06,2308.6150468802048
2020-07,2655.462890744011
2020-08,2782.855684641303
2020-09,2662.24019935692
2020-10,2749.5033656547107
2020-11,2919.5623056267254
2020-12,3147.0068838276943
2021-01,3265.7218301083262
2021-02,3216.8828774605154
2021-03,3015.2294612193477
2021-04,3143.775575147184
2021-05,3340.751576339508
2021-06,3292.367246091207
2021-07,3075.9772752336585
2021-08,3110.4190731383474
2021-09,3148.4843858652316
2021-10,3212.656115735299
2021-11,3203.485119
2021-12,3247.785182147464
2022-01,2962.0188680531487
2022-02,3038.3704837194014
2022-03,2775.384111962901
2022-04,2507.0743156582184
2022-05,2576.5837625696786
2022-06,2822.639325822419
2022-07,2647.773956292909
2022-08,2549.3065181144975
2022-09,2307.398114728854
2022-10,2088.2342648643885
2022-11,2359.5107706821022
2022-12,2406.470458906766
2023-01,2635.5039396064
2023-02,2519.0835127717605
2023-03,2518.8342989296116
2023-04,2467.031865085149
2023-05,2269.5331293706267
2023-06,2250.3297419013907
2023-07,2401.9662215996846
