Date,SINGAPORE
1969-12,100.0
1970-01,98.938
1970-02,100.495
1970-03,97.934
1970-04,91.793
1970-05,91.488
1970-06,92.15
1970-07,93.066
1970-08,92.138
1970-09,92.958
1970-10,93.804
1970-11,92.734
1970-12,95.634
1971-01,101.807
1971-02,100.81
1971-03,103.078
1971-04,105.57
1971-05,115.994
1971-06,120.068
1971-07,126.212
1971-08,130.174
1971-09,141.462
1971-10,145.989
1971-11,151.258
1971-12,155.854
1972-01,166.376
1972-02,177.902
1972-03,212.90200000000002
1972-04,217.456
1972-05,214.437
1972-06,223.132
1972-07,254.971
1972-08,265.66
1972-09,254.841
1972-10,270.255
1972-11,354.521
1972-12,494.928
1973-01,575.101
1973-02,506.73
1973-03,518.474
1973-04,401.751
1973-05,494.382
1973-06,516.343
1973-07,484.386
1973-08,398.086
1973-09,428.474
1973-10,448.673
1973-11,371.706
1973-12,331.202
1974-01,340.378
1974-02,338.762
1974-03,317.655
1974-04,283.538
1974-05,316.488
1974-06,293.812
1974-07,252.842
1974-08,221.765
1974-09,197.046
1974-10,206.042
1974-11,170.746
1974-12,170.388
1975-01,261.046
1975-02,319.087
1975-03,343.026
1975-04,337.813
1975-05,314.632
1975-06,280.664
1975-07,259.075
1975-08,249.795
1975-09,245.761
1975-10,271.514
1975-11,262.737
1975-12,277.775
1976-01,343.382
1976-02,334.197
1976-03,306.463
1976-04,326.103
1976-05,313.714
1976-06,320.304
1976-07,311.539
1976-08,324.654
1976-09,325.982
1976-10,307.712
1976-11,297.128
1976-12,315.148
1977-01,312.885
1977-02,309.817
1977-03,302.079
1977-04,296.072
1977-05,296.272
1977-06,309.677
1977-07,319.107
1977-08,323.406
1977-09,315.707
1977-10,318.111
1977-11,325.894
1977-12,332.226
1978-01,327.303
1978-02,330.441
1978-03,360.559
1978-04,378.893
1978-05,401.944
1978-06,450.621
1978-07,468.259
1978-08,545.369
1978-09,483.923
1978-10,557.284
1978-11,462.643
1978-12,480.14
1979-01,525.133
1979-02,492.461
1979-03,524.195
1979-04,537.887
1979-05,563.139
1979-06,541.506
1979-07,555.89
1979-08,579.039
1979-09,615.929
1979-10,568.198
1979-11,579.518
1979-12,614.983
1980-01,687.477
1980-02,713.708
1980-03,627.622
1980-04,672.83
1980-05,764.176
1980-06,830.671
1980-07,869.46
1980-08,913.726
1980-09,861.304
1980-10,964.332
1980-11,1012.872
1980-12,997.886
1981-01,1131.302
1981-02,1242.515
1981-03,1235.04
1981-04,1321.439
1981-05,1262.294
1981-06,1377.078
1981-07,1170.15
1981-08,919.16
1981-09,935.438
1981-10,957.986
1981-11,1157.095
1981-12,1177.886
1982-01,1151.172
1982-02,1045.403
1982-03,1009.277
1982-04,1079.272
1982-05,1078.008
1982-06,962.857
1982-07,876.913
1982-08,835.889
1982-09,856.159
1982-10,915.013
1982-11,927.497
1982-12,981.135
1983-01,1064.805
1983-02,1133.169
1983-03,1166.28
1983-04,1277.875
1983-05,1249.728
1983-06,1267.846
1983-07,1204.23
1983-08,1237.592
1983-09,1224.714
1983-10,1190.598
1983-11,1196.81
1983-12,1292.641
1984-01,1324.596
1984-02,1278.94
1984-03,1252.3
1984-04,1248.272
1984-05,1163.479
1984-06,1079.88
1984-07,1105.285
1984-08,1098.451
1984-09,1056.582
1984-10,986.901
1984-11,952.854
1984-12,944.656
1985-01,967.964
1985-02,948.471
1985-03,947.807
1985-04,925.155
1985-05,951.804
