Date,LEBANON
2002-05,289.14739159941223
2002-06,285.3676362835456
2002-07,291.89149093656505
2002-08,280.1381354892302
2002-09,275.1372376408483
2002-10,274.3173848201563
2002-11,295.1605643357958
2002-12,283.57865297156854
2003-01,289.54779191344744
2003-02,271.7294659369166
2003-03,276.1840474310493
2003-04,263.0430324137461
2003-05,292.4432697545042
2003-06,292.13967481027424
2003-07,286.1897494263623
2003-08,277.1461526819281
2003-09,273.08160853676753
2003-10,269.3371836202235
2003-11,273.4990911945177
2003-12,273.40090963075636
2004-01,283.5503390091168
2004-02,284.745568866069
2004-03,302.6225994191134
2004-04,354.01357131273306
2004-05,335.60729622426993
2004-06,399.566980656892
2004-07,411.1693999239999
2004-08,361.6318462138386
2004-09,418.38046528523057
2004-10,372.6949764047859
2004-11,414.4821756775567
2004-12,416.4852493890096
2005-01,445.12920346278577
2005-02,407.3943763908774
2005-03,453.7732369406712
2005-04,504.4047770624727
2005-05,479.87482822683444
2005-06,610.6643427758576
2005-07,702.1186236556215
2005-08,642.0577834240071
2005-09,688.9519185938651
2005-10,696.4595236228171
2005-11,713.0521001838755
2005-12,917.2468656601895
2006-01,1354.688519733637
2006-02,1048.5863516659451
2006-03,1112.2391091497666
2006-04,1126.9885149140455
2006-05,1104.6838473600305
2006-06,1146.379461826796
2006-07,918.8583312494354
2006-08,984.1090490676645
2006-09,995.4497125552472
2006-10,999.9236678711243
2006-11,880.6643908177009
2006-12,754.613285295557
2007-01,766.6010744489643
2007-02,736.0940931908904
2007-03,775.7282253388665
2007-04,778.7576406531853
2007-05,782.9130086954758
2007-06,758.8847910077003
2007-07,742.9991991335247
2007-08,740.0840624121745
2007-09,850.6430109388505
2007-10,887.2050490378441
2007-11,999.9999999999999
2007-12,1022.8014361048376
2008-01,984.6746427390607
2008-02,960.8232889038757
2008-03,1068.3241489001477
2008-04,1168.040587296332
2008-05,1461.863427452605
2008-06,1576.495124647
2008-07,1576.1501276225285
2008-08,1361.1212708463277
2008-09,1322.9627833145796
2008-10,1082.509191740624
2008-11,850.6034783036802
2008-12,818.2394690962041
2009-01,738.7970802859727
2009-02,748.6135888562433
2009-03,732.4308904902091
2009-04,777.0996871105106
2009-05,864.7465696074161
2009-06,1107.6763975591166
2009-07,1170.8583490122774
2009-08,1092.8956143150897
2009-09,1150.9649591431987
2009-10,1240.4289614789618
2009-11,1194.1088484642148
2009-12,1195.247660320734
2010-01,1146.4367708175969
2010-02,1163.6390464366173
2010-03,1217.1007408134942
2010-04,1209.6148918879057
2010-05,1200.4024693496394
2010-06,1167.053108501089
2010-07,1136.542934665246
2010-08,1075.4587639416102
2010-09,1084.5736644433591
2010-10,1071.434018829379
2010-11,1074.1960897121114
2010-12,1093.292339779337
2011-01,1112.6948915152266
2011-02,1053.8182678577164
2011-03,1051.5252007576923
2011-04,1044.5732110586446
2011-05,1024.144270809058
2011-06,1012.3573677916663
2011-07,992.1587052862609
2011-08,964.7077064342418
2011-09,922.6867921243712
2011-10,884.9613574376199
2011-11,847.3200170075992
2011-12,874.7102103882656
2012-01,858.9786200628515
2012-02,874.2825335597489
2012-03,894.7222506622318
2012-04,880.042652207736
2012-05,835.0794337790387
2012-06,846.48168980987
2012-07,869.9780327486301
2012-08,843.1720504712015
2012-09,839.3165446537419
2012-10,823.385210651265
2012-11,823.7620650370112
2012-12,878.6487047782504
2013-01,886.9996546445761
2013-02,882.5539654910222
2013-03,867.8817206775003
2013-04,924.1643052360353
2013-05,883.9375632965024
2013-06,819.4495954455482
2013-07,831.5093503466405
2013-08,807.8609162454018
2013-09,846.1795408009533
2013-10,821.8273601057139
2013-11,829.4215646463642
2013-12,813.609686477452
2014-01,922.6595955323475
2014-02,945.8346953310011
2014-03,897.4763630930235
2014-04,921.1739785364294
2014-05,962.3076434954439
2014-06,951.213136904327
2014-07,897.9152034158559
2014-08,906.847915207181
2014-09,872.8724167406933
2014-10,853.0480910286947
2014-11,865.5851169050965
2014-12,840.1573379945941
2015-01,827.3325728643591
2015-02,859.7547316501581
2015-03,866.2666008165758
2015-04,862.4827464437371
2015-05,881.4268546434807
2015-06,890.7458821427549
2015-07,881.6269908987493
2015-08,836.0299204951905
2015-09,833.2067273526708
2015-10,813.3508979464444
2015-11,870.9738580492519
2015-12,869.6315625711103
2016-01,837.6926466784544
2016-02,833.7609753981275
2016-03,872.8053327325425
2016-04,886.7905001260895
2016-05,878.1447069933403
2016-06,861.9189303482348
2016-07,879.2279812143935
2016-08,859.3558365338375
2016-09,872.3978934257548
2016-10,991.3565518514939
2016-11,963.4544239427856
2016-12,949.9886676113766
2017-01,942.1446537200176
2017-02,946.6911696655189
2017-03,950.3400551916313
2017-04,911.050274
2017-05,933.508118
2017-06,892.641848
2017-07,899.923079
2017-08,922.003499
2017-09,909.614557
2017-10,920.022752
2017-11,888.204464
2017-12,912.926167
2018-01,955.18469
2018-02,941.038071
2018-03,955.247418
