Date,BRAZIL ADR
2003-05,106.82916803128204
2003-06,108.07219446312101
2003-07,112.74122369040933
2003-08,124.78988578627839
2003-09,129.41788128845
2003-10,138.73624729742383
2003-11,146.02660233592616
2003-12,172.4842149545844
2004-01,167.6179964980827
2004-02,173.924652956551
2004-03,172.90545854277244
2004-04,147.61795376982033
2004-05,145.8653905163793
2004-06,153.63987694179497
2004-07,161.23240177859728
2004-08,172.50670814217847
2004-09,189.71917945410112
2004-10,193.13267712226246
2004-11,213.4242256552355
2004-12,235.50721632250222
2005-01,230.0691431296473
2005-02,268.94554143672866
2005-03,245.34486535286655
2005-04,236.4742657812826
2005-05,255.22400460133596
2005-06,268.3009880611759
2005-07,275.9753109975797
2005-08,308.7101218653002
2005-09,361.8809213515748
2005-10,345.26143150063285
2005-11,372.9013840151643
2005-12,373.58539423662097
2006-01,470.1471820456533
2006-02,464.91356197333687
2006-03,449.6819548847297
2006-04,490.47326809833584
2006-05,416.48461592157093
2006-06,437.3172654899644
2006-07,444.3080850765061
2006-08,437.6313765296787
2006-09,430.2746432495863
2006-10,470.19060266583807
2006-11,497.4140893120628
2006-12,535.8107986106031
2007-01,545.8989425806601
2007-02,522.4943504835533
2007-03,561.8987445261836
2007-04,600.673618621908
2007-05,675.3806463629093
2007-06,695.8344652830307
2007-07,731.69993388455
2007-08,713.6901783747121
2007-09,868.2009300738076
2007-10,1012.0947201269412
2007-11,962.0541932546311
2007-12,997.1265719336654
2008-01,946.2192558263807
2008-02,1036.8315577469764
2008-03,958.2562827816606
2008-04,1113.759756823809
2008-05,1223.306677713703
2008-06,1126.4737298555297
2008-07,996.8508359419029
2008-08,912.8615149770812
2008-09,734.9626759346453
2008-10,481.7092221596824
2008-11,432.93130129617634
2008-12,456.03310695638197
2009-01,467.9353866469673
2009-02,454.65101431051033
2009-03,495.5546288196383
2009-04,589.7702826606543
2009-05,725.3930200348301
2009-06,691.0507969355943
2009-07,745.544998905419
2009-08,746.2437226402011
2009-09,875.791091305363
2009-10,904.1496042453367
2009-11,1000.0
2009-12,1002.7114272927163
2010-01,871.6153503071099
2010-02,920.4185372877973
2010-03,991.8056716683111
2010-04,972.5550852662858
2010-05,844.0125296754412
2010-06,816.7836107558592
2010-07,923.265996909942
2010-08,886.1834858020993
2010-09,995.3602715517718
2010-10,1003.7074717001922
2010-11,966.0439352010035
2010-12,1057.9642897976664
2011-01,1024.6365891972505
2011-02,1050.075011500069
2011-03,1083.8344493438406
2011-04,1075.972686332576
2011-05,1037.7882003045486
2011-06,1032.6714900473983
2011-07,994.4518812474067
2011-08,917.8628079992556
2011-09,744.2666231133801
2011-10,880.6649300568968
2011-11,836.7490117128528
2011-12,822.611960618159
2012-01,930.9545139088495
2012-02,964.6202852454215
2012-03,910.1167980885809
2012-04,847.1236760966768
2012-05,731.4100652992905
2012-06,741.1882330049182
2012-07,745.0069114266183
2012-08,744.5692617796061
2012-09,766.9271407960807
2012-10,755.0646335082567
2012-11,724.3816675410098
2012-12,795.2528826924488
2013-01,804.555536630067
2013-02,770.2458087827856
2013-03,771.4531952465154
2013-04,792.4899708601164
2013-05,728.6691714237722
