Date,SWEDEN
1969-12,100.0
1970-01,96.146
1970-02,90.072
1970-03,92.629
1970-04,83.302
1970-05,77.582
1970-06,83.05
1970-07,90.385
1970-08,84.639
1970-09,82.541
1970-10,74.064
1970-11,80.428
1970-12,79.737
1971-01,85.802
1971-02,89.871
1971-03,92.709
1971-04,89.749
1971-05,92.87
1971-06,93.82
1971-07,94.42
1971-08,95.619
1971-09,93.429
1971-10,97.579
1971-11,104.233
1971-12,107.568
1972-01,112.005
1972-02,110.94
1972-03,119.268
1972-04,121.487
1972-05,116.889
1972-06,118.177
1972-07,120.936
1972-08,126.238
1972-09,125.328
1972-10,123.757
1972-11,127.539
1972-12,124.344
1973-01,129.811
1973-02,138.085
1973-03,133.698
1973-04,136.426
1973-05,144.954
1973-06,152.073
1973-07,154.489
1973-08,142.529
1973-09,142.548
1973-10,145.84
1973-11,127.872
1973-12,126.461
1974-01,129.603
1974-02,140.83
1974-03,152.999
1974-04,159.002
1974-05,145.505
1974-06,142.096
1974-07,147.424
1974-08,132.582
1974-09,129.407
1974-10,140.357
1974-11,135.304
1974-12,139.537
1975-01,154.746
1975-02,170.239
1975-03,166.406
1975-04,172.84
1975-05,168.348
1975-06,175.509
1975-07,166.839
1975-08,159.477
1975-09,161.237
1975-10,169.531
1975-11,164.453
1975-12,166.852
1976-01,174.873
1976-02,175.666
1976-03,177.466
1976-04,195.623
1976-05,186.01
1976-06,184.243
1976-07,185.159
1976-08,174.708
1976-09,172.732
1976-10,158.804
1976-11,164.787
1976-12,174.979
1977-01,158.328
1977-02,176.241
1977-03,178.515
1977-04,169.363
1977-05,164.87
1977-06,147.97
1977-07,146.032
1977-08,124.484
1977-09,133.732
1977-10,128.039
1977-11,120.702
1977-12,135.447
1978-01,147.86
1978-02,145.726
1978-03,155.887
1978-04,162.968
1978-05,157.509
1978-06,161.252
1978-07,175.961
1978-08,180.0
1978-09,170.967
1978-10,173.496
1978-11,161.245
1978-12,165.392
1979-01,177.183
1979-02,168.255
1979-03,168.45
1979-04,159.057
1979-05,158.363
1979-06,159.037
1979-07,165.37
1979-08,162.449
1979-09,164.472
1979-10,159.007
1979-11,161.611
1979-12,166.852
1980-01,176.488
1980-02,173.716
1980-03,162.678
1980-04,176.279
1980-05,175.621
1980-06,178.069
1980-07,178.631
1980-08,171.612
1980-09,172.093
1980-10,185.475
1980-11,197.365
1980-12,200.795
1981-01,188.693
1981-02,216.436
1981-03,234.508
1981-04,217.98
1981-05,224.2
1981-06,246.492
1981-07,253.328
1981-08,257.31
1981-09,224.976
1981-10,252.929
1981-11,283.219
1981-12,274.185
1982-01,266.466
1982-02,261.26
1982-03,247.844
1982-04,242.868
1982-05,251.326
1982-06,241.515
1982-07,258.136
1982-08,256.087
1982-09,276.556
1982-10,268.72
1982-11,315.672
1982-12,336.548
1983-01,380.68
1983-02,457.113
1983-03,457.453
1983-04,528.266
1983-05,522.352
1983-06,489.957
1983-07,527.29
1983-08,531.839
1983-09,521.266
1983-10,506.927
1983-11,527.764
1983-12,502.406
1984-01,541.982
1984-02,547.464
1984-03,570.63
1984-04,527.822
1984-05,471.537
1984-06,483.266
1984-07,480.665
1984-08,472.786
1984-09,441.402
1984-10,429.389
1984-11,401.554
1984-12,393.328
1985-01,428.717
1985-02,398.414
1985-03,412.209
1985-04,418.647
1985-05,401.536
1985-06,396.513
1985-07,438.677
1985-08,431.054
1985-09,452.265
1985-10,491.288
1985-11,570.691
1985-12,617.379581
1986-01,625.699267
1986-02,701.059173
1986-03,781.516668
1986-04,871.622006
1986-05,884.330416
1986-06,932.788271
1986-07,972.597366
1986-08,996.523346
1986-09,980.769847
1986-10,1025.913929
1986-11,1013.764526
1986-12,1022.316449
1987-01,929.916921
1987-02,1079.311605
1987-03,1138.241441
1987-04,1228.270905
1987-05,1159.562908
1987-06,1177.71953
1987-07,1255.252724
1987-08,1305.945958
1987-09,1348.984646
1987-10,1112.177272
1987-11,991.196463
1987-12,1042.630555
1988-01,1144.648435
1988-02,1187.604277
1988-03,1270.846607
1988-04,1307.274846
1988-05,1342.100101
1988-06,1277.320058
1988-07,1308.563325
1988-08,1235.687585
1988-09,1310.196467
1988-10,1427.862041
1988-11,1470.106664
1988-12,1546.493402
1989-01,1617.365222
1989-02,1671.681228
1989-03,1715.409287
1989-04,1729.583906
1989-05,1706.5
1989-06,1804.154894
1989-07,2018.954968
1989-08,1994.430167
1989-09,1966.863589
1989-10,1836.981966
1989-11,1821.732482
1989-12,2038.157228
1990-01,2028.978422
1990-02,1935.499051
1990-03,1860.448876
1990-04,1909.159201
1990-05,2158.90758
1990-06,2278.112341
1990-07,2380.120603
1990-08,2065.473389
1990-09,1622.223842
1990-10,1701.063814
1990-11,1569.105157
1990-12,1610.257029
1991-01,1863.34263
1991-02,2009.228619
1991-03,1931.127485
1991-04,1815.349347
1991-05,1958.08627
1991-06,1897.252073
1991-07,1976.85818
1991-08,1951.154731
1991-09,1893.791333
1991-10,1848.17175
1991-11,1753.46093
1991-12,1842.5222998
1992-01,1841.8733103999998
1992-02,1794.8889737
1992-03,1876.6457733
1992-04,1859.6426238
1992-05,1975.3636474
1992-06,1908.0760177
1992-07,1857.157508
1992-08,1745.4816598
1992-09,1551.6097513
1992-10,1412.4371764
1992-11,1611.0940438
1992-12,1577.0196119999998
1993-01,1505.2172
1993-02,1560.834773
1993-03,1576.5890700000002
1993-04,1731.9325589999999
1993-05,1913.6846289999999
1993-06,1780.8659759999998
1993-07,1829.2897739999999
1993-08,1999.724252
1993-09,2030.655198
1993-10,2221.1006300354315
1993-11,1955.9597096682983
1993-12,2160.321616312613
1994-01,2532.2539653994563
1994-02,2412.736837043941
1994-03,2263.3477602473977
1994-04,2448.6699163148164
1994-05,2414.968337844932
1994-06,2289.0198910977865
1994-07,2441.300067276823
1994-08,2429.6362627258322
1994-09,2437.32093373458
1994-10,2670.2030054411075
1994-11,2597.0710025139383
1994-12,2556.452183521679
1995-01,2570.9061484587346
1995-02,2614.760605817951
1995-03,2572.8688917616028
1995-04,2806.6674931974267
1995-05,2847.6450059417807
1995-06,2974.072126560033
1995-07,3180.675690140832
1995-08,3095.6263913561097
1995-09,3522.956571701332
1995-10,3372.4610435344493
1995-11,3487.7048930067676
