Date,ZIMBABWE
2010-11,1000.0
2010-12,1031.558207098583
2011-01,1135.6848543013148
2011-02,1123.0688672523313
2011-03,1090.6922579933964
2011-04,1209.8160537338135
2011-05,1210.5054400297647
2011-06,1193.7678778626025
2011-07,1151.4462701054065
2011-08,1132.1524001315324
2011-09,1053.6749562923594
2011-10,1009.5124272351463
2011-11,1040.0065058084224
2011-12,1044.9058999625481
2012-01,1002.3160426388664
2012-02,1049.2174776877307
2012-03,1012.3763198851793
2012-04,1011.3353533551065
2012-05,1054.8192033266107
2012-06,1055.9856539713046
2012-07,1066.8987172084903
2012-08,1068.3457339231563
2012-09,1159.1704079216158
2012-10,1314.5284939794415
2012-11,1349.5846633307387
2012-12,1405.407416324789
2013-01,1765.2975207998354
2013-02,1718.5696440994777
2013-03,1761.0744340792025
2013-04,1808.496161920274
2013-05,2076.9369411970206
2013-06,2001.1211207188887
2013-07,2121.549376042983
2013-08,1548.5119592043113
2013-09,1810.4247707518762
2013-10,1903.7036670891632
2013-11,2072.574729259195
2013-12,1962.4462383847388
2014-01,1733.6572570091712
2014-02,1811.3443484348707
2014-03,1711.968583910229
2014-04,1710.9988884418156
2014-05,1766.7195263620897
2014-06,1922.5102768987592
2014-07,1939.9917319835965
2014-08,2069.1100643878326
2014-09,2011.1923912058187
2014-10,1787.8084673514675
2014-11,1777.5822369887144
2014-12,1599.3821519722235
2015-01,1618.7986535536425
2015-02,1673.5752863310574
2015-03,1551.9268148446201
2015-04,1543.908775012882
2015-05,1512.9328298033174
2015-06,1449.5048523164598
2015-07,1369.708724873446
2015-08,1175.8484404131282
2015-09,1142.9642719614146
2015-10,1132.2179713373666
2015-11,971.7955378356276
2015-12,971.3238047318047
2016-01,789.8597445572952
2016-02,797.5356830495405
2016-03,838.456116756733
2016-04,998.7470197921087
2016-05,1002.9477393957302
2016-06,963.7649576817364
2016-07,942.1577796322272
2016-08,930.9926269425171
2016-09,876.2177960926074
2016-10,1118.216615178754
2016-11,1295.5579157799216
2016-12,1326.041310669427
2017-01,1214.0124108103273
2017-02,1174.0382214705126
2017-03,1263.6526450615377
2017-04,1297.908668
2017-05,1598.777896
2017-06,2079.968666
2017-07,2159.077143
2017-08,2489.785743
2017-09,4647.888261
2017-10,6961.778588
2017-11,4435.13769
2017-12,3641.736267
2018-01,3254.50529
2018-02,3208.910361
2018-03,3229.298609
2018-04,4126.122030974069
2018-05,4376.035752422299
2018-06,4202.427320343858
2018-07,5045.9167168763115
2018-08,5125.508207820446
2018-09,5184.082906500849
2018-10,7507.279535218374
2018-11,7389.908502216147
2018-12,8256.36404310343
2019-01,8829.214751864842
2019-02,8014.716324440768
2019-03,6158.115207575137
2019-04,6929.096393400228
2019-05,10174.622933852896
2019-06,10361.014843003533
2019-07,9581.709695992547
2019-08,7796.373111320954
2019-09,11029.495990379028
2019-10,663.9510141726904
2019-11,619.4049431199877
2019-12,563.2596275068879
2020-01,830.6426931452323
2020-02,996.6252302699229
2020-03,674.2409380226921
2020-04,721.6770975941466
2020-05,1880.2064290643132
2020-06,1093.475573355327
2020-07,817.0458669043163
2020-08,483.19348686506027
2020-09,504.06803576160655
2020-10,433.00624943593556
2020-11,518.9687796524084
2020-12,753.520203404045
2021-01,992.8735848684103
2021-02,1363.6194157866157
2021-03,1449.2322610830672
2021-04,1520.6069841316305
2021-05,1799.1597069808818
2021-06,2035.7516693953216
2021-07,2643.0997874494005
2021-08,2247.644939555503
2021-09,3080.3565424103836
2021-10,3842.914513276949
2021-11,3361.0921570470746
2021-12,3698.8375503667967
2022-01,4059.275353322701
2022-02,4891.421578596281
2022-03,4348.207248261878
2022-04,7317.497565882839
2022-05,3554.0347166942906
2022-06,2110.4235036948526
2022-07,1514.1789008561568
2022-08,967.8613101602594
2022-09,936.751967429292
2022-10,837.2082746331083
2022-11,809.2403264247934
2022-12,1323.4493339778912
2023-01,1234.8441591696653
2023-02,1235.653226902653
2023-03,1867.4774317109182
2023-04,1600.4580872731844
2023-05,2494.7594527871524
2023-06,1065.2403331355258
2023-07,757.2760192957793
