Date,PANAMA
2017-05,1000.0
2017-06,1031.072077307004
2017-07,1086.709495709872
2017-08,1086.2180494497743
2017-09,1107.0149839234982
2017-10,1089.841691450409
2017-11,1183.740879810751
2017-12,1165.2923083301664
2018-01,1216.093059650086
2018-02,1188.348184853253
2018-03,1145.0786551972028
2018-04,1051.165059145942
2018-05,1009.3732696739854
2018-06,875.5201466657469
2018-07,891.9886312000698
2018-08,746.7651314388214
2018-09,747.858398660675
2018-10,665.0847595982448
2018-11,769.9779755020636
2018-12,720.9469541469441
2019-01,853.381828227193
2019-02,823.5964703771645
2019-03,761.4714571960045
2019-04,797.134096416323
2019-05,837.2379453896225
2019-06,904.8463470267242
2019-07,935.8784012087071
2019-08,934.4038555859249
2019-09,914.019987694232
2019-10,944.926452269762
2019-11,976.1124666665874
2019-12,1004.3478896240797
2020-01,916.3112604539554
2020-02,791.5920126220651
2020-03,435.6368160631079
2020-04,437.36729490670797
2020-05,437.5676475374034
2020-06,488.04200554865474
2020-07,417.48104182075406
2020-08,516.4989015668067
2020-09,493.25683274753635
2020-10,489.89424398230284
2020-11,748.5227633316716
2020-12,737.2445411624806
2021-01,733.7221307899518
2021-02,849.1821557927615
2021-03,761.6224183303696
2021-04,804.1273645386187
2021-05,776.1762326722423
2021-06,721.7199208641198
2021-07,695.2373475412567
2021-08,736.1772425312988
2021-09,788.9648238569729
2021-10,734.393145078932
2021-11,688.7605406890344
2021-12,793.5984919923554
2022-01,800.019650285524
2022-02,801.9639499094362
2022-03,795.3621264761189
2022-04,720.2927769634956
2022-05,687.6248587729588
2022-06,615.9239779878721
2022-07,651.7549582254497
2022-08,691.3533561549938
2022-09,645.6118337353466
2022-10,732.4427166759006
2022-11,841.7923137301199
2022-12,803.2626595308901
2023-01,883.7750406330084
2023-02,894.3735770024002
2023-03,888.8303874009263
2023-04,883.4290075729367
2023-05,1024.0538232811432
2023-06,1090.3493034782862
2023-07,1163.706041849063
