Date,AUSTRIA
1969-12,100.0
1970-01,100.009
1970-02,98.838
1970-03,98.285
1970-04,100.842
1970-05,100.973
1970-06,103.579
1970-07,104.823
1970-08,109.328
1970-09,111.362
1970-10,109.986
1970-11,110.72
1970-12,110.843
1971-01,109.371
1971-02,110.474
1971-03,109.176
1971-04,111.134
1971-05,116.9
1971-06,115.626
1971-07,116.593
1971-08,115.674
1971-09,117.686
1971-10,117.928
1971-11,116.885
1971-12,119.525
1972-01,121.019
1972-02,125.027
1972-03,124.766
1972-04,126.032
1972-05,135.332
1972-06,136.208
1972-07,158.74
1972-08,155.355
1972-09,153.838
1972-10,156.546
1972-11,161.637
1972-12,163.78
1973-01,180.798
1973-02,196.894
1973-03,209.427
1973-04,215.181
1973-05,215.077
1973-06,241.1
1973-07,249.421
1973-08,236.347
1973-09,238.432
1973-10,231.823
1973-11,209.885
1973-12,203.887
1974-01,199.795
1974-02,206.788
1974-03,221.379
1974-04,226.876
1974-05,226.14
1974-06,221.8
1974-07,218.266
1974-08,211.829
1974-09,208.532
1974-10,218.008
1974-11,219.914
1974-12,233.31
1975-01,240.306
1975-02,253.647
1975-03,252.138
1975-04,248.454
1975-05,246.382
1975-06,245.52
1975-07,224.617
1975-08,222.331
1975-09,215.516
1975-10,225.323
1975-11,220.539
1975-12,225.474
1976-01,229.752
1976-02,232.969
1976-03,238.413
1976-04,236.432
1976-05,233.767
1976-06,231.342
1976-07,238.381
1976-08,246.106
1976-09,254.622
1976-10,255.916
1976-11,248.587
1976-12,259.531
1977-01,254.898
1977-02,260.427
1977-03,258.823
1977-04,258.562
1977-05,257.848
1977-06,255.606
1977-07,259.929
1977-08,255.186
1977-09,248.98
1977-10,253.132
1977-11,251.63
1977-12,272.92
1978-01,270.872
1978-02,277.59
1978-03,284.783
1978-04,274.029
1978-05,273.005
1978-06,273.773
1978-07,286.697
1978-08,294.167
1978-09,300.407
1978-10,335.423
1978-11,293.615
1978-12,313.847
1979-01,305.423
1979-02,306.865
1979-03,315.409
1979-04,307.842
1979-05,303.409
1979-06,314.914
1979-07,316.213
1979-08,324.242
1979-09,339.336
1979-10,342.138
1979-11,361.187
1979-12,373.064
1980-01,367.296
1980-02,367.342
1980-03,333.107
1980-04,352.071
1980-05,356.505
1980-06,358.338
1980-07,356.959
1980-08,351.511
1980-09,345.085
1980-10,329.187
1980-11,326.109
1980-12,324.374
1981-01,291.913
1981-02,287.456
1981-03,287.836
1981-04,264.129
1981-05,248.639
1981-06,237.485
1981-07,231.998
1981-08,226.576
1981-09,232.803
1981-10,239.653
1981-11,244.962
1981-12,255.923
1982-01,241.715
1982-02,231.706
1982-03,225.596
1982-04,227.701
1982-05,225.726
1982-06,209.388
1982-07,208.083
1982-08,204.549
