Date,ITALY
1969-12,100.0
1970-01,104.1
1970-02,101.266
1970-03,104.85
1970-04,104.548
1970-05,94.654
1970-06,90.182
1970-07,92.668
1970-08,92.688
1970-09,90.405
1970-10,86.364
1970-11,84.643
1970-12,81.591
1971-01,82.63
1971-02,85.018
1971-03,82.066
1971-04,79.358
1971-05,74.117
1971-06,73.943
1971-07,71.19
1971-08,69.401
1971-09,66.646
1971-10,67.955
1971-11,66.381
1971-12,71.168
1972-01,73.825
1972-02,69.051
1972-03,70.292
1972-04,74.078
1972-05,76.524
1972-06,77.012
1972-07,75.412
1972-08,75.86
1972-09,74.979
1972-10,76.575
1972-11,83.552
1972-12,80.974
1973-01,75.189
1973-02,85.14
1973-03,93.155
1973-04,93.556
1973-05,103.366
1973-06,117.321
1973-07,92.146
1973-08,100.81
1973-09,97.789
1973-10,101.069
1973-11,88.66
1973-12,88.627
1974-01,85.499
1974-02,86.854
1974-03,102.989
1974-04,96.566
1974-05,84.975
1974-06,75.919
1974-07,76.377
1974-08,65.72
1974-09,60.953
1974-10,61.682
1974-11,65.113
1974-12,58.581
1975-01,64.44
1975-02,70.987
1975-03,69.088
1975-04,68.756
1975-05,67.175
1975-06,59.345
1975-07,52.11
1975-08,51.912
1975-09,49.097
1975-10,50.996
1975-11,52.868
1975-12,52.904
1976-01,51.508
1976-02,51.385
1976-03,41.879
1976-04,37.662
1976-05,40.39
1976-06,43.203
1976-07,44.965
1976-08,43.399
1976-09,39.91
1976-10,34.643
1976-11,37.038
1976-12,38.438
1977-01,35.886
1977-02,35.282
1977-03,34.694
1977-04,33.186
1977-05,31.561
1977-06,33.235
1977-07,30.76
1977-08,36.432
1977-09,35.064
1977-10,32.853
1977-11,31.128
1977-12,30.883
1978-01,32.956
1978-02,35.198
1978-03,37.082
1978-04,36.928
1978-05,39.009
1978-06,37.282
1978-07,38.055
1978-08,41.263
1978-09,51.475
1978-10,49.764
1978-11,44.172
1978-12,44.727
1979-01,46.431
1979-02,49.139
1979-03,49.769
1979-04,46.814
1979-05,49.054
1979-06,49.353
1979-07,52.335
1979-08,56.936
1979-09,59.208
1979-10,53.489
1979-11,52.433
1979-12,52.098
1980-01,56.842
1980-02,57.939
1980-03,52.042
1980-04,57.133
1980-05,59.06
1980-06,61.087
1980-07,67.477
1980-08,73.993
1980-09,82.63
1980-10,100.186
1980-11,93.383
1980-12,93.362
1981-01,107.653
1981-02,113.729
1981-03,114.699
1981-04,120.048
1981-05,121.112
1981-06,96.377
1981-07,86.452
1981-08,96.198
1981-09,85.299
1981-10,79.176
1981-11,86.892
1981-12,83.585
1982-01,80.583
1982-02,83.066
1982-03,80.119
1982-04,77.473
1982-05,70.996
1982-06,61.132
1982-07,65.024
1982-08,66.115
1982-09,62.907
1982-10,61.433
1982-11,65.493
1982-12,67.403
1983-01,75.313
1983-02,82.093
1983-03,85.946
1983-04,79.257
1983-05,74.713
1983-06,75.261
1983-07,75.315
1983-08,75.232
1983-09,73.329
1983-10,68.536
1983-11,70.042
1983-12,69.393
1984-01,80.242
1984-02,81.695
1984-03,82.473
1984-04,78.066
1984-05,74.61
1984-06,75.275
1984-07,72.203
1984-08,76.276
1984-09,69.746
1984-10,69.728
1984-11,69.714
1984-12,75.027
1985-01,84.897
1985-02,84.179
1985-03,87.622
1985-04,89.823
1985-05,98.242
1985-06,109.043
1985-07,119.82
1985-08,127.42
1985-09,141.518
1985-10,146.982
1985-11,163.366
1985-12,173.866266
1986-01,188.249682
1986-02,246.482004
1986-03,297.346415
1986-04,331.821266
1986-05,318.616801
1986-06,288.272621
1986-07,338.720062
1986-08,385.683936
1986-09,348.84588
1986-10,359.904663
1986-11,355.533334
1986-12,362.135082
1987-01,365.589994
1987-02,354.29984
1987-03,370.906993
1987-04,402.682585
1987-05,356.10526
1987-06,350.809936
1987-07,347.313042
1987-08,327.09427
1987-09,331.869761
1987-10,291.436791
1987-11,299.436671
1987-12,284.983146
1988-01,262.594052
1988-02,278.146015
1988-03,289.33851
1988-04,284.304513
1988-05,254.213747
1988-06,265.04543
1988-07,272.984992
1988-08,263.583955
1988-09,280.815164
1988-10,314.215644
1988-11,319.348969
1988-12,317.642953
1989-01,308.992084
1989-02,302.56448
1989-03,306.84875
1989-04,309.188291
1989-05,294.558165
1989-06,324.371103
1989-07,358.928655
1989-08,367.013404
1989-09,364.333476
1989-10,335.461686
1989-11,352.352131
1989-12,379.322607
1990-01,377.775144
1990-02,360.147426
1990-03,374.201472
1990-04,383.805045
1990-05,408.025986
1990-06,415.846881
1990-07,419.342747
1990-08,359.019222
1990-09,316.201492
1990-10,330.599594
1990-11,297.21308
1990-12,306.53525
1991-01,298.283017
1991-02,342.833898
1991-03,310.403991
1991-04,302.827706
1991-05,320.065839
1991-06,291.610192
1991-07,294.383654
1991-08,285.630802
1991-09,286.098778
1991-10,274.353682
1991-11,288.440593
1991-12,300.9428176
1992-01,308.7898433
1992-02,304.46633779999996
1992-03,287.0045788
1992-04,290.4923278
1992-05,296.0189831
1992-06,286.2736039
1992-07,263.0860867
1992-08,265.2907399
1992-09,215.5822967
1992-10,252.9858749
1992-11,238.07678829999998
1992-12,234.0854329
1993-01,255.54607000000001
1993-02,258.028935
1993-03,236.738553
1993-04,287.833234
1993-05,295.512402
1993-06,288.72063499999996
1993-07,293.321976
1993-08,329.311176
1993-09,309.32318399999997
1993-10,298.25313115108725
1993-11,266.9890234025662
1993-12,300.88146586880475
1994-01,330.09077483110434
1994-02,327.45721082321876
1994-03,380.41362472400306
1994-04,419.8797113940243
1994-05,387.24079906276137
1994-06,361.7721967939927
1994-07,381.0719377091835
1994-08,373.44337719068176
1994-09,373.58385641629656
1994-10,353.85565608813863
1994-11,329.3712651664923
1994-12,335.67164798658985
1995-01,358.4030620659488
1995-02,326.1512248918305
1995-03,307.50311586887494
1995-04,339.01893368754963
1995-05,340.17698250615985
1995-06,330.1406626421306
1995-07,356.02908385
1995-08,347.5892440000509
1995-09,344.21644689824285
1995-10,327.81562273723193
1995-11,309.54659160969004
1995-12,339.19571968217707
1996-01,354.5919278009067
1996-02,351.1648512819024
1996-03,337.32400855538464
1996-04,383.36805093905343
1996-05,381.17487447165206
1996-06,382.6040175604881
1996-07,354.2585584130569
1996-08,351.4515295440103
1996-09,373.936196378352
1996-10,353.2381984129907
1996-11,381.1164003326363
1996-12,381.9000898553191
1997-01,422.371296587694
1997-02,377.5858863579736
1997-03,386.9798327871463
1997-04,392.4221700525902
1997-05,388.01467906180295
1997-06,424.76524213134445
