Date,RUSSIA VALUE
2000-12,100.00000000000001
2001-01,125.05818351931039
2001-02,112.88236310248837
2001-03,115.07234772911869
2001-04,124.1572864619614
2001-05,132.4975895810263
2001-06,147.27302498955072
2001-07,133.3500919274794
2001-08,132.91359524554568
2001-09,112.4759032347594
2001-10,124.31180873509543
2001-11,160.2026687766705
2001-12,173.84332673145244
2002-01,182.26738056661154
2002-02,180.34262215550606
2002-03,202.60315415047242
2002-04,206.9712533450271
2002-05,197.0334524061581
2002-06,173.9301319418768
2002-07,154.08854670839818
2002-08,155.92640616535783
2002-09,152.91147026337055
2002-10,171.6279094777185
2002-11,171.14986076539478
2002-12,165.71013169884426
2003-01,155.37909567248644
2003-02,168.12096950375434
2003-03,161.03506743368106
2003-04,190.52150951921615
2003-05,225.2675985129543
2003-06,235.9191141181596
2003-07,217.89889501540378
2003-08,245.49032331110388
2003-09,265.15175580727913
2003-10,257.70821815938905
2003-11,276.46563282840026
2003-12,297.1754666474211
2004-01,316.565508419237
2004-02,347.86157894176364
2004-03,393.054491821467
2004-04,338.70254995393236
2004-05,336.6257903641935
2004-06,334.8840447986056
2004-07,289.3447486407316
2004-08,316.9479990958846
2004-09,337.196173725555
2004-10,353.3882854785289
2004-11,320.6272856557691
2004-12,305.5605000891785
2005-01,317.75996022300495
2005-02,359.58840941069894
2005-03,340.84740813569067
2005-04,345.1363058664413
2005-05,349.7435658635962
2005-06,369.61283016328804
2005-07,412.0002924241825
2005-08,473.44761714617056
2005-09,552.7552309108478
2005-10,503.32154845453374
2005-11,545.2839450808251
2005-12,576.858177156745
2006-01,680.5853007912466
2006-02,720.0738315025447
2006-03,727.9558989107774
2006-04,818.9649006476038
2006-05,765.2641373534042
2006-06,801.9203895381592
2006-07,839.1165055516101
2006-08,828.9764459206841
2006-09,772.1931680554588
2006-10,825.8306469930885
2006-11,908.7031589082304
2006-12,939.315913499375
2007-01,883.4884345393448
2007-02,884.9737262202929
2007-03,948.1283276150491
2007-04,919.975696812749
2007-05,868.790639908845
2007-06,940.612370150009
2007-07,994.689996470847
2007-08,964.4637354321387
2007-09,1057.1425310448387
2007-10,1173.4443702550245
2007-11,1181.238116986078
2007-12,1208.721176583812
2008-01,1015.1779937728766
2008-02,1136.3236876541566
2008-03,1122.819695092115
2008-04,1146.9210967170948
2008-05,1326.9418924201705
2008-06,1228.248148009462
2008-07,1024.4213477334308
2008-08,879.2984035848864
2008-09,663.9270129348953
2008-10,425.9314114241183
2008-11,371.36115062525926
2008-12,348.45577559175086
2009-01,318.90189252127675
2009-02,317.8995693906355
2009-03,374.5226177520158
2009-04,453.5770883671942
2009-05,585.5632064739551
2009-06,503.47751194053905
2009-07,548.8432067660608
2009-08,559.003621329048
2009-09,628.3759989141381
2009-10,654.8006482775006
2009-11,661.961984895373
2009-12,669.9616213231741
2010-01,679.4824557183797
2010-02,652.3704659341271
2010-03,708.9228398856568
2010-04,706.8870143944143
2010-05,632.85672501098
2010-06,611.9369167462315
2010-07,679.5422568055732
2010-08,643.9617270497897
2010-09,676.2031710604958
2010-10,694.9602314733572
2010-11,684.5104202402904
2010-12,757.3516520185602
2011-01,801.3053203335937
2011-02,879.3463460446851
2011-03,929.9929144404157
2011-04,940.5157084734458
2011-05,856.7286200794441
2011-06,863.1089740917258
2011-07,877.5626126886393
2011-08,758.406274115976
2011-09,610.2545103825387
2011-10,718.8891756199625
2011-11,711.027506844859
2011-12,654.5578298916299
2012-01,745.6606443315404
2012-02,815.8114175349745
2012-03,770.5333810119474
2012-04,746.6037096410906
2012-05,612.2547112974113
2012-06,667.8734379330849
2012-07,666.333976242599
2012-08,679.9440782615197
2012-09,720.6028120590106
2012-10,681.1477374273302
2012-11,683.6139759901852
2012-12,716.7915995078575
2013-01,740.4977084690137
2013-02,696.0184873822283
2013-03,670.6482377048711
2013-04,636.9915382202979
2013-05,617.1017198075695
2013-06,574.3148848814945
2013-07,625.831962859134
2013-08,630.5297369717522
2013-09,695.5034067446088
2013-10,719.6886533300672
2013-11,675.3519636981366
2013-12,681.2527926120077
2014-01,640.2776323226993
2014-02,619.3062959457692
2014-03,620.6379929317999
2014-04,589.5758990771718
2014-05,644.8669107913582
2014-06,689.0062690652727
2014-07,634.3791557987593
2014-08,622.3488385253545
2014-09,594.0973672681449
2014-10,568.6351856420542
2014-11,516.3386541143398
2014-12,391.86908568053906
2015-01,403.40975804658143
2015-02,489.91771712485536
2015-03,482.4936867810583
2015-04,558.4016343549717
2015-05,510.89559988029043
2015-06,498.84024489173936
2015-07,467.8537725132637
2015-08,444.3195937611847
2015-09,417.96515123365174
2015-10,442.0665057194014
2015-11,430.54046283706776
2015-12,380.0434822441428
2016-01,385.8015980277424
2016-02,397.0230146803731
2016-03,459.150100967851
2016-04,510.3251079641909
2016-05,455.6047500081995
2016-06,466.3152774487031
2016-07,472.8419136280149
2016-08,477.50750506238825
2016-09,493.0917460342336
2016-10,503.83452518746157
2016-11,522.6803222713065
2016-12,586.2465778120634
2017-01,595.692239464018
2017-02,548.926725733288
2017-03,559.3840680219388
2017-04,552.612875
2017-05,512.69673
2017-06,497.719792
2017-07,511.269815
2017-08,544.345732
2017-09,568.265686
2017-10,574.805717
2017-11,583.608179
2017-12,602.491504
2018-01,678.59712
2018-02,683.057481
2018-03,676.650407
2018-04,645.1231125116095
2018-05,647.8064775606007
2018-06,643.4057191827042
2018-07,678.7530731776345
2018-08,646.8771807734795
2018-09,702.3109484120197
2018-10,675.5528937363933
2018-11,665.4719657261496
2018-12,638.462388
2019-01,726.7872693828684
2019-02,719.8554388236723
2019-03,735.2127026261226
2019-04,747.5983088381938
2019-05,794.5725501817112
2019-06,864.8871838595039
2019-07,882.5789067793538
2019-08,849.9677776208003
2019-09,875.630020415046
2019-10,974.6215062205112
2019-11,973.0624432028253
2019-12,1053.4364235402063
2020-01,1008.156682416049
2020-02,859.0527494702656
2020-03,664.8526144111584
2020-04,731.2722083719132
2020-05,805.832435539931
2020-06,798.4660857304652
2020-07,797.820236774165
2020-08,794.8352244685555
2020-09,735.4417476033398
2020-10,669.786830755913
2020-11,810.8451308723878
2020-12,916.3585210884657
2021-01,892.6329079807373
2021-02,931.4630713377343
2021-03,990.0016977530523
2021-04,986.3484691489774
2021-05,1082.0110553676066
2021-06,1123.7327331961044
2021-07,1138.016978510889
2021-08,1195.3192283579212
2021-09,1310.9141795476585
2021-10,1349.9882967957199
2021-11,1203.3196475332372
2021-12,1210.6082879275268
2022-01,1134.5547229948086
2022-02,566.5376583741607
