Date,UNITED KINGDOM
1995-04,1577.3961323750646
1995-05,1614.1158745470107
1995-06,1615.9381389103069
1995-07,1706.3123662882765
1995-08,1666.073387960839
1995-09,1716.5183142323367
1995-10,1714.7188906229444
1995-11,1725.0974663768477
1995-12,1770.826253341918
1996-01,1768.1770633258925
1996-02,1782.627396223012
1996-03,1772.825521909141
1996-04,1807.3581878468683
1996-05,1828.4988708825178
1996-06,1817.8281642983015
1996-07,1830.514005536778
1996-08,1925.346345563283
1996-09,1969.9144300056341
1996-10,2063.2558605502672
1996-11,2180.8372507431905
1996-12,2256.408400643379
1997-01,2190.099511675453
1997-02,2258.6468010734475
1997-03,2282.5009402690434
1997-04,2324.4685470786067
1997-05,2430.7283208587774
1997-06,2464.5511138461925
1997-07,2579.8688116415638
1997-08,2537.7240300951007
1997-09,2757.807779079254
1997-10,2653.1398937777335
1997-11,2666.2030108250574
1997-12,2766.8229445322468
1998-01,2901.2428528192067
1998-02,3102.4694418402687
1998-03,3266.3401090365032
1998-04,3273.4475573114437
1998-05,3152.6024792952326
1998-06,3201.1657521119887
1998-07,3137.1049149559144
1998-08,2909.8484139793677
1998-09,2850.544777092067
1998-10,3024.287024688576
1998-11,3159.461371011221
1998-12,3259.2939017584285
1999-01,3225.5984253154056
1999-02,3297.202659517174
1999-03,3400.018148417078
1999-04,3531.5808289567067
1999-05,3336.0356271207665
1999-06,3344.7971592440845
1999-07,3395.508799171509
1999-08,3382.3653140174615
1999-09,3327.7808338671293
1999-10,3425.0317568481637
1999-11,3467.30190212495
1999-12,3665.0836740760074
2000-01,3329.4316554218926
2000-02,3224.308164417492
2000-03,3461.91139434307
2000-04,3317.508704209011
2000-05,3205.4969874971484
2000-06,3235.3747336282404
2000-07,3257.3422703331644
2000-08,3291.9320572578845
2000-09,3201.7719087860096
2000-10,3224.4383974788448
2000-11,3034.8246519735317
2000-12,3242.413228935657
2001-01,3189.0132330325173
2001-02,2977.986165452013
2001-03,2843.553560649327
2001-04,3021.964146441135
2001-05,2921.435162533639
2001-06,2821.850683500903
2001-07,2824.6434502273964
2001-08,2797.8599971240883
2001-09,2613.7896022033137
2001-10,2664.2372150144743
2001-11,2722.313999067324
2001-12,2786.916454434232
2002-01,2669.432916821396
2002-02,2656.555478247528
2002-03,2779.49447371578
2002-04,2788.359474806035
2002-05,2742.7716246429404
2002-06,2626.933244875882
2002-07,2450.094288497896
2002-08,2424.5390959100782
2002-09,2173.5711179897585
2002-10,2343.8985569833585
2002-11,2414.4438645145406
2002-12,2362.3370174041106
2003-01,2195.7329196903734
2003-02,2160.3561984010794
2003-03,2158.266227944964
2003-04,2382.7669361315843
2003-05,2529.0291670815964
2003-06,2550.6996369949184
2003-07,2566.598105825186
2003-08,2549.074502113776
2003-09,2639.1942429251594
2003-10,2818.4836030411097
2003-11,2902.1910517664637
2003-12,3119.6543312234307
2004-01,3110.141311372511
2004-02,3252.3557752615166
2004-03,3176.0968313980866
2004-04,3153.7131419068546
2004-05,3222.509799169508
2004-06,3223.0961344767675
2004-07,3191.037958638873
2004-08,3209.3360149681544
2004-09,3312.56850871591
2004-10,3393.2712420933226
2004-11,3612.7264360958366
2004-12,3730.1946109248956
2005-01,3703.4866220212552
2005-02,3883.231885075052
2005-03,3780.6851064491657
2005-04,3740.925840408306
2005-05,3705.505390685059
2005-06,3764.4475386135427
2005-07,3813.907570698376
2005-08,3927.660804169086
2005-09,3997.0684730319067
2005-10,3875.3471827133103
2005-11,3892.3626714032494
2005-12,4004.481771309317
2006-01,4243.1576660771725
2006-02,4215.270388043202
2006-03,4336.152423849577
2006-04,4593.410181682815
2006-05,4504.617606764341
2006-06,4549.639215075144
2006-07,4653.854570052726
2006-08,4766.551523260506
2006-09,4742.646053137815
2006-10,4979.434893692365
2006-11,5100.629962492426
2006-12,5230.16268037629
2007-01,5222.0002744804215
2007-02,5214.602156331776
2007-03,5387.610025960652
2007-04,5626.367661450173
2007-05,5722.0747187187635
2007-06,5796.345057650703
2007-07,5651.186125923088
2007-08,5603.6422818160345
2007-09,5806.040326983498
2007-10,6155.390500995007
2007-11,5824.423284352778
2007-12,5667.497994361972
2008-01,5161.359157224115
2008-02,5182.5179697394215
2008-03,5071.1214548177095
2008-04,5399.322464186801
2008-05,5366.989992196894
2008-06,5030.666119012541
2008-07,4824.4064162784025
2008-08,4668.827836146256
2008-09,3975.6264075889626
2008-10,3221.8238532720143
2008-11,3014.3910761492434
2008-12,2927.747189276015
2009-01,2745.6455990318127
2009-02,2520.860880696614
2009-03,2614.69836869703
2009-04,2944.323720648273
2009-05,3352.266100181619
2009-06,3309.5904744740096
2009-07,3616.2963535473573
2009-08,3815.999292519589
2009-09,3922.3533148378774
2009-10,3972.8271268926833
2009-11,4087.917009075432
2009-12,4195.534209471709
2010-01,3993.6414199835895
2010-02,3935.504653127852
2010-03,4170.2929502377365
2010-04,4123.412546969546
2010-05,3674.568833377418
2010-06,3592.651870404196
2010-07,4028.6592828479893
2010-08,3948.6889826196157
2010-09,4302.8738433441695
2010-10,4472.612898756522
2010-11,4252.532449495696
2010-12,4562.9140178331845
2011-01,4652.9629719840195
2011-02,4853.424350825803
2011-03,4735.236149458255
2011-04,5070.459305208284
2011-05,4959.863269239921
2011-06,4817.064063541059
2011-07,4820.318936656524
2011-08,4467.868852017843
2011-09,4075.246883870359
2011-10,4566.537962741894
2011-11,4442.824860715211
2011-12,4446.094063581565
2012-01,4603.069928875923
2012-02,4842.932450377961
2012-03,4785.1869713299775
2012-04,4846.611009558009
2012-05,4290.6514069314735
2012-06,4595.20250447966
2012-07,4648.984688616718
2012-08,4805.782854535314
2012-09,4919.100168748263
2012-10,4950.399023625313
2012-11,5020.611904842681
2012-12,5124.33594266652
2013-01,5322.741498466049
2013-02,5189.793441696779
2013-03,5251.510307529637
2013-04,5413.312191118115
2013-05,5419.944853866436
2013-06,5138.234752918664
2013-07,5476.800171871047
2013-08,5453.212697643016
2013-09,5757.02068834102
2013-10,5958.656332647229
2013-11,6018.75669153126
2013-12,6183.38553894853
2014-01,5917.781099818624
2014-02,6333.058061125313
2014-03,6132.169142713081
2014-04,6410.183495687143
2014-05,6462.12126606466
2014-06,6503.322146953692
2014-07,6421.148447738465
2014-08,6445.1187563481235
2014-09,6109.340530756912
2014-10,5966.096088028478
2014-11,6012.131136847326
2014-12,5850.313128642443
2015-01,5791.145675311909
2015-02,6154.194634531719
2015-03,5794.182733967854
2015-04,6195.234693813202
2015-05,6187.888979766697
2015-06,5967.251255666454
2015-07,6070.5547951473145
2015-08,5619.239793384877
2015-09,5369.036170615707
2015-10,5760.1828169852415
2015-11,5628.69329389586
2015-12,5407.986817893491
2016-01,5081.9328894168975
2016-02,5037.789652676009
2016-03,5281.599244811375
2016-04,5464.459700106606
2016-05,5438.027043554218
2016-06,5242.8103058237075
2016-07,5387.8559285984065
2016-08,5396.597881517097
2016-09,5451.35377068791
2016-10,5170.606408118189
2016-11,5187.908097051439
2016-12,5402.54254972666
2017-01,5472.229765930753
2017-02,5581.667235173792
2017-03,5674.63990728051
2017-04,5792.526629
2017-05,6060.2237
2017-06,5942.672977
2017-07,6095.984975
2017-08,6049.033229
2017-09,6249.618673
2017-10,6287.567292
2017-11,6294.716017
2017-12,6607.114435
2018-01,6808.163578
2018-02,6372.655375
2018-03,6350.779705
2018-04,6657.552563514922
2018-05,6601.579687975307
2018-06,6537.925093926817
2018-07,6595.124101062466
2018-08,6318.567402920019
2018-09,6429.223780788534
2018-10,5995.033254884497
2018-11,5895.023540094463
2018-12,5671.896359888643
2019-01,6073.864134558778
2019-02,6279.834611405152
2019-03,6346.1921149166055
2019-04,6489.271668928314
2019-05,6099.602165139226
2019-06,6404.025891581758
2019-07,6288.594040121991
2019-08,5994.460718421049
2019-09,6244.344605368511
2019-10,6419.57315575704
2019-11,6529.335751636644
2019-12,6865.682185966245
2020-01,6605.553052380672
2020-02,5816.942213781489
2020-03,4887.952298996211
2020-04,5139.323204496015
2020-05,5193.53982444115
2020-06,5268.5769082868255
2020-07,5342.696092652813
2020-08,5532.0417509675835
2020-09,5256.428643479362
2020-10,4991.093018466889
2020-11,5828.626015444856
2020-12,6147.11558504503
2021-01,6132.362824514894
2021-02,6352.794238526005
2021-03,6527.596820313622
2021-04,6813.744004541789
2021-05,7087.096811345853
2021-06,6917.036180127593
2021-07,6979.982536249907
2021-08,7039.231146723305
2021-09,6896.537199822551
2021-10,7173.236212138178
2021-11,6788.539524460125
2021-12,7284.047154715505
2022-01,7349.335920997961
2022-02,7407.16680386241
2022-03,7417.194515518504
2022-04,7143.278985504835
2022-05,7266.215721230954
2022-06,6640.20266954614
2022-07,6888.199006318257
2022-08,6499.884579044872
2022-09,5925.396955556624
2022-10,6282.674174406318
2022-11,6958.895622601156
2022-12,6931.447332783089
2023-01,7382.726236775964
2023-02,7401.084864318088
2023-03,7354.957393108927
2023-04,7745.855207026402
2023-05,7237.1075968797395
2023-06,7516.1056878292575
2023-07,7774.6524265378375
