Date,IVORY COAST
2016-11,1000.0
2016-12,1008.1064991984038
2017-01,990.4605729352086
2017-02,1043.5038014446247
2017-03,1085.2674462700304
2017-04,1133.4674903331404
2017-05,1177.7954868196584
2017-06,1156.0937688217164
2017-07,1106.8413042129018
2017-08,954.7810629758085
2017-09,884.6595233463711
2017-10,880.0722638860318
2017-11,928.7561663798848
2017-12,943.5069964832046
2018-01,999.5886810094297
2018-02,1202.253680504717
2018-03,1171.3121606386846
2018-04,1109.5965965310268
2018-05,950.934285462967
2018-06,979.3344759978356
2018-07,991.5594900452442
2018-08,907.1943067006454
2018-09,827.7842804744968
2018-10,718.2340369838645
2018-11,565.1393547959673
2018-12,603.1843946850486
2019-01,654.5441153061232
2019-02,633.3139879966268
2019-03,656.5242257812256
2019-04,639.2849904289637
2019-05,683.3374707459058
2019-06,730.811102510587
2019-07,730.8653295433344
2019-08,710.8415452805675
2019-09,636.1211026691622
2019-10,637.9515375529818
2019-11,627.2724862462356
2019-12,630.4065238418792
2020-01,670.8723227177271
2020-02,693.4113781214924
2020-03,632.2317555406872
2020-04,623.119479548123
2020-05,624.7061761298921
2020-06,626.6756581549288
2020-07,690.0031251115163
2020-08,625.3472718321508
2020-09,559.8454131287937
2020-10,613.4992056168634
2020-11,769.609907163737
2020-12,750.5812932395628
2021-01,690.4956820713704
2021-02,733.5622961459374
2021-03,708.0680938904379
2021-04,752.6056334207284
2023-06,1099.4832523806294
2023-07,1167.2049648941095
