Date,FINLAND
1987-12,100.0
1988-01,95.966126
1988-02,97.95511
1988-03,107.063401
1988-04,108.329873
1988-05,114.738
1988-06,113.537349
1988-07,112.438041
1988-08,105.723334
1988-09,101.038849
1988-10,109.782007
1988-11,119.013879
1988-12,113.723696
1989-01,111.827578
1989-02,115.215009
1989-03,121.374466
1989-04,127.253709
1989-05,119.111668
1989-06,115.920475
1989-07,120.68061
1989-08,111.251356
1989-09,104.588793
1989-10,100.777105
1989-11,93.645126
1989-12,102.769015
1990-01,109.743916
1990-02,106.68247
1990-03,98.971314
1990-04,91.161858
1990-05,92.394253
1990-06,90.753977
1990-07,94.872221
1990-08,87.913207
1990-09,71.335136
1990-10,71.118726
1990-11,74.214363
1990-12,70.234032
1991-01,69.391
1991-02,76.474589
1991-03,82.648566
1991-04,78.131743
1991-05,76.017254
1991-06,66.31351
1991-07,71.614975
1991-08,68.217358
1991-09,62.795576
1991-10,61.713679
1991-11,58.4083
1991-12,57.5401404
1992-01,63.2522418
1992-02,62.1466072
1992-03,56.336432599999995
1992-04,56.4788079
1992-05,59.488183899999996
1992-06,56.1411934
1992-07,51.9858914
1992-08,44.8210652
1992-09,41.5966662
1992-10,48.638205199999994
1992-11,52.8810625
1992-12,50.080690000000004
1993-01,49.386402
1993-02,50.686968
1993-03,55.273610999999995
1993-04,68.830165
1993-05,71.121044
1993-06,67.249057
1993-07,72.34493
1993-08,80.30794399999999
1993-09,80.606115
1993-10,91.60534247866582
1993-11,86.72108467363893
1993-12,91.49389129615884
1994-01,112.8206994838249
1994-02,111.08235371933885
1994-03,107.15011458494898
1994-04,115.26331241504037
1994-05,108.52251717396464
1994-06,107.27206722863224
1994-07,120.05456365209375
1994-08,131.45182704362708
1994-09,133.8535164022681
1994-10,150.37017088905074
1994-11,135.4522952552668
1994-12,139.2338004620981
1995-01,137.74732164
1995-02,138.59429116885045
1995-03,134.57017785726245
1995-04,151.7498104838407
1995-05,157.7707138729458
1995-06,180.70922987375744
1995-07,200.26775036576987
1995-08,196.767990618534
1995-09,205.42138947265235
1995-10,175.7656876358581
1995-11,172.53211025565642
1995-12,145.58711130004926
1996-01,143.88226629107655
1996-02,140.89754141190693
1996-03,141.34495606548376
1996-04,141.28849146105603
1996-05,156.16854057668618
1996-06,149.16230534120868
1996-07,150.9907275751689
1996-08,167.79930289542514
1996-09,169.56292690048608
1996-10,173.65130508340494
1996-11,188.17640023937588
1996-12,195.00630157194263
1997-01,208.0591126126778
1997-02,205.04233216745217
