Date,CHINA WITH PARTIAL A SHARES
2008-11,1074.530443158166
2008-12,1183.9080386877556
2009-01,1089.7543123552584
2009-02,1057.2573668486098
2009-03,1205.9179381318822
2009-04,1337.1114912549924
2009-05,1563.1328716846215
2009-06,1631.6407613976603
2009-07,1811.5097705265534
2009-08,1675.2941406896537
2009-09,1754.9036752759157
2009-10,1868.9505137082353
2009-11,1917.8284019220698
2009-12,1927.9570467816131
2010-01,1760.8068504082541
2010-02,1802.5728044735229
2010-03,1899.6197968163776
2010-04,1890.8158183131613
2010-05,1784.5158660468653
2010-06,1805.2252637120548
2010-07,1888.7437000369005
2010-08,1837.1933194855958
2010-09,2000.3734552353753
2010-10,2083.999257021441
2010-11,2036.0844308482742
2010-12,2022.4542303461849
2011-01,2011.0969290361857
2011-02,1976.5444274546614
2011-03,2078.086889179563
2011-04,2112.216287820952
2011-05,2119.372844196048
2011-06,2043.6866987045403
2011-07,2027.3158225941645
2011-08,1841.1660586643127
2011-09,1535.212742057961
2011-10,1762.648911267982
2011-11,1616.620632365319
2011-12,1654.8796234460006
2012-01,1829.6977341983604
2012-02,1948.003140469925
2012-03,1814.1840169781237
2012-04,1879.9358803269627
2012-05,1685.3640975203787
2012-06,1717.2966442858437
2012-07,1738.963067058168
2012-08,1682.9459619797392
2012-09,1792.2895998232032
2012-10,1891.594791762685
2012-11,1924.0719093973366
2012-12,2026.1386048496825
2013-01,2111.374848506965
2013-02,2031.7730980387855
2013-03,1938.490899562001
2013-04,1960.0602795280367
2013-05,1950.9051845047586
2013-06,1808.1093435599385
2013-07,1878.3197598413524
2013-08,1926.1360505897608
2013-09,2025.7499447870177
2013-10,2076.115665049373
2013-11,2175.7704277846233
2013-12,2104.4197149548945
2014-01,1967.7539203370352
2014-02,2014.4543193226918
2014-03,1977.3539953513623
2014-04,1931.420189150758
2014-05,2018.8816888923054
2014-06,2083.9373383381244
2014-07,2256.3203353797276
2014-08,2262.4348445171254
2014-09,2126.6034080800137
2014-10,2216.603120317833
2014-11,2257.237122935885
2014-12,2297.410470835167
2015-01,2341.7716467517403
2015-02,2415.976188016395
2015-03,2493.839809899533
2015-04,2927.479321159375
2015-05,2835.9045688757938
2015-06,2666.020544672445
2015-07,2371.58640630212
2015-08,2088.569713017147
2015-09,2047.7772822881464
2015-10,2237.619722437244
2015-11,2165.7693885210374
2015-12,2136.394468477541
2016-01,1848.7442367541935
2016-02,1808.5790715607145
2016-03,2024.7741635920415
2016-04,2021.142681651324
2016-05,2009.0678564139457
2016-06,2029.3739366361474
2016-07,2099.058562324977
2016-08,2254.22912174246
2016-09,2306.174780077216
2016-10,2263.633988723888
2017-04,2484.325333
2017-05,2608.178051
2017-06,2669.911832
2017-07,2899.887015
2017-08,3021.442721
2017-09,3054.251774
2017-10,3173.267788
2017-11,3213.562286
2017-12,3279.230083
2018-01,3683.825649
2018-02,3447.572042
2018-03,3341.1948361435
2018-04,3338.0950483778192
2018-05,3400.697709484198
2018-06,3219.982348903825
2018-07,3139.684849447892
2018-08,3019.145863602935
2018-09,2976.970589736679
2018-10,2635.518378891614
2018-11,2828.2687164689573
2018-12,2657.362443534227
2019-01,2950.5263501405548
2019-02,3054.331682601238
2019-03,3129.6541048051213
2019-04,3198.490509379497
2019-05,2781.5142159757565
2019-06,3004.86624621092
2019-07,2987.380404111782
2019-08,2864.01136287099
2019-09,2862.5913044525378
2019-10,2978.985692753697
2019-11,3037.1868533300612
2019-12,3290.2508230174863
2020-01,3124.247373394154
2020-02,3157.8100195455104
2020-03,2951.008519967034
2020-04,3135.9426760489077
2020-05,3125.149676539039
2020-06,3401.38444590155
2020-07,3704.9559513891095
2020-08,3918.0733218751047
2020-09,3816.5703043818844
2020-10,4026.089167530471
2020-11,4125.057326986974
2020-12,4218.445193961311
