Date,PAKISTAN GROWTH
2017-05,1000.0
2017-06,966.441408750014
2017-07,853.322033
2017-08,692.665961
2017-09,702.250327
2017-10,622.168806
2017-11,626.070535
2017-12,631.852313
2018-01,680.749544
2018-02,664.414567
2018-03,708.515107
2018-04,678.4263220823217
2018-05,596.1531699197766
2018-06,544.4152800946331
2018-07,570.5673278763231
2018-08,523.7304548582623
2018-09,518.3968571853987
2018-10,471.1391388132112
2018-11,452.8784214342891
2018-12,406.68685736918223
2019-01,462.6777867981595
2019-02,436.57086376505856
2019-03,425.267847289214
2019-04,408.5580075409267
2019-05,373.5955902636555
2019-06,332.7908399319942
2019-07,341.25194082534364
2019-08,329.09287778096325
2019-09,345.20664575493583
2019-10,366.4192768104028
2019-11,424.9496708287359
2019-12,443.0590753499944
2020-01,457.61302167334156
2020-02,430.6895639603769
2020-03,295.4834618591924
2020-04,323.3492820001992
2020-05,297.03105016624204
2020-06,305.6664166085612
2020-07,360.5757910160508
2020-08,374.2773354740529
2020-09,371.3942813589964
2020-10,375.16633788425224
2020-11,388.72226294130024
2020-12,397.1043557435728
2021-01,422.35961675371755
2021-02,380.73480936055756
2021-03,383.61653240554506
2021-04,396.67999621890203
2021-05,425.34029620656867
2021-06,387.6771345099718
2021-07,385.5930677553834
2021-08,357.8261350718775
2021-09,308.5422458501971
2021-10,329.0141388680439
2021-11,299.6596661234073
