Date,BANGLADESH
2009-11,1000.0
2009-12,968.7984908196288
2010-01,1132.6569399364967
2010-02,1183.9068392237573
2010-03,1157.1093552307036
2010-04,1170.7057327328773
2010-05,1233.8066013341834
2010-06,1243.2467618429669
2010-07,1249.556162712169
2010-08,1321.1731215147904
2010-09,1329.1722668194348
2010-10,1381.885870509915
2010-11,1397.8888867621458
2010-12,1402.0250315910253
2011-01,1254.8085762905216
2011-02,891.0724812444313
2011-03,1001.0798119258827
2011-04,955.4123464573134
2011-05,901.9494217058702
2011-06,984.0090248223901
2011-07,1051.8631542959126
2011-08,998.4294748546475
2011-09,950.1995103869381
2011-10,842.3217267908624
2011-11,856.770869231242
2011-12,791.1401968604837
2012-01,623.3143090910469
2012-02,740.7084611852404
2012-03,784.759802611713
2012-04,798.5229618289642
2012-05,728.2545504400672
2012-06,713.7808189131027
2012-07,667.4427719203453
2012-08,723.5570012113261
2012-09,729.7411737168582
2012-10,710.3917247739233
2012-11,663.8449128006594
2012-12,708.2062356059065
2013-01,715.3842999305389
2013-02,678.9144955242659
2013-03,682.7208315717673
2013-04,646.3652431875115
2013-05,693.7605499185622
2013-06,739.9800701504982
2013-07,697.441426367558
2013-08,734.0048537693889
2013-09,701.4494518993835
2013-10,725.6731330933314
2013-11,746.3247825301382
2013-12,734.064700853496
2014-01,813.5067880810725
2014-02,870.1268784442593
2014-03,865.7261748359459
2014-04,907.5943980665786
2014-05,876.9646693584444
2014-06,928.5564038901263
2014-07,902.0532778168005
2014-08,1009.7824541871883
2014-09,1175.4023293237003
2014-10,1196.5124364137816
2014-11,1025.047265570186
2014-12,1106.1651243252074
2015-01,1076.8020981286188
2015-02,1075.9560926137835
2015-03,1086.8759307101702
2015-04,1003.1416084191756
2015-05,1029.506055989805
2015-06,1068.3520722862536
2015-07,1117.1722029072012
2015-08,1096.3028128128801
2015-09,1051.9653380205361
2015-10,948.7583477695695
2015-11,938.7904714180219
2015-12,912.6437758925575
2016-01,914.1568938617249
2016-02,929.2685167652959
2016-03,871.2101008775418
2016-04,871.4362142535989
2016-05,952.8886024447678
2016-06,958.1841952823532
2016-07,955.6956616387254
2016-08,946.9944857016092
2016-09,973.3269003213306
2016-10,959.0294460018109
2016-11,970.5731591685552
2016-12,1006.2615128695131
2017-01,1032.4003149076518
2017-02,1056.8431682447458
2017-03,1054.2029886636687
2017-04,1019.314858
2017-05,1036.146018
2017-06,1062.876624
2017-07,1049.9218
2017-08,1069.901446
2017-09,1112.220084
2017-10,1089.169177
2017-11,1163.698919
2017-12,1185.822236
2018-01,1208.296591
2018-02,1165.999694
2018-03,1160.312263
2018-04,1191.3073516064808
2018-05,1066.4972891636974
2018-06,1077.7598564688735
2018-07,1005.6977116428064
2018-08,1052.28535153707
2018-09,1010.3102335368357
2018-10,1001.0040796516896
2018-11,1029.4953220554116
2018-12,1011.3194339982165
2019-01,1074.563425178867
2019-02,1107.861546421426
2019-03,1090.4066520260008
2019-04,1016.4982992555293
2019-05,1018.8677294112064
2019-06,1056.5193079667445
2019-07,1001.5210148804899
2019-08,984.0744861591637
2019-09,967.8507121680658
2019-10,907.2488557413659
2019-11,905.9835790683252
2019-12,839.2197737268548
2020-01,825.5617321987626
2020-02,780.7457259398611
2020-03,688.980344429802
2020-04,689.4264438934993
2020-05,688.5753001356086
2020-06,699.7136038139548
2020-07,730.784135263476
2020-08,896.8682528279217
2020-09,872.5436590689505
2020-10,862.8698671386114
2020-11,867.4966387736596
2020-12,972.4968356385635
2021-01,1052.615063954444
2021-02,960.7184432772224
2021-03,895.5773945167367
2021-04,955.0036985171324
2021-05,1001.1169263429192
2021-06,1000.3530976940172
2021-07,1031.8942539997577
2021-08,1029.1485595159581
2021-09,1089.812211113541
2021-10,1023.1820944727679
2021-11,1022.4684074950273
2021-12,1022.9037046998743
2022-01,1042.4846490847758
2022-02,1026.0624566031966
2022-03,1022.6429149676682
2022-04,1017.2708308647373
2022-05,935.8726446145262
2022-06,881.2215912269253
2022-07,819.4613048634084
2022-08,832.637916243956
2022-09,799.437874619441
2022-10,774.943796280525
2022-11,789.7918132438932
2022-12,782.7146878111049
2023-01,752.7992224596353
2023-02,753.3675715141197
2023-03,753.5377289996178
2023-04,761.346410129147
2023-05,753.5377289996163
2023-06,747.0597285561925
2023-07,744.7191433395583
