Date,FRANCE
1969-12,100.0
1970-01,103.806
1970-02,100.908
1970-03,99.729
1970-04,93.782
1970-05,91.225
1970-06,89.016
1970-07,94.1
1970-08,93.624
1970-09,90.919
1970-10,92.181
1970-11,91.337
1970-12,93.057
1971-01,97.689
1971-02,96.991
1971-03,95.041
1971-04,94.917
1971-05,99.978
1971-06,97.972
1971-07,100.66
1971-08,97.772
1971-09,89.395
1971-10,83.512
1971-11,89.118
1971-12,92.577
1972-01,98.764
1972-02,105.456
1972-03,118.12700000000001
1972-04,121.324
1972-05,128.312
1972-06,123.329
1972-07,131.681
1972-08,132.711
1972-09,130.86
1972-10,125.517
1972-11,117.197
1972-12,114.469
1973-01,122.522
1973-02,138.823
1973-03,146.685
1973-04,156.669
1973-05,161.305
1973-06,167.603
1973-07,157.508
1973-08,145.29
1973-09,148.677
1973-10,151.217
1973-11,124.013
1973-12,117.654
1974-01,117.763
1974-02,124.039
1974-03,116.012
1974-04,110.889
1974-05,106.007
1974-06,97.721
1974-07,101.285
1974-08,88.944
1974-09,75.218
1974-10,81.748
1974-11,84.448
1974-12,89.741
1975-01,113.679
1975-02,116.338
1975-03,125.14
1975-04,136.613
1975-05,133.312
1975-06,125.066
1975-07,125.897
1975-08,125.383
1975-09,115.752
1975-10,124.301
1975-11,129.769
1975-12,128.376
1976-01,130.546
1976-02,136.689
1976-03,127.005
1976-04,120.982
1976-05,119.518
1976-06,116.632
1976-07,107.105
1976-08,106.761
1976-09,100.009
1976-10,92.791
1976-11,89.621
1976-12,101.021
1977-01,99.096
1977-02,94.725
1977-03,85.162
1977-04,83.51
1977-05,87.937
1977-06,94.18
1977-07,91.988
1977-08,98.881
1977-09,104.954
1977-10,109.893
1977-11,105.04
1977-12,105.216
1978-01,98.904
1978-02,100.924
1978-03,127.518
1978-04,133.977
1978-05,141.519
1978-06,140.078
1978-07,160.868
1978-08,156.977
1978-09,180.773
1978-10,186.464
1978-11,165.617
1978-12,179.694
1979-01,174.626
1979-02,164.432
1979-03,172.357
1979-04,180.572
1979-05,168.938
1979-06,194.39
1979-07,194.521
1979-08,208.947
1979-09,241.908
1979-10,213.596
1979-11,229.365
1979-12,228.257
1980-01,244.429
1980-02,242.015
1980-03,203.103
1980-04,225.036
1980-05,239.646
1980-06,242.485
1980-07,232.143
1980-08,237.333
1980-09,236.587
1980-10,243.654
1980-11,238.648
1980-12,220.655
1981-01,195.783
1981-02,197.709
1981-03,206.194
1981-04,184.385
1981-05,141.362
1981-06,130.85
1981-07,140.582
1981-08,148.108
1981-09,153.103
1981-10,149.027
1981-11,159.439
1981-12,154.016
1982-01,161.469
1982-02,168.81
1982-03,157.033
1982-04,171.594
1982-05,169.65
1982-06,139.599
1982-07,136.04
1982-08,139.478
1982-09,134.452
1982-10,135.024
1982-11,140.663
1982-12,144.415
1983-01,149.456
1983-02,155.612
1983-03,160.908
1983-04,167.154
1983-05,169.615
1983-06,166.729
1983-07,165.29
1983-08,170.276
1983-09,178.92
1983-10,178.476
1983-11,185.81
1983-12,190.502
1984-01,200.954
1984-02,205.7
1984-03,209.035
1984-04,220.723
1984-05,212.729
1984-06,206.943
1984-07,184.891
1984-08,204.479
