Date,CHINA A INCLUSION RMB
2014-08,628.6126771166886
2014-09,651.637688
2014-10,672.578706
2014-11,749.935973
2014-12,952.724805
2015-01,910.309378
2015-02,937.187105
2015-03,1068.630239
2015-04,1279.375263
2015-05,1263.466312
2015-06,1176.569035
2015-07,1003.294332
2015-08,863.130034
2015-09,825.540939
2015-10,914.346215
2015-11,909.065339
2015-12,929.631636
2016-01,723.583195
2016-02,713.363083
2016-03,807.146926
2016-04,786.072734
2016-05,776.023157
2016-06,772.338369
2016-07,799.850695
2016-08,825.1526407387371
2016-09,804.558782206553
2016-10,815.7085508439693
2016-11,852.2718234864901
2016-12,796.5887787394655
2017-01,828.7613140334457
2017-02,846.6622386111409
2017-03,844.9634823666319
2017-04,845.6857776166239
2017-05,871.8761582949326
2017-06,923.3889882067525
2017-07,961.0025239960023
2017-08,1000.0
2017-09,998.1952430627539
2017-10,1045.460884
2017-11,1039.15664
2017-12,1060.996636
2018-01,1166.342716
2018-02,1081.372403
2018-03,1048.4013014256102
2018-04,1000.9592812826987
2018-05,994.4498813278874
2018-06,896.196223024067
2018-07,881.1257785000407
2018-08,832.75717291444
2018-09,857.6849907990232
2018-10,776.1162367282019
2018-11,784.3624957958966
2018-12,761.6756598727388
2019-01,831.7480308982099
2019-02,944.6304506467891
2019-03,989.1421675638744
2019-04,997.8751540797084
2019-05,907.5886920479419
2019-06,965.2636083775416
2019-07,972.4825298526496
2019-08,934.7649100383002
2019-09,937.7544019102305
2019-10,969.7188654031735
2019-11,957.9443607751842
2019-12,1036.4361700718957
2020-01,1028.4699277329494
2020-02,1013.3928673434599
2020-03,940.5785880254081
2020-04,1007.1907186052389
2020-05,988.6899004250553
2020-06,1088.6993415741354
2020-07,1252.105993787684
2020-08,1311.515596483911
2020-09,1251.2261213419579
2020-10,1296.1016396915766
2020-11,1376.6096118339522
2020-12,1474.5660364932835
2021-01,1535.7889789885865
2021-02,1521.9809415002794
2021-03,1423.5491897651166
2021-04,1482.1140414445424
2021-05,1578.7173606388596
2021-06,1552.7787218790547
2021-07,1452.6753264797085
2021-08,1464.558042531757
2021-09,1483.1819102630368
2021-10,1516.1280178585757
2021-11,1512.349029
2021-12,1528.430399673131
2022-01,1400.0224946273179
2022-02,1432.8554070092093
2022-03,1310.084170550574
2022-04,1192.3194577578265
2022-05,1219.42098839897
2022-06,1334.5824236765156
2022-07,1251.760273796013
2022-08,1202.3548740254737
2022-09,1094.1487354725955
2022-10,989.2028649351985
2022-11,1103.6493935087612
2022-12,1129.6878169036866
2023-01,1243.0512814138126
2023-02,1190.273275239467
2023-03,1187.2630844334337
2023-04,1162.784871710728
2023-05,1073.6858699255454
2023-06,1062.9745854725759
2023-07,1132.4183077068867
