Date,BULGARIA
2005-05,547.7813969184656
2005-06,534.8396923148707
2005-07,557.735380678831
2005-08,556.7803236626241
2005-09,545.1474428259748
2005-10,530.8977996575785
2005-11,499.0703853149741
2005-12,490.1253877497112
2006-01,535.1532813609551
2006-02,537.1026281032321
2006-03,540.1995286536481
2006-04,578.9863579901432
2006-05,590.5581980812842
2006-06,594.247244823793
2006-07,630.7521896016918
2006-08,628.7268550059895
2006-09,632.3941297013482
2006-10,716.5697588555873
2006-11,728.6619232859282
2006-12,747.7346198127103
2007-01,828.6872823369761
2007-02,870.1376098300673
2007-03,862.1772222316748
2007-04,881.2207735050704
2007-05,812.0347334598404
2007-06,866.1184514421151
2007-07,899.2728158427594
2007-08,880.1230929609619
2007-09,964.5210021342099
2007-10,1018.1089103130984
2007-11,1000.0
2007-12,985.6778658473219
2008-01,790.4813189303431
2008-02,831.4959705200494
2008-03,815.7980124291879
2008-04,756.4970013213377
2008-05,808.519053124349
2008-06,753.0393671889709
2008-07,663.2207329949086
2008-08,621.057292402945
2008-09,411.16125040084125
2008-10,217.63043311600657
2008-11,165.48897283987796
2008-12,179.81444558948306
2009-01,142.8413265735873
2009-02,118.45822742092749
2009-03,139.32826536471885
2009-04,161.39854042709118
2009-05,172.3994032817143
2009-06,169.07630614755755
2009-07,176.05214150119508
2009-08,225.18320419422957
2009-09,239.16117742488035
2009-10,236.66659494113594
2009-11,249.88990810034275
2009-12,231.96680731176158
2010-01,232.66063703743635
2010-02,220.9221775978152
2010-03,217.66712336408852
2010-04,215.5466172798468
2010-05,178.41541266208097
2010-06,175.27577332806456
2010-07,190.4714608164836
2010-08,198.08998650526945
2010-09,217.09429652808413
2010-10,212.1482572071636
2010-11,204.261114986146
2010-12,203.75013760140294
2011-01,222.5768426601401
2011-02,268.015520995429
2011-03,276.2945644865628
2011-04,284.5426351454051
2011-05,266.44298352324313
2011-06,233.9272067731246
2011-07,238.63883010712806
2011-08,206.576875526438
2011-09,173.0070494049051
2011-10,173.98482377205468
2011-11,154.28405262126367
2011-12,144.74018757274553
2012-01,145.24934960550266
2012-02,137.2276739901785
2012-03,135.13186850113996
2012-04,124.93311204896185
2012-05,102.35126038594625
2012-06,100.06151820696246
2012-07,105.03852445130478
2012-08,105.00071087085915
2012-09,100.51862604863629
2012-10,103.99348538111465
2012-11,98.17685883172484
2012-12,97.96212407986165
2013-01,133.6723155628391
2013-02,116.86472699205142
2013-03,118.0017390775571
2013-04,132.53503985963957
2013-05,143.739180288332
2013-06,146.8307379236625
2013-07,159.18855733262995
2013-08,155.3540561258878
2013-09,162.08326814821896
2013-10,161.16118303423787
2013-11,174.76794930057306
2013-12,193.79186083667022
2014-01,205.28536512469466
2014-02,234.63935916563614
2014-03,237.68613139132736
2014-04,233.19440481982681
2014-05,232.34606827380566
2014-06,221.92838277255606
2014-07,210.42212484981135
2014-08,210.8087672152468
2014-09,197.54601457619847
2014-10,188.4064180018595
2014-11,179.95862846410841
2014-12,176.95940178784363
2015-01,154.74920918606324
2015-02,146.1139591442031
2015-03,144.73376695741686
2015-04,141.73871178644757
2015-05,131.54258893505158
2015-06,133.2326889333455
2015-07,120.96920896762829
2015-08,120.38876272011107
2015-09,115.97537616946123
2015-10,114.0113103812569
2015-11,104.35584216929598
2015-12,114.46323506184467
2016-01,107.41750412974346
2016-02,106.03103917618174
2016-03,105.20510842054946
2016-04,106.40213570463958
2016-05,102.47098601831132
2016-06,108.08519872161216
2016-07,106.68768489924398
2016-08,107.07331262117745
2016-09,119.11464472651811
2016-10,126.51373505644406
2016-11,133.65838725729375
2016-12,139.60049062720466
2017-01,143.98780682696437
2017-02,141.61714473667396
2017-03,140.2515470204303
2017-04,150.672911
2017-05,160.581012
2017-06,183.15058
2017-07,198.973744
2017-08,191.341822
2017-09,183.100303
2017-10,174.904498
2017-11,180.690912
2017-12,178.086192
2018-01,187.188072
2018-02,173.752374
2018-03,168.703853
