Date,GERMANY
1969-12,100.0
1970-01,95.165
1970-02,92.38
1970-03,93.194
1970-04,88.889
1970-05,80.545
1970-06,77.572
1970-07,82.295
1970-08,83.261
1970-09,81.902
1970-10,80.673
1970-11,77.746
1970-12,75.408
1971-01,86.227
1971-02,89.904
1971-03,90.74
1971-04,85.203
1971-05,89.241
1971-06,89.423
1971-07,94.064
1971-08,92.277
1971-09,91.26
1971-10,84.363
1971-11,86.605
1971-12,93.017
1972-01,99.775
1972-02,108.149
1972-03,113.736
1972-04,110.773
1972-05,114.045
1972-06,112.256
1972-07,118.663
1972-08,115.983
1972-09,111.816
1972-10,109.553
1972-11,111.163
1972-12,109.349
1973-01,116.292
1973-02,126.379
1973-03,133.41
1973-04,126.346
1973-05,118.889
1973-06,132.092
1973-07,127.471
1973-08,122.997
1973-09,123.489
1973-10,130.762
1973-11,108.486
1973-12,103.419
1974-01,108.48
1974-02,105.194
1974-03,110.992
1974-04,119.798
1974-05,112.44
1974-06,108.491
1974-07,106.297
1974-08,103.985
1974-09,99.356
1974-10,105.157
1974-11,115.184
1974-12,119.817
1975-01,135.294
1975-02,153.619
1975-03,151.727
1975-04,154.49
1975-05,145.389
1975-06,145.983
1975-07,145.142
1975-08,137.955
1975-09,131.878
1975-10,148.721
1975-11,152.318
1975-12,154.218
1976-01,157.692
1976-02,160.355
1976-03,166.646
1976-04,156.69
1976-05,151.935
1976-06,154.367
1976-07,153.025
1976-08,153.374
1976-09,160.691
1976-10,150.827
1976-11,158.968
1976-12,163.123
1977-01,160.228
1977-02,157.753
1977-03,163.052
1977-04,176.915
1977-05,173.253
1977-06,169.902
1977-07,175.647
1977-08,176.645
1977-09,179.98
1977-10,189.82
1977-11,193.562
1977-12,203.124
1978-01,205.646
1978-02,213.877
1978-03,214.644
1978-04,203.588
1978-05,204.903
1978-06,210.806
1978-07,222.181
1978-08,231.854
1978-09,244.852
1978-10,269.561
1978-11,238.596
1978-12,252.359
1979-01,248.318
1979-02,242.837
1979-03,237.592
1979-04,233.486
1979-05,221.504
1979-06,223.185
1979-07,232.999
1979-08,237.646
1979-09,249.538
1979-10,228.757
1979-11,241.122
1979-12,239.944
1980-01,238.4
1980-02,239.565
1980-03,202.489
1980-04,225.771
1980-05,233.913
1980-06,243.078
1980-07,244.639
1980-08,238.707
1980-09,236.6
1980-10,219.214
1980-11,220.466
1980-12,211.177
1981-01,191.848
1981-02,190.46
1981-03,199.385
1981-04,198.298
1981-05,183.254
1981-06,189.871
1981-07,185.005
1981-08,182.266
1981-09,180.835
