Date,NETHERLANDS
1969-12,100.0
1970-01,94.549
1970-02,95.344
1970-03,96.624
1970-04,90.579
1970-05,88.379
1970-06,88.399
1970-07,96.106
1970-08,102.503
1970-09,100.775
1970-10,100.794
1970-11,90.648
1970-12,92.361
1971-01,95.349
1971-02,94.962
1971-03,96.168
1971-04,100.549
1971-05,101.882
1971-06,100.723
1971-07,102.542
1971-08,97.93
1971-09,92.269
1971-10,88.91
1971-11,86.695
1971-12,92.799
1972-01,99.83
1972-02,104.824
1972-03,103.023
1972-04,103.45
1972-05,115.895
1972-06,112.672
1972-07,119.384
1972-08,120.336
1972-09,114.079
1972-10,115.112
1972-11,117.16
1972-12,118.893
1973-01,125.3
1973-02,135.64
1973-03,141.398
1973-04,138.5
1973-05,138.178
1973-06,140.719
1973-07,140.875
1973-08,132.203
1973-09,136.316
1973-10,134.168
1973-11,110.149
1973-12,111.728
1974-01,109.752
1974-02,109.356
1974-03,110.481
1974-04,115.572
1974-05,109.616
1974-06,105.532
1974-07,108.173
1974-08,94.724
1974-09,85.015
1974-10,86.471
1974-11,89.333
1974-12,92.45
1975-01,116.011
1975-02,126.832
1975-03,125.108
1975-04,128.539
1975-05,123.17
1975-06,126.834
1975-07,119.18
1975-08,119.498
1975-09,109.53
1975-10,119.689
1975-11,128.694
1975-12,136.48
1976-01,147.683
1976-02,145.605
1976-03,152.334
1976-04,152.971
1976-05,148.516
1976-06,145.954
1976-07,145.69
1976-08,144.708
1976-09,143.81
1976-10,142.413
1976-11,147.774
1976-12,157.217
1977-01,157.793
1977-02,162.482
1977-03,165.752
1977-04,182.063
1977-05,172.16
1977-06,173.197
1977-07,176.049
1977-08,167.192
1977-09,171.459
1977-10,173.562
1977-11,176.907
1977-12,180.063
1978-01,181.527
1978-02,185.882
1978-03,193.308
1978-04,189.851
1978-05,191.568
1978-06,195.027
1978-07,201.684
1978-08,215.937
1978-09,217.427
1978-10,223.906
1978-11,205.631
1978-12,213.822
1979-01,222.292
1979-02,220.01
1979-03,229.718
1979-04,229.653
1979-05,220.932
1979-06,236.202
1979-07,237.157
1979-08,248.542
1979-09,261.152
1979-10,243.942
1979-11,248.175
1979-12,251.82
1980-01,257.486
1980-02,256.171
1980-03,215.824
1980-04,242.202
1980-05,252.793
1980-06,266.382
1980-07,274.407
1980-08,270.371
1980-09,272.277
1980-10,286.263
1980-11,300.076
1980-12,279.688
1981-01,265.383
1981-02,263.976
1981-03,251.109
1981-04,240.072
1981-05,221.729
1981-06,220.663
1981-07,219.207
1981-08,219.872
1981-09,198.158
1981-10,220.949
1981-11,244.011
1981-12,236.58
1982-01,233.787
1982-02,214.63
1982-03,228.352
1982-04,248.862
1982-05,246.002
1982-06,222.281
1982-07,224.583
1982-08,229.166
1982-09,229.381
1982-10,247.491
1982-11,247.192
1982-12,271.79
1983-01,275.626
1983-02,284.952
1983-03,329.633
1983-04,340.078
1983-05,330.58
1983-06,363.126
1983-07,359.254
1983-08,356.742
1983-09,367.294
1983-10,351.1
1983-11,360.97
1983-12,370.838
1984-01,415.06
1984-02,419.689
1984-03,425.316
1984-04,408.335
1984-05,388.613
1984-06,391.041
1984-07,353.13
1984-08,407.086
1984-09,422.207
1984-10,417.058
1984-11,406.157
1984-12,408.764
1985-01,443.268
1985-02,436.976
1985-03,469.666
1985-04,486.319
1985-05,475.38
1985-06,489.087
1985-07,533.536
1985-08,539.362
1985-09,544.316
1985-10,578.378
1985-11,622.584
1985-12,652.475594
1986-01,650.779413
1986-02,680.874126
1986-03,721.183159
1986-04,772.614743
1986-05,757.658798
1986-06,795.774671
1986-07,795.506631
1986-08,891.76725
1986-09,862.655436
1986-10,837.441326
1986-11,906.268888
1986-12,918.272791
1987-01,963.994518
1987-02,964.62182
1987-03,1068.611525
1987-04,1075.490618
1987-05,1105.462699
1987-06,1188.193554
1987-07,1232.025848
1987-08,1234.511514
1987-09,1193.922695
1987-10,984.921383
1987-11,912.469375
1987-12,983.173055
1988-01,967.1943
1988-02,1007.456873
1988-03,1047.282454
1988-04,1074.242172
1988-05,1014.513354
1988-06,1018.573004
1988-07,1048.421867
1988-08,1000.846361
1988-09,1021.796422
1988-10,1097.350639
1988-11,1094.586027
1988-12,1122.666771
1989-01,1140.357805
1989-02,1138.873339
1989-03,1176.828264
1989-04,1229.667307
1989-05,1171.798121
1989-06,1218.575886
1989-07,1330.171897
1989-08,1314.327119
1989-09,1357.844971
1989-10,1319.746836
1989-11,1392.848724
1989-12,1524.501487
1990-01,1467.015189
1990-02,1422.874581
1990-03,1486.340095
1990-04,1440.217879
1990-05,1499.421276
1990-06,1517.586104
1990-07,1596.634062
1990-08,1474.028168
1990-09,1402.59573
1990-10,1462.76151
1990-11,1476.017768
1990-12,1475.86106
1991-01,1471.279039
1991-02,1583.024069
1991-03,1514.81284
1991-04,1550.575246
1991-05,1572.545344
1991-06,1476.176928
1991-07,1566.789129
1991-08,1557.784228
1991-09,1593.168215
1991-10,1611.227256
1991-11,1618.680296
1991-12,1738.5876956
1992-01,1735.1777749999999
1992-02,1740.0994331
1992-03,1713.424564
1992-04,1791.1422977
1992-05,1867.3708476
1992-06,1883.9779016999998
1992-07,1887.4453116
1992-08,1937.6629249
1992-09,1979.8738423999998
1992-10,1789.4320659999998
1992-11,1758.5422351999998
1992-12,1778.5372261999998
1993-01,1818.0663800000002
1993-02,1875.699228
1993-03,1995.3775329999999
1993-04,1986.5947709999998
1993-05,2027.1687729999999
1993-06,2011.1690239999998
1993-07,2013.3329669999998
1993-08,2216.839074
1993-09,2225.9001559999997
1993-10,2357.0970155614446
1993-11,2284.41627140883
1993-12,2405.937169299333
1994-01,2516.44222628896
1994-02,2468.1996311945995
1994-03,2386.7337306829636
1994-04,2520.127813631286
1994-05,2441.5262978163237
1994-06,2419.2791351315723
1994-07,2567.089048341423
1994-08,2658.5846168073576
1994-09,2584.41623968908
1994-10,2757.8693187292524
1994-11,2617.482942631892
1994-12,2687.5238721293904
1995-01,2719.3438062841
1995-02,2796.2919162941403
1995-03,2937.740703595996
1995-04,3036.8598254262774
1995-05,3075.1931802366053
1995-06,3107.336248699491
1995-07,3283.74012493596
1995-08,3086.954610152046
1995-09,3236.223734202467
1995-10,3188.7412828037864
1995-11,3289.766877764799
1995-12,3432.3676130301283
1996-01,3452.85097140468
1996-02,3528.5582666115984
1996-03,3632.625502099698
1996-04,3648.6142122074043
1996-05,3817.527876308501
1996-06,3826.252429840144
1996-07,3765.4498122394507
1996-08,3828.794642002481
1996-09,3926.185078852654
1996-10,4024.4360412927176
1996-11,4275.837874449898
1996-12,4376.676369627595
1997-01,4341.628807865042
1997-02,4517.852959242153
1997-03,4626.460085632571
1997-04,4579.18727541301
1997-05,4870.705840706351
1997-06,5252.75836291634
1997-07,5682.016009764991
1997-08,5121.824696460954
1997-09,5571.567687072814
1997-10,5329.503409419381
1997-11,5284.68872843356
1997-12,5416.79424032736
1998-01,5467.875024168904
1998-02,6026.581441216143
1998-03,6217.372439626767
1998-04,6430.476861431875
1998-05,6768.364838665994
1998-06,6653.065619419988
1998-07,6693.110847596333
1998-08,5870.102566021603
1998-09,5527.504032368194
1998-10,5841.453080217327
1998-11,6147.290637731535
1998-12,6675.037933350896
1999-01,6173.808030119678
1999-02,6131.408337334493
1999-03,6194.684286409699
1999-04,6589.659039551197
1999-05,6212.639812737575
1999-06,6230.841330155203
1999-07,6431.476318867615
1999-08,6580.875323878572
1999-09,6342.10082246278
1999-10,6560.460513015827
1999-11,6518.833226223355
1999-12,7134.5881057907845
2000-01,6282.9135716931905
2000-02,6683.960785835496
2000-03,6879.827150698633
2000-04,6650.218694679101
2000-05,6829.205688146581
2000-06,7208.248037251203
2000-07,6895.065359415809
2000-08,6884.070252272368
2000-09,6618.594303924066
2000-10,6564.580079678564
2000-11,6510.293154791652
2000-12,6842.977246044934
2001-01,6796.750170035377
