Date,SPAIN
1969-12,100.0
1970-01,103.903
1970-02,108.966
1970-03,105.621
1970-04,97.102
1970-05,92.621
1970-06,96.136
1970-07,98.415
1970-08,98.747
1970-09,95.458
1970-10,98.593
1970-11,98.605
1970-12,95.814
1971-01,102.251
1971-02,103.39
1971-03,100.304
1971-04,101.204
1971-05,103.884
1971-06,103.601
1971-07,107.644
1971-08,111.268
1971-09,109.927
1971-10,113.134
1971-11,112.985
1971-12,120.4
1972-01,125.012
1972-02,129.583
1972-03,135.486
1972-04,142.022
1972-05,149.453
1972-06,151.616
1972-07,157.123
1972-08,163.257
1972-09,161.076
1972-10,172.352
1972-11,169.854
1972-12,169.091
1973-01,181.173
1973-02,202.802
1973-03,216.015
1973-04,222.676
1973-05,208.742
1973-06,213.434
1973-07,218.469
1973-08,222.559
1973-09,237.401
1973-10,235.41
1973-11,208.669
1973-12,211.005
1974-01,221.839
1974-02,228.76
1974-03,225.457
1974-04,241.523
1974-05,234.401
1974-06,238.577
1974-07,239.807
1974-08,222.097
1974-09,193.616
1974-10,191.381
1974-11,206.562
1974-12,192.197
1975-01,195.185
1975-02,204.879
1975-03,194.811
1975-04,203.699
1975-05,193.859
1975-06,185.725
1975-07,176.1
1975-08,179.26
1975-09,167.272
1975-10,175.278
1975-11,196.03
1975-12,191.417
1976-01,178.777
1976-02,152.416
1976-03,145.085
1976-04,156.006
1976-05,151.122
1976-06,139.921
1976-07,139.675
1976-08,136.739
1976-09,138.694
1976-10,130.264
1976-11,129.797
1976-12,121.105
1977-01,111.692
1977-02,119.475
1977-03,113.221
1977-04,114.963
1977-05,110.308
1977-06,109.224
1977-07,79.307
1977-08,79.412
1977-09,70.577
1977-10,71.436
1977-11,71.969
1977-12,78.561
1978-01,75.066
1978-02,72.636
1978-03,73.98
1978-04,78.435
1978-05,80.302
1978-06,82.434
1978-07,87.801
1978-08,89.602
1978-09,88.133
1978-10,92.978
1978-11,83.081
1978-12,83.232
1979-01,80.7
1979-02,86.08
1979-03,98.872
1979-04,95.195
1979-05,95.858
1979-06,96.347
1979-07,90.936
1979-08,91.934
1979-09,88.288
1979-10,84.864
1979-11,81.366
1979-12,86.041
1980-01,83.794
1980-02,86.846
1980-03,79.554
1980-04,79.154
1980-05,83.004
1980-06,89.848
1980-07,88.214
1980-08,89.105
1980-09,92.279
1980-10,91.318
1980-11,86.523
1980-12,87.886
1981-01,87.286
1981-02,86.731
1981-03,90.333
1981-04,90.299
1981-05,92.162
1981-06,103.728
1981-07,96.396
1981-08,104.626
1981-09,102.101
1981-10,97.083
1981-11,102.921
1981-12,97.363
1982-01,95.877
1982-02,92.993
1982-03,88.082
1982-04,92.018
1982-05,89.542
1982-06,82.144
1982-07,80.258
1982-08,75.602
1982-09,68.041
1982-10,69.696
1982-11,72.552
1982-12,66.766
1983-01,63.925
1983-02,63.822
1983-03,68.09
1983-04,67.885
1983-05,72.269
1983-06,68.714
1983-07,66.932
1983-08,62.374
1983-09,64.916
1983-10,68.9
1983-11,68.71
1983-12,62.012
1984-01,67.944
1984-02,78.804
1984-03,81.534
1984-04,78.626
1984-05,80.417
1984-06,82.03
1984-07,86.112
1984-08,87.796
1984-09,91.15
1984-10,87.697
1984-11,88.052
1984-12,86.228
1985-01,102.021
1985-02,94.639
1985-03,102.258
1985-04,99.705
1985-05,100.374
1985-06,98.391
1985-07,107.298
1985-08,106.534
1985-09,108.599
1985-10,119.242
1985-11,129.184
1985-12,133.435261
1986-01,147.662259
1986-02,186.944492
1986-03,225.305137
1986-04,257.218334
1986-05,244.490598
1986-06,241.58431
1986-07,250.148932
1986-08,283.458561
1986-09,286.743596
1986-10,256.07146
1986-11,275.384959
