Date,CHINA A 50 CONNECT
2012-11,1000.0
2012-12,1152.1065470801018
2013-01,1208.9872848998857
2013-02,1193.3119206479885
2013-03,1117.9847088907613
2013-04,1100.9201871075554
2013-05,1149.601272474012
2013-06,1001.620231738582
2013-07,1006.4384936407965
2013-08,1054.1116961552398
2013-09,1089.6273423000982
2013-10,1084.9928805301365
2013-11,1115.2862471474361
2013-12,1063.5387991418054
2014-01,996.8327461548588
2014-02,959.8660991707081
2014-03,941.8245129938838
2014-04,947.8125152157852
2014-05,951.0058761749021
2014-06,968.2941046854619
2014-07,1075.8968114563959
2014-08,1065.7401589605859
2014-09,1086.9830818007486
2014-10,1118.2703774019608
2014-11,1229.9942593634498
2014-12,1592.8659813890104
2015-01,1518.9254348841102
2015-02,1555.8275564568514
2015-03,1757.965508137634
2015-04,2148.120152008075
2015-05,2102.532914700467
2015-06,1935.141853303546
2015-07,1679.6268931968782
2015-08,1479.6504216378528
2015-09,1412.828725827208
2015-10,1540.7562644296738
2015-11,1500.1301206083178
2015-12,1524.154816554034
2016-01,1220.3026163853885
2016-02,1210.962298832067
2016-03,1356.9230273024161
2016-04,1331.9477161796426
2016-05,1320.2634709763086
2016-06,1307.704635463157
2016-07,1363.1486678276083
2016-08,1402.7468801776217
2016-09,1368.5432391602374
2016-10,1398.8826846383954
2016-11,1503.0183576129248
2016-12,1401.110920527178
2017-01,1481.7678892334839
2017-02,1508.7000090409445
2017-03,1525.6021765957594
2017-04,1548.36596246359
2017-05,1642.2085978464772
2017-06,1735.2742331582724
2017-07,1809.318309575903
2017-08,1870.7862652965698
2017-09,1886.0589458899
2017-10,2029.6961191323628
2017-11,2049.1535045568294
2017-12,2111.0943136335454
2018-01,2366.386149019769
2018-02,2209.0987596927293
2018-03,2141.277606422503
2018-04,2077.717473175616
2018-05,2020.7512673258432
2018-06,1848.2512885999245
2018-07,1846.3073447553068
2018-08,1758.7935247498456
2018-09,1810.4616281209321
2018-10,1629.9330604539564
2018-11,1630.7878873623083
2018-12,1581.805365853829
2019-01,1749.9854292222763
2019-02,1939.7374372192974
2019-03,1997.2767087039977
2019-04,2030.3151873245397
2019-05,1842.2070483354241
2019-06,1977.5944727775816
2019-07,2009.4839363634537
2019-08,1938.0678127775727
2019-09,1955.8731178991916
2019-10,2032.934017726697
2019-11,2007.6354271671019
2019-12,2159.765135829307
2020-01,2102.9963946152207
2020-02,2059.7263926250575
2020-03,1916.1819804547806
2020-04,2053.5170142094366
2020-05,2003.137516737602
2020-06,2233.719851442576
2020-07,2554.461748923162
2020-08,2673.3793496069
2020-09,2622.5120472372078
2020-10,2775.3389615001693
2020-11,2920.642235815136
2020-12,3265.795255096658
2021-01,3454.155381105067
2021-02,3439.6613936627896
2021-03,3138.161975288918
2021-04,3302.6796128099877
2021-05,3488.9241011238864
2021-06,3463.9434999445853
2021-07,3095.4146658283266
2021-08,3020.63281210411
2021-09,3146.5353960461975
2021-10,3291.3036099791966
2021-11,3216.431395
2021-12,3274.7927579310503
2022-01,3031.9509982550144
2022-02,3072.548319857003
2022-03,2814.639122669225
2022-04,2597.623180525137
2022-05,2629.2608026036687
2022-06,2916.788926693941
2022-07,2682.6732813621256
2022-08,2578.254236586301
2022-09,2338.1858481546196
2022-10,2054.012709681759
2022-11,2337.06828980618
2022-12,2439.764744812379
2023-01,2704.376622943831
2023-02,2510.3570925168206
2023-03,2488.9365334272356
2023-04,2425.4094072227026
2023-05,2192.3533706397684
2023-06,2202.0324803177527
2023-07,2388.684592190199
