Date,ISRAEL
2000-12,100.0
2001-01,99.492451391237
2001-02,85.07727499506996
2001-03,69.0337473907129
2001-04,78.4301382927689
2001-05,74.70384333168629
2001-06,74.14412757850212
2001-07,74.19519817269025
2001-08,66.19466115074486
2001-09,53.86002657938125
2001-10,58.576189867182705
2001-11,65.14656804252003
2001-12,68.56992032555814
2002-01,65.17383386018048
2002-02,57.261670032126396
2002-03,57.306621367126034
2002-04,47.28520262989983
2002-05,49.67888451584301
2002-06,47.56263979867787
2002-07,49.12204977418338
2002-08,49.23872137752508
2002-09,45.33339605543766
2002-10,46.52318631383076
2002-11,52.73904687965018
2002-12,47.12360396075037
2003-01,46.6912338811659
2003-02,46.95821725030942
2003-03,50.51180739986901
2003-04,58.006176453893445
2003-05,64.62116220530712
2003-06,70.66978207860754
2003-07,67.04525290609595
2003-08,68.02665317215964
2003-09,67.55047860206676
2003-10,70.79159329394128
2003-11,74.51925656014721
2003-12,74.01545133373102
2004-01,79.68329312352
2004-02,83.02894267102651
2004-03,82.00986088156831
2004-04,82.7917030053654
2004-05,83.20241163103603
2004-06,88.12777317900213
2004-07,78.19585481189893
2004-08,74.16576313780541
2004-09,73.48413096383767
2004-10,74.95971561272974
2004-11,81.58548174603838
2004-12,88.68294424092258
2005-01,87.58940317247803
2005-02,90.16002436075613
2005-03,89.82154443736101
2005-04,90.05023314177221
2005-05,95.1560325725189
2005-06,87.61268157060745
2005-07,92.87845088050211
2005-08,94.3364780823653
2005-09,98.68305417001558
2005-10,101.76192248869873
2005-11,107.86353109778392
2005-12,112.478683431181
2006-01,112.0158880724467
2006-02,109.33527157589285
2006-03,108.65244324661113
2006-04,113.11995379178644
2006-05,105.60287529419418
2006-06,95.93044713285414
2006-07,97.36100924175183
2006-08,101.57167047006917
2006-09,102.43340476927574
2006-10,105.46371209093417
2006-11,108.08816962647194
2006-12,106.50626943348169
2007-01,112.24750381841973
2007-02,114.21854220594686
2007-03,117.86457959332469
2007-04,126.02374050108776
2007-05,130.3720971379225
2007-06,129.47888947442797
2007-07,132.12753122388136
2007-08,130.40448688383287
2007-09,140.17909085042774
2007-10,146.06878592206488
2007-11,142.26346233941854
2007-12,148.23121045700495
2008-01,142.1616089355009
2008-02,149.95429459270258
2008-03,141.09386041624984
2008-04,153.88277517705603
2008-05,161.2827003396229
2008-06,157.60254013019
2008-07,146.0776251953164
2008-08,145.1359294201013
2008-09,133.33590493692358
2008-10,109.53083610017522
2008-11,100.7798298043418
2008-12,104.8625453429913
2009-01,102.0417712632401
2009-02,109.64430854148443
2009-03,110.78201600040941
2009-04,115.41487056845192
2009-05,126.5930566900608
2009-06,128.33608606896834
2009-07,143.5815754892025
2009-08,140.8869706940042
2009-09,141.54592014781494
2009-10,143.96152330848014
2009-11,152.58104414768846
2009-12,161.40227902874267
2010-01,161.89558417805705
2010-02,165.36410670154055
2010-03,177.5242043103898
2010-04,164.66210838740992
2010-05,146.49618963676417
2010-06,144.58038995621516
2010-07,143.1002383269046
2010-08,146.7726484374173
2010-09,161.07712379533453
2010-10,160.43918179448488
2010-11,157.5749398656497
2010-12,168.54853881887914
2011-01,163.8081554339866
2011-02,159.84633179043078
2011-03,164.28857872951255
2011-04,159.40451453551225
