Date,GHANA
2008-11,990.323244801318
2008-12,944.804557061481
2009-01,897.2206677858607
2009-02,863.5547576301614
2009-03,798.4429008789224
2009-04,757.9580704116134
2009-05,583.4761858761514
2009-06,581.0291919852597
2009-07,580.6409332535621
2009-08,664.6033573650949
2009-09,694.7660862135756
2009-10,682.8301610661626
2009-11,705.3825487937129
2009-12,693.4309290425232
2010-01,701.4115445358783
2010-02,746.2048874507809
2010-03,843.2707817059933
2010-04,948.8152867741146
2010-05,941.8396236024655
2010-06,953.4978080941086
2010-07,916.7610903797367
2010-08,948.0806047234473
2010-09,982.1206175437077
2010-10,951.2869020438013
2010-11,944.6077117705383
2010-12,923.092366070292
2011-01,944.9597643671516
2011-02,1000.901651703377
2011-03,1042.4914471530897
2011-04,1173.4247657617523
2011-05,1290.9936747977958
2011-06,1285.209577847495
2011-07,1216.62120069111
2011-08,1133.4147435262169
2011-09,1063.3785955349858
2011-10,934.3487397064893
2011-11,909.7455880965907
2011-12,901.4718572430569
2012-01,887.5722857149941
2012-02,927.1039968081226
2012-03,908.1070527352373
2012-04,904.1878397869897
2012-05,839.2805531808672
2012-06,784.7337469077069
2012-07,887.3536755424165
2012-08,954.4574547267383
2012-09,1013.0084556112586
2012-10,1127.5667269845815
2012-11,1117.33552816211
2012-12,1154.3034878655828
2013-01,1195.9520422064847
2013-02,1580.9860538935839
2013-03,1768.1614156192609
2013-04,1826.4603657065356
2013-05,1770.9153604849039
2013-06,1734.0212904748014
2013-07,1736.0904091851437
2013-08,1701.306967520871
2013-09,1711.6631510632903
2013-10,1854.179536668358
2013-11,1852.390387967658
2013-12,1786.3589766156463
2014-01,1919.909191742448
2014-02,2022.5419106410855
2014-03,1865.6172670231242
2014-04,1697.7752342098975
2014-05,1642.0428243032409
2014-06,1500.6698969879133
2014-07,1371.315834201971
2014-08,1093.3530653097291
2014-09,1250.665505099249
2014-10,1270.4763436820429
2014-11,1318.3397632436865
2014-12,1298.5745227243624
2015-01,1189.7696264108567
2015-02,1163.5115852157705
2015-03,1096.9509600083582
2015-04,1145.3188858798078
2015-05,1118.0577948708224
2015-06,1014.5779531348888
2015-07,1055.955208445128
2015-08,969.5963671626134
2015-09,911.5058281989539
2015-10,917.6650408353496
2015-11,912.1529625078801
2015-12,975.0028171037648
2016-01,910.4295487083435
2016-02,935.1094619814652
2016-03,970.3635572183924
2016-04,820.5839434591852
2016-05,834.3724864857271
2016-06,831.2527501292407
2016-07,870.0637628323125
2016-08,890.5774179889215
2016-09,784.2337110908376
2016-10,866.2405071262069
2016-11,703.2376915423432
2016-12,712.4009112512633
2017-01,699.8480167060459
2017-02,656.5196602006314
2017-03,713.4433301602227
2017-04,737.733584
2017-05,730.498263
2017-06,734.388297
2017-07,992.96618
2017-08,1106.400133
2017-09,1226.009263
2017-10,1203.350889
2017-11,1077.8909185874331
