Date,IRELAND
1987-12,100.0
1988-01,111.79902927
1988-02,110.24189752000001
1988-03,119.91199041
1988-04,120.55978802
1988-05,133.30290353
1988-06,133.79362229999998
1988-07,132.0296431
1988-08,121.88308371000001
1988-09,123.4171446
1988-10,131.98912578
1988-11,123.32356902000001
1988-12,125.08881796
1989-01,129.63823492
1989-02,137.15140488
1989-03,133.65716432
1989-04,143.48604939
1989-05,133.49244407
1989-06,128.30574352
1989-07,148.92157642
1989-08,149.76981978
1989-09,156.00992239
1989-10,150.95358875
1989-11,160.57980497
1989-12,176.59748072
1990-01,191.47393919
1990-02,185.64614844
1990-03,183.34118529999998
1990-04,172.73848383
1990-05,183.25613717000002
1990-06,186.26284849
1990-07,185.85427384
1990-08,153.01214596
1990-09,141.93103033
1990-10,162.89081966
1990-11,148.16142528
1990-12,147.05172152
1991-01,143.91859771
1991-02,169.99816629999998
1991-03,159.20947673
1991-04,153.88019208
1991-05,152.61267503
1991-06,140.89349723
1991-07,157.16254899999998
1991-08,156.72380745
1991-09,162.46900175
1991-10,158.32575119
1991-11,151.59472877
1991-12,164.95657383
1992-01,167.23899798
1992-02,160.40941153
1992-03,154.06122401
1992-04,160.99726444
1992-05,155.66659318
1992-06,154.88425243
1992-07,152.9494431
1992-08,152.92403326000002
1992-09,139.65639647
1992-10,125.88101919
1992-11,130.05136995
1992-12,129.96299344
1993-01,137.42154502
1993-02,134.16578963
1993-03,158.88541344
1993-04,163.5252165
1993-05,164.565452
1993-06,164.780095
1993-07,160.68934000000002
1993-08,170.80010099999998
1993-09,168.501512
1993-10,174.00752809446539
1993-11,176.35222598879832
1993-12,185.07260833212408
1994-01,208.00540960440253
1994-02,192.92854222682323
1994-03,186.03453933377364
1994-04,195.66292885540264
1994-05,186.149564367097
1994-06,186.29890918903791
1994-07,201.41187222667392
1994-08,217.11699523839619
1994-09,210.49924651733076
1994-10,215.27403686653298
1994-11,204.63938751807459
1994-12,211.89987104402508
1995-01,213.89464685957117
1995-02,221.506093125746
1995-03,224.63300825658436
1995-04,229.8253613604733
1995-05,232.1744039330181
1995-06,242.65745240120893
1995-07,250.43618735792586
1995-08,250.4044709181068
1995-09,256.85056366199893
1995-10,252.0077720309335
