Date,PORTUGAL
1987-12,100.0
1988-01,105.818
1988-02,90.1697
1988-03,95.138565
1988-04,87.95211009
1988-05,82.46720661
1988-06,77.04323456
1988-07,73.36056754
1988-08,70.36396359
1988-09,67.97341026000001
1988-10,73.98926702
1988-11,77.35080136
1988-12,71.34701045
1989-01,69.94706892
1989-02,73.87563992
1989-03,72.47880198
1989-04,73.86328092000001
1989-05,68.60977837
1989-06,68.07933212
1989-07,72.45634411
1989-08,79.05479632000001
1989-09,101.51577594
1989-10,98.95308382
1989-11,101.48819725
1989-12,100.83775225000001
1990-01,95.67440441000001
1990-02,93.52040896
1990-03,90.22098259
1990-04,94.53067121000001
1990-05,94.58974465
1990-06,96.69210727000001
1990-07,97.48087749999999
1990-08,88.67226301000001
1990-09,76.79118716
1990-10,77.64751529
1990-11,70.32041027
1990-12,70.0325916
1991-01,73.0856404
1991-02,85.14239304
1991-03,76.18325247
1991-04,73.07738744
1991-05,69.65515875
1991-06,65.14031829
1991-07,68.35517063
1991-08,68.21719707
1991-09,68.12312175
1991-10,63.84240752
1991-11,60.81903225
1991-12,66.22396789999999
1992-01,61.28319443
1992-02,61.28675456
1992-03,64.44538899999999
1992-04,66.60307856
1992-05,68.81173999
1992-06,70.83559325
1992-07,70.65288856000001
1992-08,71.40888222
1992-09,67.10463869
1992-10,57.92026493
1992-11,55.78436245
1992-12,55.26865672
1993-01,58.88583345
1993-02,62.17657701
1993-03,62.591970610000004
1993-04,61.27229369
1993-05,67.82005345
1993-06,64.47452708
1993-07,62.85031704
1993-08,76.49061703
1993-09,71.86992002
1993-10,75.99740708
1993-11,73.27754356
1993-12,73.66919603
1994-01,83.20310403
1994-02,84.84587879
1994-03,86.3882378
1994-04,82.28060953
1994-05,74.49628003000001
1994-06,70.86199779
1994-07,75.43189112
1994-08,80.9737111
1994-09,80.73919571
1994-10,84.0611839
1994-11,82.70167198
1994-12,81.92496422
1995-01,74.82303703
1995-02,80.13021134
1995-03,85.58851499000001
1995-04,85.30285105
1995-05,85.54139988
1995-06,85.35087622
1995-07,86.46171489999999
1995-08,79.50655135
1995-09,82.87556243
1995-10,82.65520911
1995-11,79.42437647
1995-12,81.98944877
1996-01,89.25134954
1996-02,92.23659342
1996-03,93.60677524
1996-04,90.70479851
1996-05,95.33517793
1996-06,100.31996634000001
1996-07,101.61426765
1996-08,105.39405586000001
1996-09,102.71321379999999
1996-10,104.69333827
1996-11,106.37681366
1996-12,111.25555354000001
