Date,TAIWAN
2000-12,100.0
2001-01,129.24224414894
2001-02,119.8745397831337
2001-03,118.02854456019627
2001-04,109.69539831300696
2001-05,102.13286325542474
2001-06,98.94486401317248
2001-07,88.52609999873016
2001-08,91.7650976595777
2001-09,71.86692521865115
2001-10,79.47288913586426
2001-11,90.36524267635569
2001-12,110.04516554845148
2002-01,115.18472763693538
2002-02,109.71450997121582
2002-03,119.55291436938937
2002-04,116.94752521584132
2002-05,112.30637574644996
2002-06,102.82300264481061
2002-07,96.37640799238893
2002-08,91.65640482026272
2002-09,77.79579664984668
2002-10,86.37284430273141
2002-11,88.19331876392576
2002-12,82.8803054061677
2003-01,92.94434847521362
2003-02,81.74889671126262
2003-03,80.54503636497014
2003-04,78.31076808801579
2003-05,86.48760880872328
2003-06,92.95991513367944
2003-07,104.26959518551453
2003-08,113.45397483026899
2003-09,114.13573912870132
2003-10,121.96932692748994
2003-11,114.83235615414726
2003-12,117.61625162940943
2004-01,127.9168917542092
2004-02,132.96672731345805
2004-03,129.56111369604025
2004-04,120.86260496561592
2004-05,117.61407582060934
2004-06,114.25488060630539
2004-07,105.33304553039359
2004-08,113.01019969486717
2004-09,113.13141851207574
2004-10,112.82929421978572
2004-11,120.03443827376302
2004-12,128.1950166497067
2005-01,124.28516190111188
2005-02,131.659851130721
2005-03,123.85403377132496
2005-04,122.1966153188965
2005-05,127.18265184614721
2005-06,130.87886075186645
2005-07,132.60615733321632
2005-08,124.42901217294241
2005-09,125.47500103238502
2005-10,116.79085808878011
2005-11,127.25710609298017
2005-12,136.37592858106916
2006-01,140.55645599493505
2006-02,139.7774602323032
2006-03,139.94942363308857
2006-04,153.9804753056323
2006-05,143.67646345093738
2006-06,140.98862225204192
2006-07,134.58394859574668
2006-08,139.0948803200223
2006-09,144.86825592011135
2006-10,146.0882248818297
2006-11,161.37440084065463
2006-12,163.60792455474441
2007-01,159.1204100658134
2007-02,161.9283900599367
2007-03,158.36091880757786
2007-04,158.0035368237585
2007-05,164.1983872352925
2007-06,180.5491595834267
2007-07,186.380069110141
2007-08,181.1257855588749
2007-09,192.0108466919408
2007-10,202.41361477413912
2007-11,179.702583511393
2007-12,177.3132873573028
2008-01,158.6779483534657
2008-02,182.21682335860817
2008-03,186.68476963469246
2008-04,194.53935126003364
2008-05,188.28260483955643
2008-06,166.92966214909984
2008-07,155.6601002733038
2008-08,153.82663233091856
2008-09,124.67571317828948
2008-10,101.39824817932613
2008-11,90.44384370956698
2008-12,94.94790535720435
2009-01,85.41711112515063
2009-02,88.8029705038937
2009-03,102.83330808780694
2009-04,120.72986759924625
2009-05,139.14214752345592
2009-06,128.55179279425738
2009-07,143.7481198576757
2009-08,139.6700993512547
2009-09,157.42724175639538
2009-10,150.9409227004095
2009-11,156.7811820132327
2009-12,170.15977184074583
2010-01,159.12991300227617
2010-02,153.2916833887931
2010-03,163.64245061590725
2010-04,167.80716080098574
2010-05,151.3332892347246
2010-06,148.41256397993487
2010-07,161.8117929198785
2010-08,159.47541923712004
2010-09,176.6429416226235
2010-10,181.47716180164267
2010-11,184.33599498797673
2010-12,207.3155299178463
2011-01,213.9479357754634
2011-02,195.1703518294855
2011-03,198.50645107209823
2011-04,211.68411377968192
2011-05,210.74302028497112
2011-06,201.6403735937812
2011-07,202.73360658130645
2011-08,184.0120931538449
2011-09,164.6264148072693
2011-10,175.8986260642878
2011-11,159.26215806800602
2011-12,163.99987788911022
2012-01,178.75137118754049
2012-02,192.0378668722911
2012-03,187.74968106784624
2012-04,179.90781358735035
2012-05,170.8681849682054
2012-06,169.96731400631208
2012-07,171.24369776367584
2012-08,175.81291058089576
2012-09,188.45528282633074
2012-10,176.936469504179
2012-11,189.65088261530994
2012-12,191.36075675940484
2013-01,191.81901647524174
2013-02,192.57606291308906
2013-03,190.96348241548085
2013-04,198.67061365367232
2013-05,198.51254587095127
2013-06,194.00414797857366
2013-07,195.65197015316255
2013-08,194.7272570165837
2013-09,200.04559768890945
2013-10,208.92804554076292
2013-11,205.74665360911123
2013-12,208.69254254104968
2014-01,201.81705301462017
