Date,SWITZERLAND
1969-12,100.0
1970-01,97.454
1970-02,95.793
1970-03,95.713
1970-04,86.602
1970-05,84.378
1970-06,84.823
1970-07,88.062
1970-08,91.919
1970-09,87.967
1970-10,86.844
1970-11,83.34
1970-12,86.183
1971-01,93.898
1971-02,94.412
1971-03,99.366
1971-04,102.188
1971-05,98.308
1971-06,102.935
1971-07,105.21
1971-08,106.35
1971-09,102.585
1971-10,94.927
1971-11,104.837
1971-12,109.071
1972-01,118.236
1972-02,124.206
1972-03,127.483
1972-04,127.076
1972-05,136.483
1972-06,126.592
1972-07,135.286
1972-08,139.642
1972-09,138.861
1972-10,137.428
1972-11,132.867
1972-12,139.408
1973-01,145.334
1973-02,156.807
1973-03,154.631
1973-04,146.614
1973-05,161.386
1973-06,169.405
1973-07,157.531
1973-08,150.094
1973-09,157.94
1973-10,160.649
1973-11,137.178
1973-12,133.158
1974-01,137.134
1974-02,134.334
1974-03,140.762
1974-04,140.181
1974-05,121.836
1974-06,125.513
1974-07,130.075
1974-08,114.033
1974-09,103.625
1974-10,112.795
1974-11,114.779
1974-12,115.372
1975-01,143.605
1975-02,152.524
1975-03,148.941
1975-04,156.493
1975-05,154.538
1975-06,153.642
1975-07,145.325
1975-08,138.662
1975-09,128.12
1975-10,147.347
1975-11,154.528
1975-12,161.45
1976-01,167.646
1976-02,166.735
1976-03,167.392
1976-04,165.982
1976-05,167.385
1976-06,170.717
1976-07,170.701
1976-08,170.594
1976-09,169.457
1976-10,163.49
1976-11,165.041
1976-12,176.504
1977-01,174.491
1977-02,170.122
1977-03,171.784
1977-04,173.796
1977-05,168.339
1977-06,173.396
1977-07,177.291
1977-08,183.97
1977-09,195.589
1977-10,202.953
1977-11,209.991
1977-12,225.092
1978-01,237.646
1978-02,242.533
1978-03,240.12
1978-04,221.652
1978-05,229.26
1978-06,237.41
1978-07,251.127
1978-08,266.837
1978-09,273.414
1978-10,279.006
1978-11,247.477
1978-12,271.541
1979-01,288.751
1979-02,287.719
1979-03,290.295
1979-04,287.249
1979-05,275.284
1979-06,286.098
1979-07,288.342
1979-08,295.963
1979-09,320.835
1979-10,290.678
1979-11,298.478
1979-12,301.866
1980-01,302.949
1980-02,282.999
1980-03,238.121
1980-04,272.102
1980-05,273.861
1980-06,290.744
1980-07,291.612
1980-08,293.441
1980-09,292.383
1980-10,284.4
1980-11,279.466
1980-12,276.951
1981-01,247.107
1981-02,247.009
1981-03,252.525
1981-04,233.955
1981-05,220.022
1981-06,230.075
1981-07,219.57
1981-08,212.526
1981-09,212.69
1981-10,230.017
1981-11,251.051
1981-12,247.72
1982-01,237.163
1982-02,230.32
1982-03,228.383
1982-04,228.183
1982-05,219.981
1982-06,201.528
1982-07,202.255
1982-08,203.373
1982-09,201.594
1982-10,210.865
1982-11,227.065
1982-12,253.411
1983-01,257.317
1983-02,260.065
1983-03,258.744
1983-04,272.292
1983-05,260.524
1983-06,266.082
1983-07,271.486
1983-08,257.185
1983-09,266.553
1983-10,274.546
1983-11,284.927
1983-12,299.32
1984-01,288.756
1984-02,293.068
1984-03,296.496
1984-04,294.151
1984-05,279.525
1984-06,270.358
1984-07,253.314
1984-08,271.195
1984-09,262.975
1984-10,267.532
1984-11,263.493
1984-12,263.538
1985-01,272.38
1985-02,256.705
1985-03,279.17
1985-04,291.162
1985-05,300.908
1985-06,327.191
1985-07,370.098
1985-08,389.599
1985-09,388.924
1985-10,443.57
1985-11,492.21
