Date,TRINIDAD AND TOBAGO
2008-11,991.0372976417881
2008-12,973.1413400432774
2009-01,1008.3567603451344
2009-02,1006.3907881192904
2009-03,1001.0170632049964
2009-04,988.2188583700774
2009-05,971.5244330532366
2009-06,970.3513361913077
2009-07,963.31757363669
2009-08,967.7552017688666
2009-09,967.1093556478545
2009-10,951.2462822690318
2009-11,857.9874407368907
2009-12,875.1905043495783
2010-01,876.5606443199397
2010-02,878.6988578090492
2010-03,876.7414025530431
2010-04,877.7556544313405
2010-05,885.9080725815104
2010-06,884.499979442541
2010-07,882.9357081762565
2010-08,841.1205394484699
2010-09,825.6434632106543
2010-10,791.915795843883
2010-11,802.2230030395434
2010-12,809.2966136211937
2011-01,887.4509653758823
2011-02,900.969299707971
2011-03,886.857333890944
2011-04,901.7991268645916
2011-05,970.1508904035425
2011-06,1018.4385613734058
2011-07,1019.019456335204
2011-08,978.8218703033042
2011-09,983.710728863919
2011-10,1017.071732867198
2011-11,1046.008936668528
2011-12,1053.1292427394346
2012-01,988.5639770885958
2012-02,1014.1002621852044
2012-03,1033.9232549279259
2012-04,1048.0995238235598
2012-05,1056.620337483771
2012-06,1061.0920222894654
2012-07,1066.3790980276146
2012-08,1106.9282923630506
2012-09,1127.151478734492
2012-10,1154.1683123516068
2012-11,1107.9107153843572
2012-12,1148.763749334241
2013-01,1225.8052400134045
2013-02,1327.9821384470963
2013-03,1316.0836218186066
2013-04,1314.946171503271
2013-05,1331.490727740573
2013-06,1333.672014854664
2013-07,1333.1039510407675
2013-08,1292.901126522195
2013-09,1294.4545056308675
2013-10,1326.324458287512
2013-11,1376.9664171713239
2013-12,1390.6152714612836
2014-01,1461.8173209821555
2014-02,1485.9511692195797
2014-03,1501.409353389131
2014-04,1487.3487576853731
2014-05,1524.5701824693733
2014-06,1499.463133255868
2014-07,1544.6925247877925
2014-08,1539.1730219693197
2014-09,1540.572343120821
2014-10,1538.400385599748
2014-11,1557.6626984187935
2014-12,1555.1688615282812
2015-01,1543.254621383043
2015-02,1530.0201912863126
2015-03,1518.8276004008305
2015-04,1500.4721904815744
2015-05,1517.3229064496693
2015-06,1515.1464217238868
2015-07,1518.1304577930441
2015-08,1487.870380544512
2015-09,1501.6284955491053
2015-10,1503.3478269756254
2015-11,1486.5617928335535
2015-12,1500.1343544528886
2016-01,1483.9824731089802
2016-02,1467.3219479220554
2016-03,1409.2292793539937
2016-04,1370.5349678475059
2016-05,1294.4752698876591
2016-06,1403.89196500347
2016-07,1473.0689115962123
2016-08,1485.4197405685393
2016-09,1480.377581912795
2016-10,1400.7720794417157
2016-11,1431.0783703809063
2016-12,1394.2627415006816
2017-01,1379.0492073492667
2017-02,1408.6039076033119
2017-03,1375.8179739233217
2017-04,1416.009526
2017-05,1364.000009
2017-06,1437.997084
2017-07,1563.617098
2017-08,1509.117351
2017-09,1538.631166
2017-10,1573.834547
2017-11,1660.636548
2017-12,1769.979236
2018-01,1795.462497
2018-02,1815.890468
2018-03,1871.562568
2018-04,1919.7043965717417
2018-05,2008.5255071699999
2018-06,2055.752988968018
2018-07,2051.6504866766745
2018-08,2068.349783071617
2018-09,2028.7159497362165
2018-10,2063.6854366295656
2018-11,2032.6009488707718
2018-12,2025.0586643418267
2019-01,2037.4455211529225
2019-02,2098.7679851921553
2019-03,2116.8282483207454
2019-04,2119.909790513394
2019-05,2034.6373284597155
2019-06,2048.858078446225
2019-07,2028.9289094277722
2019-08,1828.019690366452
2019-09,1826.481668678668
2019-10,1879.7049082402593
2019-11,1532.8905675731385
2019-12,1745.8190658523463
2020-01,1526.3282088563185
2020-02,1512.2635977673901
2020-03,1453.0766658928949
2020-04,1249.2104273574325
2020-05,1197.6630051190962
2020-06,1296.3237781114765
2020-07,1263.879711039079
2020-08,1223.9965935740481
2020-09,1170.6746280911939
2020-10,1104.8461202362223
2020-11,1110.325919904853
2020-12,1258.4365753615762
2021-01,1134.2534309088817
2021-02,1122.6683471579918
2021-03,1101.1756544364157
2021-04,983.7536420167972
2021-05,1381.678914654216
2021-06,1299.0903566211157
2021-07,1296.3386305609297
2021-08,1325.8730481312043
2021-09,1269.7551028090895
2021-10,1378.842401875359
2021-11,1396.4283611501794
2021-12,1476.573578677136
2022-01,1439.498440566192
2022-02,1490.2805376046879
2022-03,1415.8818373536546
2022-04,1455.8057545261631
2022-05,1463.4292863707497
2022-06,1441.2540766919608
2022-07,1479.7258691881148
2022-08,1493.5115399247181
2022-09,1457.4149967918663
2022-10,1474.3013896837374
2022-11,1443.7291436200599
2022-12,1561.036107936361
2023-01,1456.9366944568383
2023-02,1437.6791128503796
2023-03,1393.6350747181496
2023-04,1407.4947912064595
2023-05,1492.6450124622093
2023-06,1436.7994015380912
2023-07,1448.5934716438849
