Date,NIGERIA SMALL CAP
2010-11,1000.0
2010-12,955.7030553373223
2011-01,1009.0911650657221
2011-02,963.9730359588141
2011-03,847.8926158780835
2011-04,874.2237783531583
2011-05,911.1857920315172
2011-06,877.604666531698
2011-07,803.7836659609945
2011-08,698.7691384606014
2011-09,630.8804721906788
2011-10,596.4724146508141
2011-11,564.2981179849708
2011-12,556.1646506989802
2012-01,535.0930542391153
2012-02,571.5013396008005
2012-03,561.545871735373
2012-04,600.8267367884267
2012-05,629.843209110259
2012-06,554.102560698351
2012-07,589.3397324209918
2012-08,593.4176309581358
2012-09,670.9724982814802
2012-10,721.1444580566962
2012-11,734.2449872982047
2012-12,754.2617785654122
2013-01,908.024657837748
2013-02,943.616931492513
2013-03,996.6553094274938
2013-04,922.2940544572348
2013-05,1095.109274995368
2013-06,1027.2302351828732
2013-07,1047.5202631741142
2013-08,944.6736290608521
2013-09,931.0969519735336
2013-10,998.9500836750259
2013-11,1072.2336784176487
2013-12,1207.4217185168493
2014-01,1144.0332655526327
2014-02,1083.70683192441
2014-03,989.4448383346
2014-04,995.0554383536615
2014-05,1104.3563948274377
2014-06,1204.0435675404158
2014-07,1230.0689317066071
2014-08,1244.9963717985113
2014-09,1253.3970259471641
2014-10,1087.031697627556
2014-11,940.447707067398
2014-12,830.0334126396639
2015-01,774.6936427448588
2015-02,723.1395934232443
2015-03,810.6663167208051
2015-04,863.5215866583025
2015-05,885.839030402715
2015-06,828.2678835646519
2015-07,751.879391856499
2015-08,705.506308379448
2015-09,691.447736973802
2015-10,622.4724769476433
2015-11,616.4801655109061
2015-12,579.0497222820179
2016-01,513.8408664345613
2016-02,470.6829350893934
2016-03,465.14949314576705
2016-04,461.26829781539163
2016-05,563.3581424633812
2016-06,405.3207698657513
2016-07,319.8305957714395
2016-08,307.4882978790496
2016-09,323.00674895558495
2016-10,316.0756567012985
2016-11,296.9656072805419
2016-12,317.22768795545716
2017-01,313.34001583179213
2017-02,292.788178047871
2017-03,297.5460223992585
2017-04,314.9326022941039
2017-05,332.6443945491601
2017-06,371.84800702487547
2017-07,373.4917623960057
2017-08,310.67087641324935
2017-09,303.810497339818
2017-10,336.31688988791717
2017-11,352.876437980516
2017-12,368.5152452894401
2018-01,445.4330516611293
2018-02,416.9781554750065
2018-03,424.491365674183
2018-04,428.0678648724071
2018-05,381.93520787795893
2018-06,390.804589540226
2018-07,356.53800402794934
2018-08,330.13124485065515
2018-09,310.31820964808634
2018-10,308.3903187283207
2018-11,291.7062017363242
2018-12,302.2212561787582
2019-01,287.75642758023093
2019-02,293.8341600483979
2019-03,283.7818925261798
2019-04,252.4330680889108
2019-05,236.76268584332072
2019-06,234.4282324680525
2019-07,228.30849993388557
2019-08,219.41470506050106
2019-09,243.03330557353058
2019-10,220.73240261846806
2019-11,248.62893476677263
2019-12,250.9492733967239
2020-01,260.55287129310796
2020-02,219.5147175871775
2020-03,169.74364564752472
2020-04,192.98505545311264
2020-05,211.30351305568573
2020-06,194.9341935378715
2020-07,176.9689065814984
2020-08,179.67858634313933
2020-09,195.73435562081733
2020-10,238.1867422322956
2020-11,258.8378594986625
2020-12,242.82112119086753
2021-01,275.75602853431985
2021-02,235.57813753788633
2021-03,240.40990575488078
2021-04,234.77125960282575
2021-05,234.43751571417454
2021-06,249.83232361549045
2021-07,259.6453129184666
2021-08,258.2026395235578
2021-09,269.73039615825894
2021-10,316.7879843754608
2021-11,322.6415668228213
2021-12,316.51789421779296
2022-01,344.04827602204546
2022-02,356.0646035284343
2022-03,354.3878143641538
2022-04,397.0809626277504
2022-05,393.9908631379035
2022-06,386.6166424400939
2022-07,371.00881578766354
2022-08,371.8403484450013
2022-09,367.82434054558564
2022-10,348.44545692340677
2022-11,338.48505029454026
2022-12,321.47199483673467
2023-01,340.10279499248037
2023-02,360.91025775899436
2023-03,336.4040203933434
2023-04,341.15379416104315
2023-05,428.1622773756617
2023-06,307.0439705501484
2023-07,319.4432373767792
