Date,THAILAND SMALL CAP
1998-12,519.3487368216762
1999-01,523.0153759061054
1999-02,504.3564937026528
1999-03,498.54611217209674
1999-04,725.6943301770901
1999-05,764.9500725163217
1999-06,977.9386136329292
1999-07,840.0132895379329
1999-08,767.8047370117864
1999-09,624.222834371481
1999-10,691.2968911633262
1999-11,745.5879372655494
1999-12,825.0522346887983
2000-01,818.1408232175952
2000-02,632.7988351854215
2000-03,701.5716457588073
2000-04,726.533732345421
2000-05,579.3531930564214
2000-06,552.560709820599
2000-07,478.8185069111172
2000-08,550.9995034939633
2000-09,509.0710014439082
2000-10,489.0244363369137
2000-11,488.12474651698915
2000-12,439.0948748539406
2001-01,554.3277363527014
2001-02,567.0830838456932
2001-03,489.7812169026945
2001-04,495.8296500180726
2001-05,546.1042232974523
2001-06,571.184320234368
2001-07,505.51084396893305
2001-08,569.4747374062554
2001-09,451.8366932553929
2001-10,466.75540552963383
2001-11,524.4944507581487
2001-12,540.5286310275206
2002-01,643.6748443910512
2002-02,702.7557939764963
2002-03,711.8618509003664
2002-04,691.327656630946
2002-05,759.8874090237754
2002-06,666.5634515405667
2002-07,664.9710168099381
2002-08,651.5522593570425
2002-09,577.9555169611181
2002-10,610.6346724960067
2002-11,613.8824789105661
2002-12,556.8034510679443
2003-01,563.6042487258472
2003-02,547.8970968342328
2003-03,535.2532890783691
2003-04,555.9772802335369
2003-05,579.5977869305979
2003-06,674.3006113404615
2003-07,733.7448809493812
2003-08,816.2096871493193
2003-09,849.4985804877382
2003-10,939.461132072284
2003-11,916.8336356928945
2003-12,963.9712072690442
2004-01,917.1505408325983
2004-02,942.359783029257
2004-03,849.9691766093049
2004-04,841.3317409449166
2004-05,773.094567654477
2004-06,761.5389728544726
2004-07,724.4739264446993
2004-08,695.3005325337047
2004-09,695.0770803495789
2004-10,657.8247490776334
2004-11,705.4750868338762
2004-12,711.807227412934
2005-01,819.5480264960328
2005-02,824.5845316728878
2005-03,779.8750603750124
2005-04,749.4473122757435
2005-05,809.7691128411523
2005-06,805.4005645977513
2005-07,772.9638661781369
2005-08,784.6908446041949
2005-09,846.3106753146275
2005-10,814.7912279968969
2005-11,787.2406369885485
2005-12,852.5761670721666
2006-01,902.2133013271379
2006-02,898.526592605502
2006-03,901.7428909234956
2006-04,943.7787468300037
2006-05,842.0665235122437
2006-06,801.4920787159646
2006-07,816.7835029416168
2006-08,828.1215630644368
2006-09,839.4449298303718
2006-10,909.8586621447932
2006-11,940.9424517862487
2006-12,870.0185996713471
2007-01,849.022988783013
2007-02,902.7958133817872
2007-03,864.8031483490379
2007-04,905.1583977678433
2007-05,1000.0
2007-06,1073.719554249711
2007-07,1159.2452785289076
2007-08,1067.3116187977532
2007-09,1068.7368994090896
2007-10,1083.4229284643352
2007-11,987.3742975541161
2007-12,996.9046097033272
2008-01,915.1274156212082
2008-02,1005.6332842074195
2008-03,943.513551777014
2008-04,982.876171841461
2008-05,956.2499730418994
2008-06,815.4941917491549
2008-07,754.6173037329372
2008-08,783.3288996167163
2008-09,714.2878869190097
2008-10,472.3557367014651
2008-11,426.2966519585811
2008-12,463.9850320119092
2009-01,491.54276694411396
2009-02,467.11581577987835
2009-03,454.82609432179083
2009-04,556.1071607484236
2009-05,645.5492085309096
2009-06,682.2003325761168
2009-07,716.8320353664058
2009-08,794.8259446928845
2009-09,894.0481133986257
2009-10,893.9239963534262
2009-11,878.3430400004166
2009-12,968.7544052158619
2010-01,955.4439504401964
2010-02,1005.4601918151079
2010-03,1129.2085041411292
2010-04,1104.5842883087025
2010-05,1192.3690754703803
2010-06,1335.008294348694
2010-07,1388.3745318456645
2010-08,1674.2199271812758
2010-09,1675.2963296137075
2010-10,1654.3828875968304
2010-11,1729.60510576352
2010-12,1729.4766272365014
2011-01,1496.2295094501662
2011-02,1500.84652254331
2011-03,1584.1331299301235
2011-04,1626.8661435552017
2011-05,1623.2317161772012
2011-06,1511.6574609064676
2011-07,1743.0492747494893
2011-08,1663.5955002571486
2011-09,1457.9140510109826
2011-10,1416.423105130165
2011-11,1551.491721466748
2011-12,1665.3518863598554
2012-01,1782.911247096133
2012-02,1891.2527820742107
2012-03,1982.9750523585778
2012-04,2075.6210883778276
2012-05,1984.4744081204315
2012-06,1994.5510327775821
2012-07,2171.408769258051
2012-08,2187.3058217552
2012-09,2353.2962863633043
2012-10,2392.1623230181767
2012-11,2441.7436635874774
2012-12,2523.406700497853
2013-01,2820.1540682821465
2013-02,3266.5238416174157
2013-03,3488.8239658553975
2013-04,3425.6605077160893
2013-05,3242.7690276877365
2013-06,2652.3957495228306
2013-07,2480.0978088997
2013-08,2185.2428811394343
2013-09,2429.5810385308873
2013-10,2535.317668065489
2013-11,2333.4309617026333
2013-12,2114.1371870215676
2014-01,2088.917336749183
2014-02,2207.2721642445204
2014-03,2360.566356325425
2014-04,2444.993402148582
2014-05,2508.4926934696687
2014-06,2661.5174858327264
2014-07,2830.8832554434653
2014-08,3035.236834290849
2014-09,3189.4234720464906
2014-10,3181.7765201426
2014-11,3152.015563628714
2014-12,3031.812081813842
2015-01,3519.984512846134
2015-02,3695.528272352866
2015-03,3555.424978543343
2015-04,3435.9647512801535
2015-05,3353.2500105525583
2015-06,3292.1423333829434
2015-07,2946.7292894999146
2015-08,2793.782600735903
2015-09,2786.835545854478
2015-10,2982.047920943677
2015-11,3074.6213260618065
2015-12,2898.066529733814
2016-01,2848.0679916919244
2016-02,2908.9102597647643
2016-03,2943.611022389572
2016-04,3009.9894322017467
2016-05,3060.1294106649134
2016-06,3269.7522979646697
2016-07,3470.091772555481
2016-08,3544.491413969314
2016-09,3322.9838266954025
2016-10,3546.7529999078633
2016-11,3711.9209802438054
2016-12,3814.7127261282894
2017-01,3862.533603774514
2017-02,3900.3927173900297
2017-03,3880.9418070126108
2017-04,3765.8471733991614
2017-05,3712.9404245005985
2017-06,3674.2392096116528
2017-07,3504.539194004534
2017-08,3591.150612114932
2017-09,3824.4244803279184
2017-10,4127.995588088346
2017-11,4021.5959386911995
2017-12,4021.210738489533
2018-01,4100.304529668528
2018-02,4030.547543577628
2018-03,3869.813178856032
2018-04,3935.1641817280088
2018-05,3917.245914036569
2018-06,3326.1990691057117
2018-07,3561.835100537698
2018-08,3800.6769512159835
2018-09,4043.926934816093
2018-10,3741.7881248206863
2018-11,3626.428324392529
2018-12,3299.1830635622023
2019-01,3647.733461662983
2019-02,3730.513239504136
2019-03,3693.895630378825
2019-04,3826.9412744275114
2019-05,3748.4765538944334
2019-06,4052.8140438852947
2019-07,4106.988064354526
2019-08,4000.5052178493174
2019-09,3917.86695175375
2019-10,3750.4374368251592
2019-11,3747.968566286332
2019-12,3679.00134898727
2020-01,3327.7215062074606
2020-02,2996.2590908455572
2020-03,2244.9012512430318
2020-04,2863.6015279000067
2020-05,3093.431630252567
2020-06,3244.714522047437
2020-07,3119.8817215410445
2020-08,3153.355422626488
2020-09,3011.890483881815
2020-10,3069.13735103521
2020-11,3459.2012767353303
2020-12,3517.042874445114
2021-01,3691.790133109765
2021-02,3919.8390043130275
2021-03,4187.802148581741
2021-04,4130.999138706874
2021-05,4162.641796563507
2021-06,4233.255489133376
2021-07,3984.177403320047
2021-08,4268.729122063626
2021-09,4086.7944300905615
2021-10,4257.88769855044
2021-11,4218.879391033257
2021-12,4413.013746806671
2022-01,4380.850794596615
2022-02,4422.439077518731
2022-03,4496.703847311383
2022-04,4676.940699534636
2022-05,4589.117303054993
2022-06,4242.06523944083
2022-07,4130.205601083074
2022-08,4414.170522527888
2022-09,4130.198846569756
2022-10,4083.8373739376657
2022-11,4349.63721755519
2022-12,4321.527202646322
2023-01,4521.271541758537
2023-02,4132.960570063454
2023-03,3999.67117078943
2023-04,3756.7457329064327
2023-05,3734.096527970599
2023-06,3441.9023686965893
2023-07,3574.708127685065
