Date,POLAND SMALL CAP
1998-12,234.61219994558664
1999-01,248.7364424163031
1999-02,230.82610150166087
1999-03,254.84613274747508
1999-04,269.7551172060923
1999-05,281.36446578229123
1999-06,304.8747436253379
1999-07,298.1609820214863
1999-08,304.4360180473613
1999-09,244.46480354146118
1999-10,249.3900846244569
1999-11,277.2041784236191
1999-12,334.3435292448372
2000-01,359.1012450393643
2000-02,403.4681875190048
2000-03,419.8813673501967
2000-04,365.52638029586797
2000-05,366.393680653006
2000-06,375.22778301269557
2000-07,371.1903098630629
2000-08,369.78451626436475
2000-09,332.83323050376623
2000-10,317.3667122220069
2000-11,323.08748862300206
2000-12,348.39866817903874
2001-01,350.03224211078447
2001-02,313.72483297989965
2001-03,308.0210091543594
2001-04,341.1761962142145
2001-05,348.5369544180458
2001-06,315.70788813721964
2001-07,271.86705175869315
2001-08,260.23464717784145
2001-09,242.89302120507747
2001-10,287.4203753778452
2001-11,292.88734188093736
2001-12,242.85664720817482
2002-01,278.02817359409954
2002-02,255.32018069114284
2002-03,251.96219495251916
2002-04,236.84679628657886
2002-05,223.2490713675497
2002-06,190.36202102850592
2002-07,157.64178906120455
2002-08,164.64226308134596
2002-09,151.74134467344714
2002-10,170.48893469355932
2002-11,184.23400836111773
2002-12,183.30695532123823
2003-01,177.5673819478076
2003-02,173.2817735558905
2003-03,163.41672840929945
2003-04,179.49226646468355
2003-05,186.2001380047132
2003-06,190.39614202361292
2003-07,221.15708769225057
2003-08,277.7326544768492
2003-09,232.35275399426845
2003-10,238.4142274409917
2003-11,223.9594339396631
2003-12,244.25367808214563
2004-01,237.18762600019073
2004-02,247.04143384568613
2004-03,262.69413561180903
2004-04,266.595606687345
2004-05,267.6343172242134
2004-06,277.74613113492524
2004-07,284.5388105777395
2004-08,285.4315809197152
2004-09,294.84137038018554
2004-10,277.41228698035496
2004-11,288.1961003016763
2004-12,305.4861734797966
2005-01,301.92215540994357
2005-02,321.71399667800557
2005-03,292.28122417695994
2005-04,262.2984472271061
2005-05,275.69662867270495
2005-06,290.0479258185615
2005-07,306.3030283716946
2005-08,318.1335195477275
2005-09,331.32854884390855
2005-10,326.2571926642476
2005-11,351.4546566043377
2005-12,386.4663401084024
2006-01,439.88761597503634
2006-02,468.3299004701513
2006-03,471.1121841749624
2006-04,500.8088358007682
2006-05,445.01854402932213
2006-06,430.83508522966974
2006-07,517.0013905892796
2006-08,503.55249883253816
2006-09,540.3895966667368
2006-10,620.0362431452336
2006-11,679.0661479816656
2006-12,660.0124091723842
2007-01,724.2501075361674
2007-02,736.4769191158903
2007-03,830.3788487977627
2007-04,939.167863672296
2007-05,1000.0
2007-06,1056.172720467805
2007-07,938.3473222555175
2007-08,872.817230490103
2007-09,867.7883552857501
2007-10,906.9445728239695
2007-11,781.9120589801382
2007-12,799.2593109796242
2008-01,694.0033543493988
2008-02,715.9271463190181
