Date,BRAZIL SMALL CAP
1998-12,94.03843021167101
1999-01,60.57874545592427
1999-02,64.24417407860912
1999-03,90.00388451158538
1999-04,96.0785854350554
1999-05,99.91621587791185
1999-06,108.16575770419496
1999-07,102.96750202095168
1999-08,96.22484200379998
1999-09,103.60223887394935
1999-10,113.48674869052131
1999-11,140.3111589432005
1999-12,177.77701611743126
2000-01,192.17881244846174
2000-02,199.11763927954573
2000-03,207.36980146293897
2000-04,199.1155496701442
2000-05,186.0669559817476
2000-06,202.2306734379151
2000-07,233.52730152334522
2000-08,253.40289114367314
2000-09,249.45477620313338
2000-10,239.8995954184056
2000-11,214.55417896490107
2000-12,214.07804031327203
2001-01,241.6091833145875
2001-02,230.38013684481
2001-03,218.15440844478795
2001-04,209.8142120925736
2001-05,194.25810658343784
2001-06,203.74227622244084
2001-07,178.97803605759813
2001-08,158.28980558270536
2001-09,129.42156343854677
2001-10,141.21322719745268
2001-11,163.44310109096656
2001-12,187.93586515782093
2002-01,186.06336807388163
2002-02,197.9153734329607
2002-03,197.36597030741507
2002-04,187.29706174443305
2002-05,166.58904450965602
2002-06,129.0527287395698
2002-07,99.39614265618255
2002-08,118.42979626042991
2002-09,84.65693426870558
2002-10,98.73130072852555
2002-11,101.56967499526388
2002-12,107.54310244319697
2003-01,103.54531266079636
2003-02,100.88704369818842
2003-03,113.93084606305544
2003-04,140.56875482448243
2003-05,137.44656868266807
2003-06,151.05806267859091
2003-07,156.49494319121524
2003-08,179.2798434116605
2003-09,182.6342133717411
2003-10,202.28379784500754
2003-11,217.30246935774628
2003-12,244.71651158283038
2004-01,242.7986720819925
2004-02,244.37639417227118
2004-03,257.7141664132679
2004-04,236.30219639646654
2004-05,218.96880515908927
2004-06,235.5937672838937
2004-07,263.3673435377296
2004-08,296.39655256112314
2004-09,309.3141190646724
2004-10,296.7266208779948
2004-11,325.193977135226
2004-12,346.2277862745241
2005-01,347.35512069218976
2005-02,372.7153495059681
2005-03,345.4573021040749
2005-04,339.50533094589633
2005-05,383.49489929048866
2005-06,384.74272488292223
2005-07,384.15490251880385
2005-08,402.08012752327477
2005-09,492.47646285463986
2005-10,465.54201191828975
2005-11,520.7779443482583
2005-12,530.8470852589327
2006-01,623.0670772209842
2006-02,669.331695489205
2006-03,636.1550198835032
2006-04,652.5349359484096
2006-05,537.8786458189802
2006-06,583.9428289875962
2006-07,578.1332653699974
2006-08,615.9041665088821
2006-09,627.9067560412878
2006-10,672.5121004260617
2006-11,689.0254441833846
2006-12,758.4727520861256
2007-01,783.8899818761971
2007-02,777.6836156803312
2007-03,822.2638359295806
2007-04,868.7052228642028
2007-05,1000.0
2007-06,1035.2851840867493
2007-07,1067.0247084142366
2007-08,1009.3152564336315
2007-09,1072.5519032174604
2007-10,1171.9337537471347
2007-11,1068.5562386206311
2007-12,1058.2163877056237
2008-01,899.954768910997
2008-02,984.9567359359046
2008-03,818.0868722409239
2008-04,934.8510197475621
2008-05,1049.5768053718393
2008-06,971.6354792913569
2008-07,937.1184490297644
2008-08,861.806754869357
2008-09,577.2367192044338
2008-10,423.0667446263927
2008-11,403.8912345453049
2008-12,375.10587427608914
2009-01,421.0038747010859
2009-02,413.02218133120726
2009-03,418.36780322053306
2009-04,581.1068878225764
2009-05,669.2594988101416
2009-06,699.1937125643207
2009-07,851.6252081496801
2009-08,911.3029507820211
2009-09,1004.927339493128
2009-10,1033.769559831455
2009-11,1133.446964826431
2009-12,1269.9182185895527
2010-01,1232.0999244808354
2010-02,1305.3944693945855
2010-03,1317.4950892141437
2010-04,1383.459681723434
2010-05,1364.2728204359294
2010-06,1443.0722829149745
2010-07,1487.6689420459818
2010-08,1602.9998064801239
2010-09,1636.3105569886015
2010-10,1757.8026487719937
2010-11,1898.9700367674036
2010-12,1944.558016782697
2011-01,1768.4122359188689
2011-02,1759.8230801250588
2011-03,1795.8688232737363
2011-04,1810.71639224745
2011-05,1850.353578604755
2011-06,1797.362262100096
2011-07,1741.026596333832
2011-08,1657.6815040420324
2011-09,1428.0778400208085
2011-10,1607.4466029584858
2011-11,1520.2630849126829
2011-12,1525.4309475671007
2012-01,1745.8331895281076
2012-02,1904.565795501624
2012-03,1864.3778639356472
2012-04,1801.9360878235914
2012-05,1685.418927405807
2012-06,1656.404308548129
2012-07,1727.4667527696138
2012-08,1866.7631960635574
2012-09,1882.4384903917553
2012-10,1862.6280258846286
2012-11,1792.4466811577624
2012-12,1943.1816237082562
2013-01,1959.0253401483287
2013-02,2045.1951703808177
2013-03,2012.546388484011
2013-04,1964.8522331062552
2013-05,1813.4138869828466
2013-06,1571.4731808819429
2013-07,1477.8904212573946
2013-08,1417.9055263555467
2013-09,1547.563572749025
2013-10,1532.4803107365055
2013-11,1415.8855858033887
2013-12,1372.93911322018
2014-01,1262.6051407301288
2014-02,1250.3995899683287
2014-03,1323.0407301937846
2014-04,1328.4111287197989
2014-05,1381.3363977002323
2014-06,1446.7390104403844
2014-07,1397.8001138220393
2014-08,1547.5181304868372
2014-09,1333.0345359235364
2014-10,1331.5138570950703
2014-11,1272.5397089018156
2014-12,1167.9621182761919
2015-01,1065.7651726782722
2015-02,1053.6032217202178
2015-03,987.6849629658005
2015-04,1062.0582226909885
2015-05,998.6191924016902
2015-06,991.0796445567678
2015-07,854.0502207475246
2015-08,729.3381380890042
2015-09,647.8999422771196
2015-10,706.5538866274247
2015-11,706.2299651441916
2015-12,661.3453472967526
2016-01,594.1371495467198
