Date,SWEDEN SMALL CAP
2000-12,100.0
2001-01,108.83891393462184
2001-02,98.59183915884553
2001-03,89.09461695316377
2001-04,95.52117342321515
2001-05,100.56240796279928
2001-06,96.2949156907468
2001-07,93.66821529752455
2001-08,86.93567653470173
2001-09,72.10981308481868
2001-10,83.401833684211
2001-11,93.99981010014837
2001-12,97.32636010762394
2002-01,103.53125952315648
2002-02,106.52781958277679
2002-03,112.09116839339563
2002-04,108.59621771771707
2002-05,110.6606457153949
2002-06,103.9013765760369
2002-07,93.17331853476969
2002-08,87.19283706401738
2002-09,75.53110672098231
2002-10,86.80877627292698
2002-11,95.62702273002283
2002-12,87.69402369455133
2003-01,81.40838871407317
2003-02,78.5483691194876
2003-03,76.42678439456982
2003-04,84.13124349424534
2003-05,86.97773770100149
2003-06,91.7509811719564
2003-07,95.48280367330945
2003-08,102.56034603587263
2003-09,102.24711845151965
2003-10,109.57038350023282
2003-11,114.37495280630914
2003-12,116.98092073394433
2004-01,121.42141995240026
2004-02,126.17744534045931
2004-03,125.25055849624198
2004-04,126.78580905608312
2004-05,128.5424722469503
2004-06,127.46017736148481
2004-07,122.80789776492556
2004-08,122.82113494537951
2004-09,132.07134160072428
2004-10,133.04462493301656
2004-11,145.56767732972313
2004-12,148.1823518518023
2005-01,149.93788474783983
2005-02,162.14224856657756
2005-03,164.02396782990914
2005-04,161.44002638053078
2005-05,173.04603321260817
2005-06,178.60222043174892
2005-07,190.1821747732461
2005-08,186.5983354752385
2005-09,199.44438708326237
2005-10,189.88941978704335
2005-11,203.341957496495
2005-12,220.38298880775886
2006-01,241.9669223305082
2006-02,247.27397514770286
2006-03,271.7635350849937
2006-04,280.0577365796631
2006-05,261.4075051657496
2006-06,258.13022669747016
2006-07,255.14138275243727
2006-08,259.08157997325594
2006-09,277.6098592580436
2006-10,285.4830787889205
2006-11,293.4691755156992
2006-12,317.0232715568541
2007-01,319.7987373739106
2007-02,309.6531462561703
2007-03,321.02353281840226
