Date,KENYA SMALL CAP
2010-11,1000.0
2010-12,993.8338875991096
2011-01,971.2261500762849
2011-02,882.2891437719574
2011-03,786.9582533210317
2011-04,782.9416261737481
2011-05,795.3369480075888
2011-06,748.4224935077518
2011-07,677.5364944171697
2011-08,603.655620761833
2011-09,560.7004394790468
2011-10,567.6439729764393
2011-11,574.033689277357
2011-12,647.020101972778
2012-01,631.6025873258222
2012-02,650.2214204361908
2012-03,638.0494104027599
2012-04,701.3728479710857
2012-05,745.1118339622406
2012-06,740.8450493087911
2012-07,797.4621523152049
2012-08,777.6281470257167
2012-09,749.9719662860481
2012-10,765.0831445124436
2012-11,730.5425690769473
2012-12,704.2102955803804
2013-01,708.722286940774
2013-02,733.9725960068353
2013-03,786.6684835053809
2013-04,776.0091826673304
2013-05,761.1170122647076
2013-06,687.540863578909
2013-07,674.0486847622064
2013-08,677.4725855328832
2013-09,677.1094390261293
2013-10,721.1580412198294
2013-11,775.6948503717017
2013-12,755.3643074540379
2014-01,774.2949720102342
2014-02,758.156756849908
2014-03,771.2128030833525
2014-04,767.6244245102549
2014-05,740.681798483377
2014-06,747.3344558431279
2014-07,789.3839783209263
2014-08,886.5023225526835
2014-09,1004.3628076834864
2014-10,964.246462969377
2014-11,931.8285830240453
2014-12,970.3432381218101
2015-01,1035.1988270584386
2015-02,1105.7576350484076
2015-03,1084.1151013302283
2015-04,956.5325516913995
2015-05,907.2226276731366
2015-06,911.9270201731455
2015-07,770.052122354544
2015-08,675.2272234669343
2015-09,674.6532142428515
2015-10,625.9500046706709
2015-11,689.1540538612181
2015-12,645.0686316977773
2016-01,579.3831841708021
2016-02,589.9441150711644
2016-03,557.3668587561832
2016-04,577.1543597747169
2016-05,577.863035564217
2016-06,558.6236187134252
2016-07,502.0551311687456
2016-08,430.27963378724354
2016-09,464.1357968235443
2016-10,466.55398307093003
2016-11,486.6424115939264
2016-12,467.2451232224441
2017-01,394.35923163235725
2017-02,452.028675709825
2017-03,476.6729226466459
2017-04,466.9770510418034
2017-05,542.53226711686
2017-06,547.9425007707492
2017-07,562.0048064921357
2017-08,614.7431181139159
2017-09,598.3293383356997
2017-10,583.7376813109647
2017-11,593.2959972817957
2017-12,574.4752419659416
2018-01,562.1926886664529
2018-02,606.4010216845987
2018-03,627.6057961288794
2018-04,615.828895738772
2018-05,588.1711291555545
2018-06,597.5773211696597
2018-07,574.9856922401938
2018-08,556.7951289195175
2018-09,505.1149905182186
2018-10,500.1584594285365
2018-11,503.61006547876576
2018-12,495.03767209489195
2019-01,533.61500264913
2019-02,508.8736097091638
2019-03,526.069634987284
2019-04,501.1959056483043
2019-05,481.1972832744798
2019-06,465.3334501786066
2019-07,466.08389673312655
2019-08,465.425480437279
2019-09,486.06007355339943
2019-10,591.247606200648
2019-11,590.8284385749546
2019-12,632.5862558616262
2020-01,627.2950545427102
2020-02,543.377227776695
2020-03,412.5304590361745
2020-04,449.0575547480807
2020-05,429.63095068082123
2020-06,428.9694045116619
2020-07,376.64798085088773
2020-08,393.9674265156836
2020-09,416.32521758630213
2020-10,392.7857394411506
2020-11,388.2575333539514
2020-12,416.27921913066234
2021-01,418.0873799532063
2021-02,446.98538869578056
2021-03,465.3620668107907
2021-04,469.3117446631831
2021-05,469.11584232512934
2021-06,483.2510725595597
2021-07,511.78333023813826
2021-08,534.3435838901104
2021-09,522.9856072189723
2021-10,489.80212688653205
2021-11,492.6609231812343
2021-12,516.2885732404125
2022-01,518.5432383173456
2022-02,516.39114895913
2022-03,511.04011362647117
2022-04,480.11303237832
2022-05,473.87714279647264
2022-06,487.6402495474853
2022-07,527.9227300003129
2022-08,527.6760016202154
2022-09,546.2760866416729
2022-10,495.72823332124716
2022-11,477.9767321591539
2022-12,469.3401963945046
2023-01,463.0865311154682
2023-02,469.24105792856176
2023-03,414.32748807470045
2023-04,376.80326917843234
2023-05,376.46374394634915
2023-06,339.2741830963439
2023-07,325.21146765384714
