Date,QATAR SMALL CAP
2002-05,283.3006513973131
2002-06,273.7856519781508
2002-07,303.9419604246065
2002-08,318.97265781481144
2002-09,302.80301087419497
2002-10,296.6978073856288
2002-11,294.93170309579864
2002-12,293.8477529043255
2003-01,308.34770552450925
2003-02,281.3328634785623
2003-03,298.09868595153523
2003-04,314.4273053764776
2003-05,286.41124084040825
2003-06,329.74025968172623
2003-07,380.5315862792596
2003-08,421.267584431258
2003-09,359.35090738666247
2003-10,374.5075399003837
2003-11,398.13310287996694
2003-12,365.23566481228715
2004-01,394.5941191750686
2004-02,477.27660109053426
2004-03,587.4117897103458
2004-04,608.5500763083215
2004-05,541.2360506073618
2004-06,504.9561778746077
2004-07,507.28314516558765
2004-08,538.4719207583786
2004-09,510.44435607702303
2004-10,523.4777662456277
2004-11,523.1708876560134
2004-12,538.7519116812139
2005-01,689.5837766247545
2005-02,906.5859481456478
2005-03,1507.1913471848682
2005-04,981.6260504214046
2005-05,961.4439526588873
2005-06,1232.817425328817
2005-07,1205.6241850785068
2005-08,1464.5605527319674
2005-09,1579.5361654190126
2005-10,1623.5916214487197
2005-11,1365.5878928983018
2005-12,1361.0064977612092
2006-01,1221.0909853716364
2006-02,995.0857379940379
2006-03,1050.31467912085
2006-04,1052.60487037625
2006-05,884.581752018424
2006-06,907.3525975262388
2006-07,943.8491053723664
2006-08,936.2091203335673
2006-09,928.2949234854111
2006-10,870.3447727879039
2006-11,737.6459393593879
2006-12,856.9077667349258
2007-01,807.0020593890415
2007-02,756.5667956638764
2007-03,744.7720105605946
2007-04,796.0405808646088
2007-05,860.1695782385033
2007-06,864.5118264501942
2007-07,883.8856582497909
2007-08,882.1751680151275
2007-09,887.696022977444
2007-10,984.9383692200281
2007-11,1000.0
2007-12,1046.5932394613724
2008-01,999.3878465347956
2008-02,1060.974628975504
2008-03,966.1691655653232
2008-04,1108.9268159077349
2008-05,1195.1814384175752
2008-06,1270.5177256494742
2008-07,1304.9987911827625
2008-08,1252.64526725215
2008-09,1171.0455372653255
2008-10,927.7914932765098
2008-11,769.9727624785437
2008-12,756.9582148943454
2009-01,645.0147057486652
2009-02,668.0670639814534
2009-03,671.1004613334524
2009-04,850.6573737603527
2009-05,850.7501041844207
2009-06,818.9019493691738
2009-07,846.2873881145797
2009-08,855.2022932282702
2009-09,878.8649508683911
2009-10,863.4551413964715
2009-11,835.2069019416384
2009-12,854.8042391394755
2010-01,862.2250641642233
2010-02,895.6033547286892
2010-03,1020.6141401230374
2010-04,1064.9016404641209
2010-05,1058.7989987121966
2010-06,1065.57351902044
2010-07,1015.645040738339
2010-08,1093.1323503708386
2010-09,1083.7579672755733
2010-10,1048.1342961531877
2010-11,1143.0063879136806
2010-12,1195.631857920584
2011-01,1198.091357292487
2011-02,1106.636849207579
2011-03,1196.6548203463362
2011-04,1213.9524945580674
2011-05,1230.478664200357
2011-06,1213.9976228679498
2011-07,1235.001892669582
2011-08,1221.1363056351965
2011-09,1342.607196609182
2011-10,1286.1470829368716
2011-11,1335.163307940403
2011-12,1391.0812842507385
2012-01,1382.2486689944847
2012-02,1406.6910028201653
2012-03,1496.3017293633686
2012-04,1566.8848855059402
2012-05,1684.916352424413
2012-06,1601.9894474373762
2012-07,1668.0115746348151
2012-08,1684.0674176684329
2012-09,1645.581145086667
2012-10,1621.643085114172
2012-11,1567.6060401756065
2012-12,1572.8193887363739
2013-01,1543.2910135999352
2013-02,1629.3195135673595
2013-03,1670.6575180909929
2013-04,1668.2541117527187
2013-05,1867.5865070360298
2013-06,1842.8731972312485
2013-07,1835.3515270093283
2013-08,1820.7828467132538
2013-09,1791.8804579817022
2013-10,1863.940483513396
2013-11,1950.928409018047
2013-12,1981.2167989340971
2014-01,2222.4440015070586
2014-02,2255.3275971493617
2014-03,2425.7937655215046
2014-04,2862.0378772771023
2014-05,2987.87505203613
2014-06,2658.535292555763
2014-07,3077.4470949227816
2014-08,3363.7330712223948
2014-09,3485.31812589648
2014-10,3330.4655568472804
2014-11,3255.8234694754187
2014-12,3145.2833643654176
2015-01,3395.484292702288
2015-02,3614.634888773097
2015-03,3525.808105273834
2015-04,3703.3489900248305
2015-05,3842.1526525510803
2015-06,3925.8301571962184
2015-07,3950.6872508072233
2015-08,3577.6997935472305
2015-09,3561.4075760862634
2015-10,3639.356762935741
2015-11,3304.0516434557094
2015-12,3181.318805599285
2016-01,2673.6456280262532
2016-02,3140.2387926575775
2016-03,3318.9261930770135
2016-04,3159.869800227823
2016-05,3114.108092996729
2016-06,3127.011564232421
2016-07,3249.053782062963
2016-08,3265.6283206143135
2016-09,3138.939620150759
2016-10,3099.641577699093
2016-11,3021.9510285398874
2016-12,3266.179378693168
2017-01,3236.7919370932746
2017-02,3360.9885415374133
2017-03,3290.10555104116
2017-04,3154.624049371617
2017-05,2911.6324256777175
2017-06,2645.2687870993836
2017-07,2679.618269076399
2017-08,2391.7556392606953
2017-09,2384.211127667771
2017-10,2173.1135084106604
2017-11,1974.7871926800926
2017-12,2207.5184615751377
2018-01,2225.1876627801344
2018-02,2326.221629050276
2018-03,2265.313685468297
2018-04,2327.5193110089194
2018-05,2275.2873960134034
2018-06,2339.969608109586
2018-07,2403.615449426733
2018-08,2424.3658877704675
2018-09,2402.8447249083893
2018-10,2483.8725442220193
2018-11,2501.1133159669967
2018-12,2443.690601975623
2019-01,2592.607844607245
2019-02,2515.0439799255582
2019-03,2682.3874644330494
2019-04,2707.0121479159616
2019-05,2704.4993362232585
2019-06,2786.7787267136855
2019-07,2817.394261107723
