Date,TUNISIA SMALL CAP
2010-11,1000.0
2010-12,949.0653898360222
2011-01,822.39581559365
2011-02,661.9015874292411
2011-03,706.8624709970154
2011-04,662.3012597476511
2011-05,687.721213722715
2011-06,725.174945755927
2011-07,769.9678629556729
2011-08,776.0747855407924
2011-09,817.0949757413786
2011-10,780.8999686719874
2011-11,793.2306899446277
2011-12,809.1353331882045
2012-01,806.9987992819463
2012-02,794.3701830155161
2012-03,783.4632248986437
2012-04,808.926217975843
2012-05,825.594924414282
2012-06,797.3364430789474
2012-07,830.2793803092343
2012-08,815.222259821167
2012-09,774.8468317383838
2012-10,752.1582486914174
2012-11,709.2023881838775
2012-12,696.6209029623203
2013-01,688.9363526131037
2013-02,681.6008882233517
2013-03,694.757631431071
2013-04,656.7480494121768
2013-05,642.4427231373705
2013-06,648.8001900232911
2013-07,623.3637438488266
2013-08,642.57771728675
2013-09,624.0763739759124
2013-10,613.4817370478421
2013-11,598.6350093109804
2013-12,589.3186996649063
2014-01,618.0404687175039
2014-02,623.4762806231219
2014-03,608.9232238876972
2014-04,579.6888228448588
2014-05,551.8784464175809
2014-06,550.1499448559464
2014-07,563.1932331073778
2014-08,550.8871411782162
2014-09,539.7622013500518
2014-10,545.5345554212904
2014-11,550.1279990205376
2014-12,558.6444883811829
2015-01,560.0441357196344
2015-02,560.4708280536302
2015-03,587.0618513056274
2015-04,596.47249427474
2015-05,590.3053575947142
2015-06,608.3552369413284
2015-07,613.1247408908013
2015-08,589.6202575661707
2015-09,563.4304143901624
2015-10,559.4861927660554
2015-11,538.2647907751489
2015-12,534.2347594999441
2016-01,544.0363181145103
2016-02,511.69681968989835
2016-03,489.56755617449227
2016-04,512.7418624259276
2016-05,509.2185320546336
2016-06,471.3052071960104
2016-07,463.91004780950954
2016-08,490.084113929
2016-09,481.63876199111223
2016-10,511.09537457995015
2016-11,518.6415090901072
2016-12,518.0474258309183
2017-01,512.3123985261258
2017-02,544.0092982610579
2017-03,528.606365695978
2017-04,494.016710405587
2017-05,490.2056739306389
2017-06,535.3890368734621
2017-07,543.9850900342111
2017-08,550.5169230673204
2017-09,537.5991834260703
2017-10,536.9584089338836
2017-11,532.7984315652965
2017-12,532.712983332993
2018-01,556.3990617827824
2018-02,579.9296250062462
2018-03,574.3099693440626
2018-04,572.267087114269
2018-05,595.7550262021299
2018-06,615.2803685544637
2018-07,614.0778453379754
2018-08,601.7817739043146
2018-09,544.3997281034295
2018-10,515.2292022514675
2018-11,493.7251372763125
2018-12,475.88663927100697
2019-01,492.6937374493817
2019-02,467.0217807238642
2019-03,445.420039534097
2019-04,459.83241890023345
2019-05,467.20136600127086
2019-06,491.02748587631174
2019-07,506.8992653116659
2019-08,510.06223640268075
2019-09,503.1766491194537
2019-10,497.9651204403914
2019-11,499.4996332919429
2019-12,516.8121093636928
2020-01,505.5631818203316
2020-02,510.23382519601245
2020-03,437.16471559434933
2020-04,416.74075565343884
2020-05,428.1029885424634
2020-06,413.63598553626866
2020-07,407.3203868197656
2020-08,412.70159438978413
2020-09,414.7660508928385
2020-10,406.6439834599703
2020-11,411.82730377629355
2020-12,408.12408907130447
2021-01,392.36687780514336
2021-02,393.4920534964452
2021-03,422.2732114414504
2021-04,433.38274788399286
2021-05,460.01655493789065
2021-06,456.53272406402925
2021-07,460.151319809128
2021-08,471.8094480417534
2021-09,470.49593575432715
2021-10,450.6152562083138
2021-11,460.0956253178926
2021-12,456.50885739717523
2022-01,473.4349527230991
2022-02,469.927494962382
2022-03,467.53945797716074
2022-04,489.19342327016824
2022-05,501.2962693219507
2022-06,512.5626481687206
2022-07,555.5848145583424
2022-08,551.589209244701
2022-09,592.7567377256047
2022-10,581.4834877123795
2022-11,570.19937217172
2022-12,577.532566737045
2023-01,616.8198357869237
2023-02,596.342876085237
2023-03,610.5074944613682
2023-04,632.3365708941352
2023-05,671.8266548979191
2023-06,671.6520057011957
2023-07,670.2321418922226
