Date,INDONESIA SMALL CAP
1998-12,302.15451831018487
1999-01,293.23867565685396
1999-02,303.27465191066887
1999-03,307.63977404091304
1999-04,406.2045379035695
1999-05,567.6744759986319
1999-06,827.1909548050376
1999-07,720.3533599426922
1999-08,559.2407360913855
1999-09,479.3031367891847
1999-10,718.5933606288385
1999-11,664.7846203578324
1999-12,827.9273090305988
2000-01,745.5518153659888
2000-02,744.6303476954822
2000-03,675.2581375250024
2000-04,617.0535913569253
2000-05,486.05567171633754
2000-06,507.7985109591031
2000-07,490.6195983093909
2000-08,524.677737772165
2000-09,441.6187584109291
2000-10,418.35413974846693
2000-11,405.68723658944754
2000-12,363.7860325363055
2001-01,361.16621643362026
2001-02,331.9494344298901
2001-03,298.23633670252485
2001-04,249.62650257705178
2001-05,298.3463420003429
2001-06,312.7339297459454
2001-07,400.3968177676683
2001-08,402.00843974166963
2001-09,345.6530046330168
2001-10,291.336977016923
2001-11,297.39007070833003
2001-12,287.86529955443757
2002-01,327.2939579175026
2002-02,339.1855442074857
2002-03,380.41557228686935
2002-04,440.57505518289014
2002-05,439.14732008348096
2002-06,400.8602098955888
2002-07,328.6836029823273
2002-08,317.7958479001782
2002-09,283.3110230348984
2002-10,250.0778697519459
2002-11,259.65590311368163
2002-12,257.95906445104134
2003-01,235.8470806395475
2003-02,239.88032303093559
2003-03,240.15107856324323
2003-04,286.39234644081336
2003-05,306.71187713071856
2003-06,308.8592987949249
2003-07,322.22649207767813
2003-08,328.78645059694566
2003-09,332.7370754120361
2003-10,330.98361184008553
2003-11,310.5649141987587
2003-12,358.43526971775134
2004-01,377.46510740897423
2004-02,397.8922147102631
2004-03,381.83839288920933
2004-04,393.28797592978
2004-05,318.7409498213762
2004-06,315.4831354773168
2004-07,343.1830310874242
2004-08,332.55644802287196
2004-09,357.88363576837776
2004-10,373.7633489297627
2004-11,415.36451591538355
2004-12,417.46236384999946
2005-01,487.05259140046985
2005-02,505.5696150218678
2005-03,506.5265072592498
2005-04,484.50433516337597
2005-05,542.4777312659131
2005-06,569.4128118727104
2005-07,595.6318687235747
2005-08,488.7052178031434
2005-09,514.1882255622725
2005-10,509.6115439595151
2005-11,522.3066414547598
2005-12,562.2435104901055
2006-01,611.7397914023946
2006-02,637.6197645831144
2006-03,668.0705371203136
2006-04,733.5160811088764
2006-05,604.6129046447835
2006-06,588.5537792494156
2006-07,647.4726702961389
2006-08,665.3483021371659
2006-09,687.9855124612762
2006-10,718.7378699551244
2006-11,722.1902145861459
2006-12,790.8315016084624
2007-01,815.4744991120325
2007-02,809.6651852672388
2007-03,824.5841103940819
2007-04,897.5032789291809
2007-05,1000.0
2007-06,989.8649724371355
2007-07,1061.208176731177
2007-08,937.4111730046482
2007-09,985.690985089365
2007-10,1082.9555249253358
2007-11,1081.7049986485497
2007-12,1116.6248804000925
2008-01,1075.2104538608487
2008-02,1114.1511479782537
2008-03,922.2056563789466
2008-04,906.9233684797047
2008-05,1002.1572409820545
2008-06,966.1261957146711
2008-07,923.2508401668684
2008-08,893.5331759801346
2008-09,735.8930371294632
2008-10,423.23320416572955
2008-11,364.63578445101587
2008-12,403.32552660191936
2009-01,410.28043033489854
2009-02,407.2099571438788
2009-03,407.7613571623321
2009-04,574.7791564125819
2009-05,706.5304777788214
2009-06,746.3398204727719
2009-07,851.5508715053959
2009-08,831.0197411233806
2009-09,875.156912636796
2009-10,807.2738786174476
2009-11,763.388141843512
2009-12,806.3130220651117
2010-01,907.0497995356945
2010-02,890.9599599094449
2010-03,1006.8054852799951
2010-04,1122.8050722081643
2010-05,999.7400205598799
2010-06,1051.1389845165095
2010-07,1047.743640478701
2010-08,1092.9597492466119
2010-09,1209.0936696560382
2010-10,1264.920153354082
2010-11,1299.1020544275873
2010-12,1348.4555251630175
2011-01,1225.1051456576743
2011-02,1250.214533710323
2011-03,1310.0837012736083
2011-04,1335.725658324854
2011-05,1354.823260527262
2011-06,1305.695870010897
2011-07,1449.0156168083881
2011-08,1331.5946758354412
2011-09,1200.3706261308873
2011-10,1223.4559137330616
2011-11,1191.4716720931262
2011-12,1320.7725756739055
