Date,SRI LANKA SMALL CAP
2010-11,1000.0
2010-12,997.1337662806105
2011-01,1041.7072812633623
2011-02,1049.5250953519762
2011-03,1003.6147771341698
2011-04,966.3461964568064
2011-05,979.5736643646723
2011-06,881.6994671661917
2011-07,888.8395417293883
2011-08,859.6083882142702
2011-09,887.1630780811399
2011-10,800.6144023166925
2011-11,766.3265659506058
2011-12,806.5209699956404
2012-01,739.5133615901913
2012-02,666.7479403687
2012-03,635.6861116334413
2012-04,631.1689711126758
2012-05,591.1418565046301
2012-06,568.9134126053758
2012-07,594.8391401155105
2012-08,619.4347910768248
2012-09,723.3291162655418
2012-10,653.8239919143933
2012-11,641.4914836260419
2012-12,677.4464117792184
2013-01,704.6722472625264
2013-02,723.3536715572039
2013-03,754.0636995673137
2013-04,775.8403950514441
2013-05,877.8591846941374
2013-06,797.7016002670978
2013-07,761.0953022642328
2013-08,721.6318714636296
2013-09,693.4887722628293
2013-10,705.6478779058973
2013-11,693.8632395726644
2013-12,700.5017185448713
2014-01,768.5143524385202
2014-02,727.8807784498398
2014-03,731.2199468324396
2014-04,771.078450742914
2014-05,788.2977305810936
2014-06,809.8515618016594
2014-07,879.6388411373913
2014-08,932.6147908184137
2014-09,1040.34493638345
2014-10,1055.143406649402
2014-11,1023.6726094221345
2014-12,1109.7612048636981
2015-01,1197.2703151240535
2015-02,1282.2713486636126
2015-03,1266.9329785163995
2015-04,1278.8163335908848
2015-05,1314.5657866539652
2015-06,1243.4803369433505
2015-07,1315.2707757511025
2015-08,1260.8282493229412
2015-09,1150.9745656302248
2015-10,1158.9047178441083
2015-11,1157.4844963755338
2015-12,1120.3896659117254
2016-01,1031.1637320730595
2016-02,990.6402124518227
2016-03,932.0366606208006
2016-04,1006.6151082917086
2016-05,1008.9654228541252
2016-06,984.7059310934638
2016-07,1015.0546363240718
2016-08,1066.5290569612837
2016-09,1060.8499991270207
2016-10,1071.454787189566
2016-11,1052.8009385132366
2016-12,1075.0159090395462
2017-01,1054.1859951856184
2017-02,1101.9095604605993
2017-03,1072.7242989419894
2017-04,1118.408745076423
2017-05,1103.3029526866599
2017-06,1113.6762574038655
2017-07,1036.6506596926406
2017-08,1001.9586043533018
2017-09,1007.330292752963
2017-10,1110.4476778500693
2017-11,1052.8047784129694
2017-12,1032.8906333293007
2018-01,988.9192175628069
2018-02,1019.4428954571143
2018-03,994.1037953956039
2018-04,1010.593306117734
2018-05,1038.4897793871892
2018-06,990.8100690171435
2018-07,960.7695762876097
2018-08,902.1832206099779
2018-09,793.8986282952011
2018-10,764.7500266120963
2018-11,774.91046076509
2018-12,737.3359527825972
2019-01,732.5510350105533
2019-02,700.351613604036
2019-03,662.9973404678315
2019-04,639.7161834502883
2019-05,599.0350945686257
2019-06,583.2146021801598
2019-07,740.3986650050118
2019-08,707.1683116600315
2019-09,646.1042050563449
2019-10,680.277356985606
2019-11,709.6095899443726
2019-12,659.1741724158968
2020-01,649.4070985731829
2020-02,622.1131332611611
2020-03,441.3782345735723
2020-04,439.26269650543327
2020-05,432.35990035303547
2020-06,497.44227779349546
2020-07,459.3976227448595
2020-08,486.918398591041
2020-09,526.2218685960074
2020-10,477.5559522647026
2020-11,471.4071588561327
2020-12,496.49991731330124
2021-01,619.5738889060882
2021-02,515.9087965948651
2021-03,539.0196729094444
2021-04,515.3982491618743
2021-05,531.1563429902136
2021-06,543.3058437466198
2021-07,571.878449906036
2021-08,820.895031640355
2021-09,894.5814612257823
2021-10,961.4416171666795
2021-11,1130.6176883329294
2021-12,1126.0569877977557
2022-01,1154.0770126738073
2022-02,1104.0447263156623
2022-03,621.3442825237236
2022-04,452.9480808920227
2022-05,479.1208002613123
2022-06,438.3081470593742
2022-07,455.80093114471214
2022-08,463.6773242041908
2022-09,511.4612204282739
2022-10,446.6222220048231
2022-11,458.5248776681798
2022-12,423.65108672420877
2023-01,465.67711566187774
2023-02,532.4875562083909
2023-03,639.5840304150225
2023-04,591.2556612366907
2023-05,662.3723159545399
2023-06,707.0535320061664
2023-07,857.5257460343349
