Date,CZECH REPUBLIC SMALL CAP
1998-12,170.5378204909469
1999-01,156.20530481402525
1999-02,139.75824505867027
1999-03,146.4136764652172
1999-04,157.97412112618497
1999-05,202.57638642571632
1999-06,210.62079121147875
1999-07,222.3102838107554
1999-08,225.80043815461622
1999-09,239.81542442929467
1999-10,226.9076600656404
1999-11,211.61049954023147
1999-12,199.72183867077877
2000-01,222.82707358165763
2000-02,232.45619379494082
2000-03,233.02018418916458
2000-04,223.81675880734892
2000-05,208.3355636934159
2000-06,198.23971394116253
2000-07,205.0107817931899
2000-08,197.91892592882735
2000-09,197.63937722399945
2000-10,201.95079307337068
2000-11,185.81163151493274
2000-12,182.48924382524223
2001-01,200.14163498575974
2001-02,198.71148117039627
2001-03,206.479838573741
2001-04,213.63444949721006
2001-05,216.38367181884007
2001-06,210.52630623154798
2001-07,202.88295378728506
2001-08,201.37062908350606
2001-09,193.02307543164704
2001-10,202.97935447930038
2001-11,220.2982775169376
2001-12,197.76652091472067
2002-01,210.7538080415199
2002-02,221.53812817715428
2002-03,228.02271353982474
2002-04,236.78076513612675
2002-05,242.88707590011006
2002-06,230.58558132052215
2002-07,244.37808592880288
2002-08,242.3778991873213
2002-09,259.12843683724185
2002-10,227.46437029350946
2002-11,231.65195318970748
2002-12,221.47188413493816
2003-01,217.625982607811
2003-02,224.189086849877
2003-03,240.90580064793335
2003-04,253.73333176622134
2003-05,278.6786742209911
2003-06,298.9003707085708
2003-07,308.5295823131559
2003-08,317.1720126624535
2003-09,314.92527920924033
2003-10,331.6207748080274
2003-11,337.44736481675517
2003-12,345.6529695414059
2004-01,339.74851035517275
2004-02,366.12934103292054
2004-03,391.14899160065585
2004-04,456.81949151111604
2004-05,437.2618206581987
2004-06,432.62979670520417
2004-07,434.4429952543135
2004-08,432.33057964233933
2004-09,442.24159224518246
2004-10,447.09813437211034
2004-11,471.3864577952028
2004-12,525.803297426384
2005-01,603.6821407703927
2005-02,715.8396933969731
2005-03,643.7919247807621
2005-04,632.8008074480815
2005-05,624.3071818818088
2005-06,659.4181094089425
2005-07,690.1409684729259
2005-08,776.0260824224109
2005-09,875.0970289896778
2005-10,841.5804155443868
2005-11,849.6132274922281
2005-12,878.9692929308713
2006-01,987.8980083796632
2006-02,972.9410359677394
2006-03,970.291284476912
2006-04,906.1940567233762
2006-05,763.2745343101147
2006-06,776.1551812492207
2006-07,818.6126168820567
2006-08,796.5107202590464
2006-09,840.270012240175
2006-10,860.7369676308571
2006-11,864.9479339406128
2006-12,909.2785342813058
2007-01,906.073143380969
2007-02,848.705003559812
2007-03,947.7450953107132
2007-04,973.9680408960016
2007-05,1000.0
2007-06,1022.8955605421933
2007-07,1032.797915981169
2007-08,1007.1362712493992
2007-09,1072.5872963257054
2007-10,1152.4514560906762
2007-11,1107.0605086819637
2007-12,1133.9168699499555
2008-01,1013.1132814163178
2008-02,1029.6851521742885
2008-03,938.7677998837875
2008-04,901.7762286753963
2008-05,902.4896143145425
2008-06,731.4431848750523
2008-07,789.6334472816835
2008-08,849.9863442570582
2008-09,769.8141636269957
2008-10,662.8368717345573
2008-11,803.589830641895
2008-12,701.4770294247674
2009-01,705.869291306987
2009-02,661.0956928606229
2009-03,670.8490402360592
2009-04,788.6581023735613
2009-05,837.7247566517733
2009-06,903.0928998815007
2009-07,960.7986936580636
2009-08,1185.4330008503057
