Date,OMAN DOMESTIC SMALL CAP
2002-05,365.3238994554192
2002-06,330.29760294153994
2002-07,343.5059883168882
2002-08,338.7371734754195
2002-09,328.55220705787895
2002-10,335.4970098207907
2002-11,326.3205881007861
2002-12,298.8171342801013
2003-01,284.86890351975865
2003-02,282.2728061123063
2003-03,288.7840881825774
2003-04,318.2658960074356
2003-05,305.77064550459204
2003-06,329.314452152742
2003-07,376.87740159770357
2003-08,393.9146421306864
2003-09,374.84331286748744
2003-10,383.53409492299414
2003-11,378.15852157057554
2003-12,354.9086013832825
2004-01,379.6040189940956
2004-02,382.9676808840932
2004-03,387.76895266894303
2004-04,419.9547246155171
2004-05,435.9372748755145
2004-06,456.595303416698
2004-07,463.10700124875126
2004-08,448.1954222008483
2004-09,443.9056965375741
2004-10,438.5283190836129
2004-11,417.464815227853
2004-12,398.25242577401553
2005-01,438.51260067082467
2005-02,448.30278985057527
2005-03,545.1991243475519
2005-04,556.433167419946
2005-05,583.6051557621129
2005-06,670.0065456100857
2005-07,661.630519475682
2005-08,650.5605993751772
2005-09,643.0462554478707
2005-10,620.1723685630817
2005-11,617.6553240696413
2005-12,614.9790860466926
2006-01,674.1106435742998
2006-02,676.3709870591717
2006-03,716.0287436133656
2006-04,640.0457148301388
2006-05,554.7132495019063
2006-06,566.4167577425756
2006-07,504.9975762228451
2006-08,564.8251328362195
2006-09,596.3332510186673
2006-10,619.3376351431378
2006-11,560.5971767251607
2006-12,572.5954025799157
2007-01,615.3059059692778
2007-02,607.8010634581898
2007-03,607.2679519597535
2007-04,613.7798202134666
2007-05,695.6627074997081
2007-06,704.7952337652041
2007-07,709.9876616111559
2007-08,757.7742892793104
2007-09,768.5099572750241
2007-10,843.3522001471401
2007-11,1000.0000000000005
2007-12,1118.4149803316218
2008-01,1055.4136883663684
2008-02,1188.8306189522325
2008-03,1139.4886827911487
2008-04,1385.9372510491798
2008-05,1443.7525789109147
2008-06,1477.63986291609
2008-07,1421.5726639350032
2008-08,1387.715887873315
2008-09,1244.2829405082232
2008-10,954.2435390610973
2008-11,888.1236926146305
2008-12,784.3591548360149
2009-01,775.0889629567637
2009-02,856.8168345285513
2009-03,889.5227102118077
2009-04,933.543175335131
2009-05,980.9876308641385
2009-06,1008.2513508058927
2009-07,1032.4252878255215
2009-08,1147.5405174114228
2009-09,1198.8475271371783
2009-10,1144.4966310175807
2009-11,1142.408863105802
2009-12,1153.9752283243977
2010-01,1185.6425854154215
2010-02,1230.3220481503888
2010-03,1247.27394166513
2010-04,1318.5287596940452
2010-05,1269.6605621291803
2010-06,1245.8271577527253
2010-07,1249.190937112776
2010-08,1268.2055018292926
2010-09,1232.6351396610178
2010-10,1247.4360036318444
2010-11,1290.4071701385537
2010-12,1269.6832670667613
2011-01,1277.477752399727
2011-02,1064.681153491688
2011-03,1090.3057781385576
2011-04,1058.2748398609665
2011-05,1034.405046369898
2011-06,1004.628979032186
2011-07,975.3048353161284
2011-08,947.9538862291856
2011-09,1004.17122649287
2011-10,955.2421065301339
2011-11,949.8010789267438
2011-12,1028.7322719672964
2012-01,1008.8532550830445
2012-02,1053.7313642678694
2012-03,1023.314261254073
2012-04,1118.1892470763994
2012-05,1221.479235526263
2012-06,1133.2933602882522
2012-07,1108.392056502366
2012-08,1107.9570032725844
2012-09,1122.4175475179068
2012-10,1128.0210063323732
2012-11,1131.839844416265
2012-12,1174.7555754113043
2013-01,1166.5472534016099
2013-02,1237.9125186421325
2013-03,1305.1040194987954
2013-04,1310.1695140487736
2013-05,1425.1432634128005
2013-06,1426.0599820030025
2013-07,1483.6887853290027
2013-08,1476.7521123779536
2013-09,1443.108092300986
2013-10,1468.7241538111068
2013-11,1479.9693322290286
2013-12,1474.167011068021
2014-01,1563.7979370210833
2014-02,1509.0695712940048
2014-03,1505.7154994361078
2014-04,1514.965628006436
2014-05,1545.9146323908058
2014-06,1569.2086484208587
2014-07,1632.6670629756302
2014-08,1685.2374122959352
2014-09,1787.0474819010876
