Date,INDIA SMALL CAP
1998-12,135.8253504195109
1999-01,149.6848606618271
1999-02,150.17587839194366
1999-03,175.98745983228852
1999-04,152.2910481290964
1999-05,175.74578312908076
1999-06,187.76659633592297
1999-07,200.74569408480795
1999-08,249.10260895883442
1999-09,248.6424805272403
1999-10,233.85994349492086
1999-11,263.4779706078311
1999-12,295.7685030531364
2000-01,326.5900999383607
2000-02,328.4996203116007
2000-03,298.1212411288685
2000-04,269.40141662651064
2000-05,256.9112701750054
2000-06,259.2529781917005
2000-07,251.0400225402617
2000-08,265.60937166983734
2000-09,239.4271411784388
2000-10,235.41377425737286
2000-11,253.9430183783849
2000-12,238.4077879310049
2001-01,249.51387845925163
2001-02,246.63248750140698
2001-03,197.7499696516108
2001-04,194.70378702756727
2001-05,216.03526503903907
2001-06,189.16493879210765
2001-07,172.21461412806204
2001-08,163.5755848409501
2001-09,143.2709964631502
2001-10,154.44036637364195
2001-11,180.31337326301258
2001-12,177.4813672118727
2002-01,186.70230597071313
2002-02,201.74357146666398
2002-03,208.8578165822455
2002-04,218.02696797444003
2002-05,205.52325054518556
2002-06,207.20520921129335
2002-07,189.85706438038812
2002-08,189.31548199948156
2002-09,179.67214552556834
2002-10,173.16937382101074
2002-11,183.39560392849597
2002-12,183.63640298202003
2003-01,172.21526986224615
2003-02,177.6741238081657
2003-03,165.00808341889774
2003-04,167.73309774930186
2003-05,178.49093782204432
2003-06,204.72160227911567
2003-07,227.20855795746016
2003-08,257.8959211175221
2003-09,260.9718953934769
2003-10,291.3689531392512
2003-11,299.00564093399214
2003-12,341.8626327281025
2004-01,327.27500986117525
2004-02,324.52535692880247
2004-03,335.4308303321457
2004-04,353.00782566279526
2004-05,291.71520380405735
2004-06,295.406856780165
2004-07,322.0469963265302
2004-08,336.0941559532226
2004-09,353.5691861568426
2004-10,348.8844141338406
2004-11,378.8866888193493
2004-12,431.82282090261646
2005-01,440.97980879613874
2005-02,459.6038190506045
2005-03,463.095255658609
2005-04,461.48298145391533
2005-05,514.5980127898841
2005-06,534.4517932246703
2005-07,596.8170229907283
2005-08,629.322696811796
2005-09,686.9589764780304
2005-10,609.6995241003519
2005-11,672.3720260502399
2005-12,732.6741474110124
2006-01,770.9155940706985
2006-02,797.1598610867052
2006-03,860.0758599549769
2006-04,862.4184688157719
2006-05,714.9297333789921
2006-06,637.3259078620589
2006-07,621.7534750566393
2006-08,690.7767103958615
2006-09,762.6493951258213
2006-10,808.6269934164716
2006-11,842.5315360601099
2006-12,863.0305776087848
2007-01,917.5682940482245
2007-02,819.3179549449147
2007-03,820.4589248239868
2007-04,912.0813194420847
2007-05,1000.0
2007-06,1048.4395020171232
2007-07,1076.2756785291247
2007-08,1047.0576140707979
2007-09,1158.001320779582
2007-10,1268.3448102184961
2007-11,1320.3139026445451
2007-12,1524.843396587416
2008-01,1185.9417426006146
2008-02,1129.690659171229
2008-03,907.4354835585758
2008-04,1014.4645156433761
2008-05,913.2173462952634
2008-06,704.2422257964197
2008-07,747.8473831760828
2008-08,785.9226166185823
2008-09,649.7611010657549
2008-10,456.551763015748
2008-11,408.8099588406181
2008-12,440.9030241325958
2009-01,431.95124571241496
2009-02,383.75714924831107
2009-03,399.29597201743906
2009-04,487.78819970638995
2009-05,727.2253026357691
2009-06,728.0669354190402
2009-07,787.9140476927741
2009-08,820.7273879208952
2009-09,875.90044318215
2009-10,832.3771262568999
2009-11,881.8334152236532
2009-12,965.1909815712179
2010-01,979.1371579383473
2010-02,976.1633466842479
2010-03,1079.0100187888222
2010-04,1167.0928186629887
2010-05,1144.7125485181039
2010-06,1198.5092609272494
2010-07,1170.4249211542558
2010-08,1213.799752325906
2010-09,1266.4085711494236
2010-10,1296.7258258373388
2010-11,1238.4476150151372
2010-12,1240.5206039227223
2011-01,1039.342565373761
2011-02,969.9749231822356
2011-03,1030.4790866638007
2011-04,1027.0359166792555
2011-05,999.4199260440859
2011-06,991.1797353422791
2011-07,1022.396636580523
2011-08,875.3512362466896
2011-09,866.5714987338956
2011-10,858.1272202548802
2011-11,730.1703662571132
2011-12,664.5963646113167
2012-01,827.367542107631
2012-02,890.718067442463
2012-03,848.2654029001229
2012-04,820.2840551828141
2012-05,763.1583985485206
2012-06,784.6948603721056
2012-07,794.9478693437131
2012-08,764.7669441212811
2012-09,882.5716850093988
2012-10,856.9444919283422
2012-11,893.9758624136044
2012-12,891.9842044085472
2013-01,871.6610304757816
2013-02,792.6946079513169
2013-03,787.9750340312244
2013-04,803.7968639623621
2013-05,783.1296676895699
2013-06,694.8058450740044
2013-07,619.9686502862066
2013-08,552.1306234928005
